UniProt	GeneID	Gene Name	GO cell surface	GO plasma membrane	GeneID - human	Gene Name - human	UniProt - human	CSPA category	Surfaceome	CRISPR	GO cell surface - human	GO plasma membrane - human	Num cell surface evidence	Num plasma membrane evidence
A0A1D5Q7C3	718092	CACNA1E	FALSE	TRUE	777	CACNA1E	Q15878		FALSE	TRUE	FALSE	TRUE	1	2
A0A1D5Q7D4	718501	CNOT2	FALSE	TRUE	4848	CNOT2	Q9NZN8		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5Q7E9	695684	ADRA2A	FALSE	TRUE	150	ADRA2A	P08913	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5Q7U6	714044	HCLS1	FALSE	TRUE	3059	HCLS1	P14317		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5Q7Y2	705878	OR5M9	FALSE	TRUE	390162	OR5M9	Q8NGP3		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5Q874	695792	ADCY8	FALSE	TRUE	114	ADCY8	P40145		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5Q912	706696	RNPEP	FALSE	TRUE	6051	RNPEP	Q9H4A4		FALSE	TRUE	FALSE	TRUE	1	2
A0A1D5Q9W4	693554	BRAF	FALSE	TRUE	673	BRAF	P15056		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5QAA3	700370	MARVELD2	FALSE	TRUE	153562	MARVELD2	Q8N4S9		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5QAM4	700750	SLC35G1	FALSE	TRUE	159371	SLC35G1	Q2M3R5		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5QAN4	677696	PCDH9	FALSE	TRUE	5101	PCDH9	Q9HC56	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5QAR1	699700	RRAS2	FALSE	TRUE	22800	RRAS2	P62070		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5QCB9	711336	OLFM2	FALSE	TRUE	93145	OLFM2	O95897		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5QD77	695172	CACNB4	FALSE	TRUE	785	CACNB4	O00305		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5QDM4	699869	IL7R	TRUE	TRUE	3575	IL7R	P16871	1 - high confidence	TRUE	TRUE	TRUE	TRUE	5	2
A0A1D5QF63	717211	EPHB1	FALSE	TRUE	2047	EPHB1	P54762	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5QFJ5	706731	NECTIN3	FALSE	TRUE	25945	NECTIN3	Q9NQS3	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5QFS6	697225	KCNH8	FALSE	TRUE	131096	KCNH8	Q96L42		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5QGF5	100430724	LRRC8B	FALSE	TRUE	23507	LRRC8B	Q6P9F7	2 - putative	FALSE	FALSE	FALSE	TRUE	1	2
A0A1D5QGT9	706535	WDFY3	FALSE	TRUE	23001	WDFY3	Q8IZQ1		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5QH58	721917	SLC19A1	FALSE	TRUE	6573	SLC19A1	P41440	2 - putative	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5QHF5	711320	PLXNC1	FALSE	TRUE	10154	PLXNC1	O60486	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5QIT9	696543	MCTS1	FALSE	TRUE	28985	MCTS1	Q9ULC4		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5QJ31	710834	GJB3	FALSE	TRUE	2707	GJB3	O75712		TRUE	TRUE	FALSE	TRUE	2	2
A0A1D5QJI6	705725	CHRNA6	FALSE	TRUE	8973	CHRNA6	Q15825		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5QJX2	707926	ALOX5	FALSE	TRUE	240				FALSE	FALSE	FALSE	FALSE	0	1
A0A1D5QK77	708887	OR4E2	FALSE	TRUE	26686				FALSE	FALSE	FALSE	FALSE	0	1
A0A1D5QL08	704740	SLCO1C1	FALSE	TRUE	53919	SLCO1C1	Q9NYB5		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5QMM0	700839	ADGRG7	FALSE	TRUE	84873	ADGRG7	Q96K78		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5QMW3	695193	SLC14A1	FALSE	TRUE	6563	SLC14A1	Q13336	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5QNB8	707348	KLHDC8B	FALSE	TRUE	200942	KLHDC8B	Q8IXV7		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5QNX8	715967	DSE	FALSE	TRUE	441168	CALHM6	Q5R3K3		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5QP05	707334	EQTN	FALSE	TRUE	54586	EQTN	Q9NQ60		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5QP56	710297	SEMA4F	FALSE	TRUE	10505	SEMA4F	O95754	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5QPG7	694677	SHROOM4	FALSE	TRUE	57477	SHROOM4	Q9ULL8		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5QPQ4	701538	SELE	FALSE	TRUE	6401	SELE	P16581		TRUE	TRUE	FALSE	TRUE	2	2
A0A1D5QQN7	694730	ADCY7	FALSE	TRUE	113	ADCY7	P51828	2 - putative	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5QQX5	721806	EEF2	FALSE	TRUE	1938	EEF2	P13639		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5QRN7	695172	CACNB4	FALSE	TRUE	785	CACNB4	O00305		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5QRV6	699150	KIF21A	FALSE	TRUE	55605	KIF21A	Q7Z4S6		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5QRZ9	717081	STRN3	FALSE	TRUE	29966	STRN3	Q13033		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5QSM7	706503	P2RX3	FALSE	TRUE	5024	P2RX3	P56373		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5QT55	703698	BDKRB2	FALSE	TRUE	624	BDKRB2	P30411		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5QTM5	701499	TMEM63A	FALSE	TRUE	9725	TMEM63A	O94886	2 - putative	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5QTS1	710692	FHL1	FALSE	TRUE	2273	FHL1	Q13642		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5QU87	694136	TMEM150C	FALSE	TRUE	441027	TMEM150C	B9EJG8		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5QUE5	708091	CACNB3	FALSE	TRUE	784	CACNB3	P54284		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5QVG7	708501	ACLY	FALSE	TRUE	47	ACLY	P53396		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5QVR4	708215	CACNA2D1	FALSE	TRUE	781	CACNA2D1	P54289	1 - high confidence	FALSE	FALSE	FALSE	TRUE	1	2
A0A1D5QW76	707162	AKAP5	FALSE	TRUE	9495	AKAP5	P24588		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5QWB5	722154	SLC2A5	FALSE	TRUE	6518	SLC2A5	P22732	2 - putative	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5QWC6	703415	VPS37B	FALSE	TRUE	79720	VPS37B	Q9H9H4		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5QWQ7	715897	ADCY5	FALSE	TRUE	111	ADCY5	O95622		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5QX02	704086	SCN1A	FALSE	TRUE	6323	SCN1A	P35498		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5QXI0	709580	EMCN	FALSE	TRUE	51705	EMCN	Q9ULC0		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5QY53	699850	BRPF1	FALSE	TRUE	7862	BRPF1	P55201		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5QYE4	715119	CLSTN3	TRUE	TRUE	9746	CLSTN3	Q9BQT9		TRUE	FALSE	TRUE	TRUE	3	2
A0A1D5QYR9	708225	SNAP23	FALSE	TRUE	8773	SNAP23	O00161		FALSE	TRUE	FALSE	TRUE	1	2
A0A1D5QZ34	708408	CDH8	TRUE	TRUE	1006	CDH8	P55286	1 - high confidence	TRUE	FALSE	TRUE	TRUE	4	2
A0A1D5QZ94	713310	ACIN1	FALSE	TRUE	22985	ACIN1	Q9UKV3		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5QZT0	700454	ITGB6	TRUE	TRUE	3694	ITGB6	P18564	1 - high confidence	TRUE	TRUE	TRUE	TRUE	5	2
A0A1D5QZY0	710867	LRRC1	FALSE	TRUE	55227	LRRC1	Q9BTT6		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5R0T1	710396	IGFLR1	FALSE	TRUE	79713	IGFLR1	Q9H665		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5R0U6	704809	ATAD1	FALSE	TRUE	84896	ATAD1	Q8NBU5		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5R129	695852	RALB	FALSE	TRUE	5899	RALB	P11234		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5R139	704666	CORIN	TRUE	TRUE	10699	CORIN	Q9Y5Q5		TRUE	TRUE	TRUE	TRUE	4	2
A0A1D5R1A3	699746	SLC34A1	FALSE	TRUE	6569	SLC34A1	Q06495		TRUE	FALSE	TRUE	TRUE	2	2
A0A1D5R1P2	701522	TMED10	FALSE	TRUE	10972	TMED10	P49755		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5R334	702987	PPM1A	FALSE	TRUE	5494	PPM1A	P35813		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5R3I2	694075	PNISR	FALSE	TRUE	25957	PNISR	Q8TF01		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5R3U6	707421	SLCO6A1	FALSE	TRUE	133482	SLCO6A1	Q86UG4		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5R563	701461	SKAP2	FALSE	TRUE	8935	SKAP2	O75563		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5R5B1	717809	ALPL	FALSE	TRUE	249	ALPL	P05186	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5R5Q6	701433	ANXA4	FALSE	TRUE	307	ANXA4	P09525		FALSE	FALSE	TRUE	TRUE	1	2
A0A1D5R653	706497	NUP35	FALSE	TRUE	129401	NUP35	Q8NFH5		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5R6U4	708482	SSPN	FALSE	TRUE	8082	SSPN	Q14714		TRUE	TRUE	FALSE	TRUE	2	2
A0A1D5R8A7	717011	NUBPL	FALSE	TRUE	80224	NUBPL	Q8TB37		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5R8E9	697069	PLCG1	FALSE	TRUE	5335	PLCG1	P19174		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5R8J9	695126	DGKK	FALSE	TRUE	139189	DGKK	Q5KSL6		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5R977	721790	TSPAN9	FALSE	TRUE	10867	TSPAN9	O75954	2 - putative	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5R978	715297	NSF	FALSE	TRUE	4905	NSF	P46459		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5R992	701226	CACNB2	FALSE	TRUE	783	CACNB2	Q08289		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5R9B8	100428661	ACE	TRUE	TRUE	1636	ACE	P12821	1 - high confidence	TRUE	TRUE	TRUE	TRUE	5	2
A0A1D5RB21	713075	PRSS42P	FALSE	TRUE	339906				FALSE	FALSE	FALSE	FALSE	0	1
A0A1D5RBT9	716254	TTC17	FALSE	TRUE	55761	TTC17	Q96AE7	3 - unspecific	FALSE	FALSE	FALSE	TRUE	1	2
A0A1D5RBY3	708091	CACNB3	FALSE	TRUE	784	CACNB3	P54284		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5RCX6	694116	LIMS1	FALSE	TRUE	3987	LIMS1	P48059		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5RE30	706994	LY6H	FALSE	TRUE	4062	LY6H	O94772		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5RE98	696832	CD160	FALSE	TRUE	11126	CD160	O95971	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5REK8	722746	AGTRAP	FALSE	TRUE	57085	AGTRAP	Q6RW13		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5REX2	708980	FCER2	TRUE	TRUE	2208	FCER2	P06734	1 - high confidence	FALSE	TRUE	TRUE	TRUE	4	2
A0A1D5REZ6	706537	TSPAN5	FALSE	TRUE	10098	TSPAN5	P62079		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5RF63	693961	TRAF3	FALSE	TRUE	7187	TRAF3	Q13114		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5RF92	712509	ADRA1A	FALSE	TRUE	148	ADRA1A	P35348		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5RFE7	704311	CBL	FALSE	TRUE	867	CBL	P22681		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5RFP4	710419	PLEK2	FALSE	TRUE	26499	PLEK2	Q9NYT0		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5RFU8	703773	AQP4	FALSE	TRUE	361	AQP4	P55087		TRUE	TRUE	TRUE	TRUE	3	2
A0A1D5RG23	711907	UPK1B	FALSE	TRUE	7348	UPK1B	O75841		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5RGB8	698518	AFAP1L2	FALSE	TRUE	84632	AFAP1L2	Q8N4X5		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5RGW5	708193	DNAJC25	FALSE	TRUE	2790	GNG10	P50151		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5RHE7	695328	ADCY2	FALSE	TRUE	108	ADCY2	Q08462		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5RHW0	714647	CLDN7	FALSE	TRUE	1366	CLDN7	O95471		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5RIY5	707350	STAC	FALSE	TRUE	6769	STAC	Q99469		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5RJJ1	716155	C8B	FALSE	TRUE	732	C8B	P07358		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5RJX7	697984	GLRA3	FALSE	TRUE	8001	GLRA3	O75311		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5RL67	715523	USP8	FALSE	TRUE	9101	USP8	P40818		FALSE	FALSE	FALSE	TRUE	0	2
A0A5F7Z783	709757	NTRK2	FALSE	TRUE	4915	NTRK2	Q16620	1 - high confidence	TRUE	TRUE	FALSE	TRUE	3	2
A0A5F7Z7G7	705434	SLCO1A2	FALSE	TRUE	6579	SLCO1A2	P46721		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F7Z7Q1	100426661	OR4Q3	FALSE	TRUE	441669	OR4Q3	Q8NH05		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F7Z7T5	574344	GRIA2	FALSE	TRUE	2891	GRIA2	P42262	1 - high confidence	TRUE	FALSE	TRUE	TRUE	3	2
A0A5F7Z9J5	715244	OR51M1	FALSE	TRUE	390059	OR51M1	Q9H341		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F7ZAW6	698396	GRIA3	FALSE	TRUE	2892	GRIA3	P42263		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F7ZAZ7	700962	ITGA3	FALSE	TRUE	3675	ITGA3	P26006	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	2
A0A5F7ZB91	704777	PODXL	FALSE	TRUE	5420	PODXL	O00592	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A5F7ZBQ9	699745	PCDHB7	FALSE	TRUE	56129	PCDHB7	Q9Y5E2		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F7ZDC7	699932	SLC16A8	FALSE	TRUE	23539	SLC16A8	O95907		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F7ZE28	720038	SLC29A2	FALSE	TRUE	3177	SLC29A2	Q14542	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A5F7ZEN7	704432	GJA3	FALSE	TRUE	2700	GJA3	Q9Y6H8		TRUE	TRUE	FALSE	TRUE	2	2
A0A5F7ZEU6	717723	OR52M1	FALSE	TRUE	119772	OR52M1	Q8NGK5		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F7ZFB1	697763	AVPR2	FALSE	TRUE	554	AVPR2	P30518		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F7ZFV6	574254	KITLG	FALSE	TRUE	4254	KITLG	P21583	1 - high confidence	TRUE	TRUE	FALSE	TRUE	3	2
A0A5F7ZH52	718452	LOC718452	FALSE	TRUE	26539	OR10H1	Q9Y4A9		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F7ZJT0	716553	SHH	FALSE	TRUE	6469	SHH	Q15465		FALSE	TRUE	TRUE	TRUE	2	2
A0A5F7ZKD5	694583	EPHA3	FALSE	TRUE	2042	EPHA3	P29320	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A5F7ZL43	717947	MAMU-DOA	FALSE	TRUE	3111	HLA-DOA	P06340		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F7ZLS5	707482	TMEM266	FALSE	TRUE	123591	TMEM266	Q2M3C6		FALSE	FALSE	FALSE	TRUE	0	2
A0A5F7ZQ05	703847	BEST4	FALSE	TRUE	266675	BEST4	Q8NFU0		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F7ZRP6	721635	SCIMP	FALSE	TRUE	388325	SCIMP	Q6UWF3		FALSE	FALSE	FALSE	TRUE	0	2
A0A5F7ZTT2	709809	TMPRSS11B	FALSE	TRUE	132724	TMPRSS11B	Q86T26		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F7ZVR8	711426	GPC2	FALSE	TRUE	221914	GPC2	Q8N158		TRUE	FALSE	TRUE	TRUE	2	2
A0A5F7ZVW5	700104	SGCE	FALSE	TRUE	8910	SGCE	O43556	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A5F7ZWF2	703023	OR1F1	FALSE	TRUE	4992	OR1F1	O43749		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F7ZWW1	574344	GRIA2	FALSE	TRUE	2891	GRIA2	P42262	1 - high confidence	TRUE	FALSE	TRUE	TRUE	3	2
A0A5F7ZZP8	699623	PCDHB2	FALSE	TRUE	56133	PCDHB2	Q9Y5E7		TRUE	TRUE	FALSE	TRUE	2	2
A0A5F8A0A4	695792	ADCY8	FALSE	TRUE	114	ADCY8	P40145		FALSE	FALSE	FALSE	TRUE	0	2
A0A5F8A0K9	709701	KLHL41	FALSE	TRUE	129880	BBS5	Q8N3I7		FALSE	FALSE	FALSE	TRUE	0	2
A0A5F8A2C9	694116	LIMS1	FALSE	TRUE	3987	LIMS1	P48059		FALSE	FALSE	FALSE	TRUE	0	2
A0A5F8A2H0	719964	OR6N2	FALSE	TRUE	81442	OR6N2	Q8NGY6		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F8A4A5	705794	GRIA4	FALSE	TRUE	2893	GRIA4	P48058		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F8A4K0	710244	EDA2R	FALSE	TRUE	60401	EDA2R	Q9HAV5		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F8A5Y6	700508	PCDHB8	FALSE	TRUE	56128	PCDHB8	Q9UN66		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F8A6A9	717965	OR7C2	FALSE	TRUE	26658	OR7C2	O60412		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F8A6B8	719969	MPZ	FALSE	TRUE	4359	MPZ	P25189	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A5F8A6N2	697204	PANX1	FALSE	TRUE	24145	PANX1	Q96RD7	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A5F8A795	702100	OR10Q1	FALSE	TRUE	219960	OR10Q1	Q8NGQ4		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F8A8J6	697421	GPA33	FALSE	TRUE	10223	GPA33	Q99795		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F8AB01	716960	OR51G2	FALSE	TRUE	81282	OR51G2	Q8NGK0		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F8ABC3	574368	NLGN2	FALSE	TRUE	57555	NLGN2	Q8NFZ4	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	2
A0A5F8ABQ9	694376	PHKA2	FALSE	TRUE	5256	PHKA2	P46019		FALSE	FALSE	FALSE	TRUE	0	2
A0A5F8ACX1	641437	KCND3	FALSE	TRUE	3752	KCND3	Q9UK17		FALSE	FALSE	FALSE	TRUE	0	2
A0A5F8ADY2	717947	MAMU-DOA	FALSE	TRUE	3111	HLA-DOA	P06340		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F8AF57	716545	BEST2	FALSE	TRUE	54831	BEST2	Q8NFU1		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F8AGU8	697706	OR5H2	FALSE	TRUE	79310	OR5H2	Q8NGV7		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F8AHE6	712918	TDGF1	FALSE	TRUE	6997	TDGF1	P13385		TRUE	TRUE	TRUE	TRUE	3	2
A0A5F8AHQ3	698888	ITGA8	FALSE	TRUE	8516	ITGA8	P53708	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	2
A0A5F8AHQ5	574354	SLCO1B3	FALSE	TRUE	28234	SLCO1B3	Q9NPD5		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F8AHR0	713474	OR52E4	FALSE	TRUE	390081	OR52E4	Q8NGH9		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F8AI58	100426356	CLDN25	FALSE	TRUE	644672	CLDN25	C9JDP6		FALSE	FALSE	FALSE	TRUE	0	2
A0A5F8AIT9	696487	KCNV2	FALSE	TRUE	169522	KCNV2	Q8TDN2		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F8AJ48	705192	SLC34A3	FALSE	TRUE	142680	SLC34A3	Q8N130		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F8AK43	697014	JPH1	FALSE	TRUE	56704	JPH1	Q9HDC5		FALSE	FALSE	FALSE	TRUE	0	2
A0A5F8AKP8	711558	KCNA6	FALSE	TRUE	3742	KCNA6	P17658		FALSE	FALSE	FALSE	TRUE	0	2
A0A5F8ALW7	699152	OR4D9	FALSE	TRUE	390199	OR4D9	Q8NGE8		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F8AML7	702068	EMB	FALSE	TRUE	133418	EMB	Q6PCB8	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A5F8ANL5	706295	EPHA1	FALSE	TRUE	2041	EPHA1	P21709	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A5F8ANS0	711510	TMPRSS11D	FALSE	TRUE	9407	TMPRSS11D	O60235		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F8AP74	698222	ATP4B	FALSE	TRUE	496	ATP4B	P51164		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F8AP75	711926	GLRA2	FALSE	TRUE	2742	GLRA2	P23416		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F8AQS6	710231	OR5V1	FALSE	TRUE	81696	OR5V1	Q9UGF6		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F8ASX8	695106	ADRA1B	FALSE	TRUE	147	ADRA1B	P35368		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F8AV45	697830	MS4A2	FALSE	TRUE	2206	MS4A2	Q01362		FALSE	TRUE	TRUE	TRUE	2	2
A0A5K1UJU3	574333	CNTN2	FALSE	TRUE	6900	CNTN2	Q02246		TRUE	TRUE	TRUE	TRUE	3	2
A0A5K1UTZ2	712190	KCNH1	FALSE	TRUE	3756	KCNH1	O95259		FALSE	FALSE	TRUE	TRUE	1	2
A0A5K1VAF5	698437	MPZL1	FALSE	TRUE	9019	MPZL1	O95297	1 - high confidence	TRUE	FALSE	TRUE	TRUE	3	2
A0A5K1VBL3	702346	SLC6A9	FALSE	TRUE	6536	SLC6A9	P48067	2 - putative	TRUE	FALSE	FALSE	TRUE	2	2
A1E2I4	715186	MX1	FALSE	TRUE	4599	MX1	P20591		FALSE	FALSE	FALSE	TRUE	0	2
A1E2I5	780935	MX2	FALSE	TRUE	4600	MX2	P20592		FALSE	FALSE	FALSE	TRUE	0	2
A3QP01	714666	TAS1R2	FALSE	TRUE	80834	TAS1R2	Q8TE23		TRUE	FALSE	FALSE	TRUE	1	2
A3RFZ7	720006	FCGR3	FALSE	TRUE	2214;2215	FCGR3A;FCGR3B	P08637;O75015	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	2
A4K2T1	711715	KCNS1	FALSE	TRUE	3787	KCNS1	Q96KK3		TRUE	FALSE	FALSE	TRUE	1	2
A8T666	717147	PCSK9	TRUE	TRUE	255738	PCSK9	Q8NBP7		FALSE	TRUE	TRUE	TRUE	3	2
B0S4P6	712509	ADRA1A	FALSE	TRUE	148	ADRA1A	P35348		TRUE	FALSE	FALSE	TRUE	1	2
B3Y618	574290	TLR2	FALSE	TRUE	7097	TLR2	O60603	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	2
B3Y653	574291	TLR7	FALSE	TRUE	51284	TLR7	Q9NYK1		TRUE	FALSE	FALSE	TRUE	1	2
