Gene Name	UniProt	GeneID	CSPA category	Surfaceome	CRISPR	GO cell surface	GO plasma membrane	Num cell surface evidence
TNFRSF13B	O14836	23495	2 - putative	TRUE	TRUE	FALSE	TRUE	3
CEP290	O15078	80184		FALSE	TRUE	FALSE	FALSE	1
NCAM2	O15394	4685	1 - high confidence	TRUE	TRUE	FALSE	TRUE	3
STX7	O15400	8417		FALSE	TRUE	FALSE	TRUE	1
TLR3	O15455	7098	1 - high confidence	TRUE	TRUE	FALSE	TRUE	3
FGF10	O15520	2255		FALSE	TRUE	TRUE	TRUE	2
RS1	O15537	6247		FALSE	TRUE	FALSE	TRUE	1
IRAK2	O43187	3656		FALSE	TRUE	FALSE	TRUE	1
TGFB1I1	O43294	7041		FALSE	TRUE	FALSE	TRUE	1
MTSS1	O43312	9788		FALSE	TRUE	FALSE	FALSE	1
PROM1	O43490	8842	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
CACNA1G	O43497	8913		TRUE	TRUE	FALSE	TRUE	2
CHST10	O43529	9486		FALSE	TRUE	FALSE	FALSE	1
SYT7	O43581	9066		FALSE	TRUE	FALSE	TRUE	1
AP1G1	O43747	164		FALSE	TRUE	FALSE	FALSE	1
STX6	O43752	10228		FALSE	TRUE	FALSE	TRUE	1
NRDC	O43847	4898		FALSE	TRUE	TRUE	FALSE	2
SUSD5	O60279	26032	1 - high confidence	TRUE	TRUE	FALSE	FALSE	3
CUBN	O60494	8029		FALSE	TRUE	TRUE	TRUE	2
STX10	O60499	8677		FALSE	TRUE	FALSE	FALSE	1
SORBS3	O60504	10174		FALSE	TRUE	FALSE	FALSE	1
GREM1	O60565	26585	1 - high confidence	FALSE	TRUE	TRUE	FALSE	3
TLR2	O60603	7097	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
GFRA3	O60609	2676		TRUE	TRUE	TRUE	TRUE	3
PLIN3	O60664	10226		FALSE	TRUE	FALSE	FALSE	1
CST8	O60676	10047		FALSE	TRUE	TRUE	FALSE	2
LPXN	O60711	9404		FALSE	TRUE	FALSE	TRUE	1
CACNA1F	O60840	778		FALSE	TRUE	FALSE	TRUE	1
RAMP1	O60894	10267		FALSE	TRUE	TRUE	TRUE	2
RAMP2	O60895	10266		TRUE	TRUE	TRUE	TRUE	3
RAMP3	O60896	10268	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
CTSV	O60911	1515	3 - unspecific	FALSE	TRUE	TRUE	TRUE	3
ICOSLG	O75144	23308	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
PPFIA3	O75145	8541		FALSE	TRUE	FALSE	FALSE	1
CDH16	O75309	1014		TRUE	TRUE	FALSE	TRUE	2
LRRN2	O75325	10446		TRUE	TRUE	FALSE	FALSE	2
SEMA7A	O75326	8482	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
HMMR	O75330	3161		FALSE	TRUE	TRUE	TRUE	2
PPFIA2	O75334	8499		FALSE	TRUE	TRUE	FALSE	2
PPFIA4	O75335	8497		FALSE	TRUE	TRUE	FALSE	2
ENTPD6	O75354	955		FALSE	TRUE	TRUE	TRUE	2
VAMP4	O75379	8674		FALSE	TRUE	TRUE	TRUE	2
GPC4	O75487	2239	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
STX11	O75558	8676		FALSE	TRUE	FALSE	TRUE	1
ITGA10	O75578	8515	1 - high confidence	TRUE	TRUE	FALSE	TRUE	3
LRP6	O75581	4040		TRUE	TRUE	TRUE	TRUE	3
GJB3	O75712	2707		TRUE	TRUE	FALSE	TRUE	2
ATP6AP2	O75787	10159		FALSE	TRUE	TRUE	TRUE	2
AP1G2	O75843	8906		FALSE	TRUE	FALSE	FALSE	1
ANXA9	O76027	8416		FALSE	TRUE	TRUE	TRUE	2
CCN5	O76076	8839		FALSE	TRUE	FALSE	FALSE	1
SLIT2	O94813	9353	1 - high confidence	FALSE	TRUE	TRUE	TRUE	3
SORBS2	O94875	8470		FALSE	TRUE	FALSE	TRUE	1
FARP2	O94887	9855		FALSE	TRUE	FALSE	FALSE	1
AP2A2	O94973	161		FALSE	TRUE	FALSE	TRUE	1
SEC31A	O94979	22872		FALSE	TRUE	FALSE	FALSE	1
CLSTN1	O94985	22883		TRUE	TRUE	TRUE	TRUE	3
CACNA1H	O95180	8912		FALSE	TRUE	FALSE	TRUE	1
VAPB	O95292	9217		FALSE	TRUE	FALSE	TRUE	1
GJB5	O95377	2709		TRUE	TRUE	FALSE	TRUE	2
CCN4	O95388	8840		FALSE	TRUE	FALSE	FALSE	1
CCN6	O95389	8838		FALSE	TRUE	FALSE	FALSE	1
BMP10	O95393	27302		FALSE	TRUE	TRUE	FALSE	2
GJB6	O95452	10804		TRUE	TRUE	FALSE	TRUE	2
SEC24B	O95487	10427		FALSE	TRUE	FALSE	FALSE	1
SNAP29	O95721	9342		FALSE	TRUE	FALSE	TRUE	1
AP2A1	O95782	160		FALSE	TRUE	FALSE	TRUE	1
CLDN1	O95832	9076		TRUE	TRUE	FALSE	TRUE	2
ITGBL1	O95965	9358		FALSE	TRUE	FALSE	TRUE	1
CLPTM1	O96005	1209	2 - putative	FALSE	TRUE	TRUE	TRUE	3
F10	P00742	2159		FALSE	TRUE	TRUE	TRUE	2
PLG	P00747	5340		FALSE	TRUE	TRUE	TRUE	2
PLAU	P00749	5328	1 - high confidence	FALSE	TRUE	TRUE	TRUE	3
PLAT	P00750	5327	1 - high confidence	FALSE	TRUE	TRUE	FALSE	3
ADA	P00813	100		FALSE	TRUE	TRUE	TRUE	2
PDGFB	P01127	5155		FALSE	TRUE	TRUE	TRUE	2
LDLR	P01130	3949	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
TGFA	P01135	7039		TRUE	TRUE	TRUE	TRUE	3
TGFB1	P01137	7040	1 - high confidence	FALSE	TRUE	TRUE	TRUE	3
TNF	P01375	7124		FALSE	TRUE	TRUE	TRUE	2
IFNG	P01579	3458		FALSE	TRUE	FALSE	FALSE	1
IL1A	P01583	3552		FALSE	TRUE	FALSE	FALSE	1
CD4	P01730	920	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
CD8A	P01732	925		TRUE	TRUE	TRUE	TRUE	3
HLA-DRB1	P01911	3123	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
COL1A1	P02452	1277	1 - high confidence	FALSE	TRUE	FALSE	FALSE	2
CRYAB	P02511	1410		FALSE	TRUE	TRUE	TRUE	2
APOE	P02649	348		FALSE	TRUE	FALSE	TRUE	1
FGA	P02671	2243	1 - high confidence	FALSE	TRUE	TRUE	TRUE	3
FGB	P02675	2244	1 - high confidence	FALSE	TRUE	TRUE	TRUE	3
FGG	P02679	2266		FALSE	TRUE	TRUE	TRUE	2
CHRNA1	P02708	1134		TRUE	TRUE	TRUE	TRUE	3
GYPA	P02724	2993		TRUE	TRUE	FALSE	TRUE	2
APOH	P02749	350	1 - high confidence	FALSE	TRUE	TRUE	FALSE	3
CXCL10	P02778	3627		FALSE	TRUE	TRUE	TRUE	2
BGLAP	P02818	632		FALSE	TRUE	FALSE	FALSE	1
PDGFA	P04085	5154		FALSE	TRUE	TRUE	FALSE	2
MAS1	P04201	4142		TRUE	TRUE	FALSE	TRUE	2
THY1	P04216	7070	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
CD74	P04233	972	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
VWF	P04275	7450	1 - high confidence	FALSE	TRUE	FALSE	FALSE	2
WNT1	P04628	7471		FALSE	TRUE	TRUE	TRUE	2
NTRK1	P04629	4914	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
HSPB1	P04792	3315		FALSE	TRUE	FALSE	TRUE	1
APP	P05067	351		TRUE	TRUE	TRUE	TRUE	3
ITGB3	P05106	3690	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
ITGB2	P05107	3689	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
IL4	P05112	3565		FALSE	TRUE	FALSE	FALSE	1
SERPINA5	P05154	5104		FALSE	TRUE	TRUE	TRUE	2
ALPP	P05187	250	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
IL6	P05231	3569		FALSE	TRUE	FALSE	TRUE	1
ICAM1	P05362	3383	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
ITGB1	P05556	3688	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
HPN	P05981	3249		FALSE	TRUE	TRUE	TRUE	2
CD5	P06127	921	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
ATP5F1B	P06576	506		FALSE	TRUE	TRUE	TRUE	2
CD2	P06729	914	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
FCER2	P06734	2208	1 - high confidence	FALSE	TRUE	TRUE	TRUE	3
ITGAV	P06756	3685	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
LPL	P06858	4023		TRUE	TRUE	TRUE	TRUE	3
SERPINE2	P07093	5270	1 - high confidence	FALSE	TRUE	TRUE	TRUE	3
TPO	P07202	7173		TRUE	TRUE	TRUE	TRUE	3
THBD	P07204	7056	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P4HB	P07237	5034		FALSE	TRUE	TRUE	TRUE	2
CSF1R	P07333	1436		TRUE	TRUE	TRUE	TRUE	3
GP1BA	P07359	2811		TRUE	TRUE	TRUE	TRUE	3
CD3E	P07766	916		FALSE	TRUE	TRUE	TRUE	2
CTSB	P07858	1508		FALSE	TRUE	TRUE	TRUE	2
THBS1	P07996	7057	3 - unspecific	FALSE	TRUE	TRUE	TRUE	3
GJB1	P08034	2705		TRUE	TRUE	FALSE	TRUE	2
NGFR	P08138	4804		TRUE	TRUE	TRUE	TRUE	3
CD55	P08174	1604	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
ABCB1	P08183	5243	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
SLC3A2	P08195	6520	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
ELANE	P08246	1991	3 - unspecific	FALSE	TRUE	TRUE	FALSE	3
CTSG	P08311	1511		FALSE	TRUE	TRUE	TRUE	2
ITGA2B	P08514	3674	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
CD14	P08571	929	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
PTPRC	P08575	5788	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
FCGR3A	P08637	2214	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
ITGA5	P08648	3678	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
CYP3A4	P08684	1576		FALSE	TRUE	FALSE	FALSE	1
ANXA5	P08758	308		FALSE	TRUE	TRUE	TRUE	2
CD63	P08962	967	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
PKHD1	P08F94	5314		TRUE	TRUE	TRUE	TRUE	3
CD48	P09326	962	1 - high confidence	TRUE	TRUE	FALSE	TRUE	3
LGALS1	P09382	3956		FALSE	TRUE	TRUE	FALSE	2
HMGB1	P09429	3146		FALSE	TRUE	TRUE	TRUE	2
CLTA	P09496	1211		FALSE	TRUE	FALSE	TRUE	1
CLTB	P09497	1212		FALSE	TRUE	FALSE	TRUE	1
FURIN	P09958	5045		TRUE	TRUE	TRUE	TRUE	3
FREM3	P0C091	166752		FALSE	TRUE	FALSE	FALSE	1
RARA	P10276	5914		FALSE	TRUE	TRUE	FALSE	2
SPP1	P10451	6696		FALSE	TRUE	FALSE	FALSE	1
PTPRF	P10586	5792	1 - high confidence	TRUE	TRUE	FALSE	TRUE	3
TGFB3	P10600	7043		FALSE	TRUE	TRUE	TRUE	2
KIT	P10721	3815	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
CD28	P10747	940	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
HSPD1	P10809	3329	3 - unspecific	FALSE	TRUE	TRUE	TRUE	3
GHR	P10912	2690		TRUE	TRUE	TRUE	TRUE	3
HAPLN1	P10915	1404		FALSE	TRUE	FALSE	FALSE	1
CD8B	P10966	926		TRUE	TRUE	TRUE	TRUE	3
HSPA5	P11021	3309		FALSE	TRUE	TRUE	TRUE	2
HSPA8	P11142	3312	3 - unspecific	FALSE	TRUE	FALSE	TRUE	2
ITGAM	P11215	3684	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
RALA	P11233	5898		FALSE	TRUE	TRUE	TRUE	2
SPTB	P11277	6710		FALSE	TRUE	TRUE	TRUE	2
LAMP1	P11279	3916	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
DMD	P11532	1756		FALSE	TRUE	TRUE	TRUE	2
IGF2R	P11717	3482	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
MS4A1	P11836	931	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
CD79A	P11912	973	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
FCER1A	P12319	2205		TRUE	TRUE	TRUE	TRUE	3
BMP2	P12643	650		FALSE	TRUE	TRUE	TRUE	2
ACE	P12821	1636	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
CDH1	P12830	999	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
TDGF1	P13385	6997		TRUE	TRUE	TRUE	TRUE	3
NCAM1	P13591	4684	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
ITGA4	P13612	3676	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
F3	P13726	2152	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
ENO3	P13929	2027		FALSE	TRUE	FALSE	TRUE	1
CD59	P13987	966	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
SELL	P14151	6402	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
SLC2A4	P14672	6517	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
IDE	P14735	3416		FALSE	TRUE	TRUE	TRUE	2
IL1R1	P14778	3554	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
IL2RB	P14784	3560	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
ANPEP	P15144	290	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
PVR	P15151	5817	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
B4GALT1	P15291	2683		FALSE	TRUE	TRUE	TRUE	2
CD19	P15391	930	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
AREG	P15514	374	1 - high confidence	TRUE	TRUE	TRUE	FALSE	4
CD46	P15529	4179	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
VEGFA	P15692	7422		FALSE	TRUE	TRUE	FALSE	2
CD1D	P15813	912	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
MUC1	P15941	4582		TRUE	TRUE	FALSE	TRUE	2
TIMP2	P16035	7077		FALSE	TRUE	TRUE	FALSE	2
CD44	P16070	960	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
SELP	P16109	6403	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
ACAN	P16112	176		FALSE	TRUE	FALSE	FALSE	1
ITGB4	P16144	3691	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
SPN	P16150	6693		TRUE	TRUE	TRUE	TRUE	3
CTLA4	P16410	1493		TRUE	TRUE	TRUE	TRUE	3
EPCAM	P16422	4072	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
PRLR	P16471	5618		TRUE	TRUE	TRUE	TRUE	3
SELE	P16581	6401		TRUE	TRUE	FALSE	TRUE	2
CD36	P16671	948	2 - putative	TRUE	TRUE	TRUE	TRUE	4
IL7R	P16871	3575	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
ITGA2	P17301	3673	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
GJA1	P17302	2697		TRUE	TRUE	FALSE	TRUE	2
CHRNB2	P17787	1141		TRUE	TRUE	TRUE	TRUE	3
ENG	P17813	2022	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
CR1	P17927	1378	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
ITGB5	P18084	3693	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
ITGB6	P18564	3694	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
LAG3	P18627	3902		TRUE	TRUE	TRUE	TRUE	3
SDC1	P18827	6382		TRUE	TRUE	TRUE	TRUE	3
VCAM1	P19320	7412	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
CD53	P19397	963	2 - putative	TRUE	TRUE	TRUE	TRUE	4
TNFRSF1A	P19438	7132	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
GGT1	P19440	2678	3 - unspecific	TRUE	TRUE	FALSE	TRUE	3
CR2	P20023	1380	1 - high confidence	TRUE	TRUE	FALSE	TRUE	3
CD33	P20138	945	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
CD22	P20273	933	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
RAB3A	P20336	5864		FALSE	TRUE	FALSE	TRUE	1
M6PR	P20645	4074	1 - high confidence	TRUE	TRUE	FALSE	TRUE	3
ITGAL	P20701	3683	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
ITGAX	P20702	3687	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
RASA1	P20936	5921		FALSE	TRUE	FALSE	TRUE	1
S1PR1	P21453	1901	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
SYT1	P21579	6857		FALSE	TRUE	FALSE	TRUE	1
KITLG	P21583	4254	1 - high confidence	TRUE	TRUE	FALSE	TRUE	3
FGFR2	P21802	2263	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
BGN	P21810	633	1 - high confidence	FALSE	TRUE	TRUE	TRUE	3
CD9	P21926	928		TRUE	TRUE	TRUE	TRUE	3
FUT4	P22083	2526		FALSE	TRUE	TRUE	FALSE	2
TNXB	P22105	7148	1 - high confidence	FALSE	TRUE	FALSE	FALSE	2
ACHE	P22303	43	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
ENPP1	P22413	5167	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
CA4	P22748	762		TRUE	TRUE	TRUE	TRUE	3
LHCGR	P22888	3973		TRUE	TRUE	FALSE	TRUE	2
ITGA6	P23229	3655	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
ANOS1	P23352	3730		FALSE	TRUE	FALSE	TRUE	1
GLRA1	P23415	2741		TRUE	TRUE	TRUE	TRUE	3
RPS6KB1	P23443	6198		FALSE	TRUE	FALSE	FALSE	1
TNFSF4	P23510	7292		TRUE	TRUE	TRUE	TRUE	3
VAMP1	P23763	6843		FALSE	TRUE	TRUE	TRUE	2
FSHR	P23945	2492		TRUE	TRUE	FALSE	TRUE	2
IL32	P24001	9235		FALSE	TRUE	FALSE	FALSE	1
LAMA2	P24043	3908	1 - high confidence	FALSE	TRUE	FALSE	TRUE	2
CXCR2	P25025	3579		TRUE	TRUE	TRUE	TRUE	3
CD24	P25063	100133941		TRUE	TRUE	TRUE	TRUE	3
TACR1	P25103	6869		TRUE	TRUE	FALSE	TRUE	2
AZGP1	P25311	563		FALSE	TRUE	TRUE	TRUE	2
FAS	P25445	355	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
CD40	P25942	958	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
ITGA3	P26006	3675	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
ITGB7	P26010	3695	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
ITGB8	P26012	3696	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
MSN	P26038	4478		FALSE	TRUE	TRUE	TRUE	2
CTNNA2	P26232	1496		FALSE	TRUE	FALSE	TRUE	1
CD27	P26842	939	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
ACVR2A	P27037	92	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
DPP4	P27487	1803	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
CALR	P27797	811	1 - high confidence	FALSE	TRUE	TRUE	TRUE	3
CD34	P28906	947	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
CD38	P28907	952	2 - putative	TRUE	TRUE	TRUE	TRUE	4
GJB2	P29033	2706		TRUE	TRUE	FALSE	TRUE	2
PCSK6	P29122	5046		FALSE	TRUE	TRUE	TRUE	2
ADORA2B	P29275	136		TRUE	TRUE	FALSE	TRUE	2
CD40LG	P29965	959	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
PEBP1	P30086	5037		FALSE	TRUE	FALSE	FALSE	1
CD6	P30203	923	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
FCER1G	P30273	2207		FALSE	TRUE	TRUE	TRUE	2
AXL	P30530	558	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
SLC6A1	P30531	6529		TRUE	TRUE	TRUE	TRUE	3
LRPAP1	P30533	4043	3 - unspecific	FALSE	TRUE	TRUE	TRUE	3
SDC4	P31431	6385		FALSE	TRUE	TRUE	TRUE	2
IL2RG	P31785	3561	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
CCR1	P32246	1230		TRUE	TRUE	TRUE	TRUE	3
CCR7	P32248	1236	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
STX2	P32856	2054		FALSE	TRUE	FALSE	TRUE	1
CDH5	P33151	1003	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
CD80	P33681	941	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
TRHR	P34981	7201	1 - high confidence	TRUE	TRUE	FALSE	TRUE	3
GJA4	P35212	2701		TRUE	TRUE	FALSE	TRUE	2
IL13	P35225	3596		FALSE	TRUE	TRUE	TRUE	2
THBS4	P35443	7060		FALSE	TRUE	FALSE	FALSE	1
COPB2	P35606	9276		FALSE	TRUE	FALSE	FALSE	1
KDR	P35968	3791		TRUE	TRUE	FALSE	TRUE	2
GGT5	P36269	2687	3 - unspecific	FALSE	TRUE	FALSE	TRUE	2
GJA5	P36382	2702		FALSE	TRUE	FALSE	TRUE	1
GJC1	P36383	10052		FALSE	TRUE	FALSE	TRUE	1
FLT3	P36888	2322	1 - high confidence	TRUE	TRUE	FALSE	TRUE	3
ACVR1B	P36896	91		TRUE	TRUE	TRUE	TRUE	3
ACVRL1	P37023	94		TRUE	TRUE	TRUE	TRUE	3
SCNN1A	P37088	6337		TRUE	TRUE	FALSE	TRUE	2
TGFBR2	P37173	7048	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
ITGAE	P38570	3682	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
HSPA9	P38646	3313		FALSE	TRUE	FALSE	FALSE	1
COL15A1	P39059	1306		FALSE	TRUE	FALSE	FALSE	1
COL18A1	P39060	80781		FALSE	TRUE	FALSE	FALSE	1
PLA2G5	P39877	5322		FALSE	TRUE	FALSE	TRUE	1
IL6ST	P40189	3572	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
CD79B	P40259	974	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
WNT5A	P41221	7474	1 - high confidence	FALSE	TRUE	TRUE	TRUE	3
CD86	P42081	942	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
GRIA1	P42261	2890		TRUE	TRUE	TRUE	TRUE	3
IL12RB1	P42701	3594		TRUE	TRUE	TRUE	TRUE	3
CDKN2A	P42771;Q8N726	1029		FALSE	TRUE	FALSE	FALSE	1
ECE1	P42892	1889	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
SLC1A3	P43003	6507	2 - putative	TRUE	TRUE	TRUE	TRUE	4
MCAM	P43121	4162	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
TNFRSF4	P43489	7293		TRUE	TRUE	TRUE	TRUE	3
CHRNA4	P43681	1137		TRUE	TRUE	TRUE	TRUE	3
ABCG1	P45844	9619		FALSE	TRUE	TRUE	TRUE	2
FASLG	P48023	356		TRUE	TRUE	TRUE	TRUE	3
KCNJ6	P48051	3763		FALSE	TRUE	FALSE	TRUE	1
CXCL12	P48061	6387		FALSE	TRUE	TRUE	TRUE	2
GJA8	P48165	2703		FALSE	TRUE	FALSE	TRUE	1
KCNJ5	P48544	3762		FALSE	TRUE	TRUE	TRUE	2
KCNJ3	P48549	3760		TRUE	TRUE	TRUE	TRUE	3
CCN3	P48745	4856		FALSE	TRUE	FALSE	FALSE	1
SLC9A3	P48764	6550		TRUE	TRUE	TRUE	TRUE	3
CX3CR1	P49238	1524		TRUE	TRUE	TRUE	TRUE	3
LMAN1	P49257	3998		FALSE	TRUE	FALSE	FALSE	1
SLC11A2	P49281	4891	2 - putative	TRUE	TRUE	TRUE	TRUE	4
CXCR3	P49682	2833	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
THBS3	P49746	7059	3 - unspecific	FALSE	TRUE	FALSE	FALSE	2
COMP	P49747	1311		FALSE	TRUE	FALSE	FALSE	1
RGS6	P49758	9628		FALSE	TRUE	FALSE	TRUE	1
PSEN1	P49768	5663		TRUE	TRUE	TRUE	TRUE	3
PSEN2	P49810	5664		TRUE	TRUE	TRUE	TRUE	3
ENTPD1	P49961	953	2 - putative	TRUE	TRUE	FALSE	TRUE	3
GDI2	P50395	2665		FALSE	TRUE	FALSE	FALSE	1
DNM2	P50570	1785		FALSE	TRUE	FALSE	TRUE	1
BCAM	P50895	4059	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
SCNN1B	P51168	6338		TRUE	TRUE	TRUE	TRUE	3
SCNN1G	P51170	6340		TRUE	TRUE	TRUE	TRUE	3
MMP16	P51512	4325		TRUE	TRUE	TRUE	TRUE	3
CAV2	P51636	858		FALSE	TRUE	FALSE	TRUE	1
