UniProt	GeneID	Gene Name	GO cell surface	GO plasma membrane	GeneID - human	Gene Name - human	UniProt - human	CSPA category	Surfaceome	CRISPR	GO cell surface - human	GO plasma membrane - human	Num cell surface evidence	Num plasma membrane evidence
A0A1D5QAR3	704326	ABCC5	FALSE	FALSE	10057	ABCC5	O15440	2 - putative	TRUE	FALSE	FALSE	TRUE	2	1
A0A1D5QAR5	713244	AP1S2	FALSE	FALSE	8905	AP1S2	P56377		FALSE	TRUE	FALSE	FALSE	1	0
A0A1D5QAT2	701245	BDNF	FALSE	FALSE	627	BDNF	P23560	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1	0
A0A1D5QC61	711465	MTSS1	FALSE	FALSE	9788	MTSS1	O43312		FALSE	TRUE	FALSE	FALSE	1	0
A0A1D5QCN0	695483	ADCYAP1R1	FALSE	FALSE	117	ADCYAP1R1	P41586		TRUE	FALSE	TRUE	TRUE	2	1
A0A1D5QCP5	717373	EFNA3	FALSE	FALSE	1944	EFNA3	P52797		TRUE	FALSE	FALSE	TRUE	1	1
A0A1D5QDK0	716409	CXADR	FALSE	FALSE	1525	CXADR	P78310	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	1
A0A1D5QDM4	699869	IL7R	TRUE	TRUE	3575	IL7R	P16871	1 - high confidence	TRUE	TRUE	TRUE	TRUE	5	2
A0A1D5QEJ8	718306	CLPTM1	FALSE	FALSE	1209	CLPTM1	O96005	2 - putative	FALSE	TRUE	TRUE	TRUE	3	1
A0A1D5QF63	717211	EPHB1	FALSE	TRUE	2047	EPHB1	P54762	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5QFI7	716766	RTBDN	FALSE	FALSE	83546	RTBDN	Q9BSG5		FALSE	FALSE	TRUE	TRUE	1	1
A0A1D5QFJ5	706731	NECTIN3	FALSE	TRUE	25945	NECTIN3	Q9NQS3	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5QG07	698087	USP14	TRUE	FALSE	9097	USP14	P54578		FALSE	TRUE	TRUE	TRUE	3	1
A0A1D5QGF5	100430724	LRRC8B	FALSE	TRUE	23507	LRRC8B	Q6P9F7	2 - putative	FALSE	FALSE	FALSE	TRUE	1	2
A0A1D5QGK0	695654	TMEM248	FALSE	FALSE	55069	TMEM248	Q9NWD8	2 - putative	FALSE	FALSE	FALSE	FALSE	1	0
A0A1D5QH58	721917	SLC19A1	FALSE	TRUE	6573	SLC19A1	P41440	2 - putative	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5QHF5	711320	PLXNC1	FALSE	TRUE	10154	PLXNC1	O60486	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5QJ31	710834	GJB3	FALSE	TRUE	2707	GJB3	O75712		TRUE	TRUE	FALSE	TRUE	2	2
A0A1D5QJD5	100427283	CD300LG	FALSE	FALSE	146894	CD300LG	Q6UXG3		TRUE	FALSE	FALSE	TRUE	1	1
A0A1D5QJI6	705725	CHRNA6	FALSE	TRUE	8973	CHRNA6	Q15825		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5QJP4	704695	F5	FALSE	FALSE	2153	F5	P12259	1 - high confidence	FALSE	FALSE	FALSE	TRUE	1	1
A0A1D5QJU3	703129	GLA	FALSE	FALSE	2717	GLA	P06280	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1	0
A0A1D5QK29	697241	SEC24B	FALSE	FALSE	10427	SEC24B	O95487		FALSE	TRUE	FALSE	FALSE	1	0
A0A1D5QL08	704740	SLCO1C1	FALSE	TRUE	53919	SLCO1C1	Q9NYB5		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5QLF9	694410	NTNG1	FALSE	FALSE	22854	NTNG1	Q9Y2I2	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	1
A0A1D5QM45	711653	TM4SF4	FALSE	FALSE	7104	TM4SF4	P48230		TRUE	FALSE	FALSE	FALSE	1	0
A0A1D5QML4	698063	FAM234B	FALSE	FALSE	57613	FAM234B	A2RU67	2 - putative	FALSE	FALSE	FALSE	FALSE	1	0
A0A1D5QMM0	700839	ADGRG7	FALSE	TRUE	84873	ADGRG7	Q96K78		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5QMW3	695193	SLC14A1	FALSE	TRUE	6563	SLC14A1	Q13336	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5QP05	707334	EQTN	FALSE	TRUE	54586	EQTN	Q9NQ60		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5QP56	710297	SEMA4F	FALSE	TRUE	10505	SEMA4F	O95754	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5QP89	712550	LTBR	FALSE	FALSE	4055	LTBR	P36941	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	1
A0A1D5QPG5	714282	HSD17B2	FALSE	FALSE	3294	HSD17B2	P37059	2 - putative	FALSE	FALSE	FALSE	FALSE	1	0
A0A1D5QPQ4	701538	SELE	FALSE	TRUE	6401	SELE	P16581		TRUE	TRUE	FALSE	TRUE	2	2
A0A1D5QPT8	698488	GPM6A	FALSE	FALSE	2823	GPM6A	P51674		TRUE	TRUE	FALSE	TRUE	2	1
A0A1D5QQ66	719748	HAPLN4	FALSE	FALSE	404037	HAPLN4	Q86UW8		FALSE	TRUE	FALSE	FALSE	1	0
A0A1D5QQH7	706255	TNFSF4	TRUE	FALSE	7292	TNFSF4	P23510		TRUE	TRUE	TRUE	TRUE	4	1
A0A1D5QQN7	694730	ADCY7	FALSE	TRUE	113	ADCY7	P51828	2 - putative	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5QQT7	713966	SLC4A2	FALSE	FALSE	6522	SLC4A2	P04920	2 - putative	FALSE	FALSE	FALSE	TRUE	1	1
A0A1D5QR53	703062	SLC38A11	FALSE	FALSE	151258	SLC38A11	Q08AI6		TRUE	FALSE	FALSE	FALSE	1	0
A0A1D5QRB0	717204	CD44	FALSE	FALSE	960	CD44	P16070	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	1
A0A1D5QRK2	694410	NTNG1	FALSE	FALSE	22854	NTNG1	Q9Y2I2	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	1
A0A1D5QRZ4	705819	IL6	FALSE	FALSE	3569	IL6	P05231		FALSE	TRUE	FALSE	TRUE	1	1
A0A1D5QSM7	706503	P2RX3	FALSE	TRUE	5024	P2RX3	P56373		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5QSZ1	721788	DIP2A	FALSE	FALSE	23181	DIP2A	Q14689		FALSE	FALSE	TRUE	FALSE	1	0
A0A1D5QT32	712210	CP	FALSE	FALSE	1356	CP	P00450	1 - high confidence	FALSE	FALSE	FALSE	TRUE	1	1
A0A1D5QT55	703698	BDKRB2	FALSE	TRUE	624	BDKRB2	P30411		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5QT95	710102	SLC22A15	FALSE	FALSE	55356	SLC22A15	Q8IZD6		TRUE	FALSE	FALSE	FALSE	1	0
A0A1D5QTM5	701499	TMEM63A	FALSE	TRUE	9725	TMEM63A	O94886	2 - putative	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5QTT7	708497	GRAMD1B	FALSE	FALSE	57476	GRAMD1B	Q3KR37		TRUE	FALSE	FALSE	TRUE	1	1
A0A1D5QTV5	717500	GNS	FALSE	FALSE	2799	GNS	P15586	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1	0
A0A1D5QU28	711914	LOC693947	FALSE	FALSE	6228	RPS23	P62266	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1	0
A0A1D5QU32	695483	ADCYAP1R1	FALSE	FALSE	117	ADCYAP1R1	P41586		TRUE	FALSE	TRUE	TRUE	2	1
A0A1D5QVJ4	717697	DNM1	FALSE	FALSE	1759	DNM1	Q05193		FALSE	TRUE	FALSE	TRUE	1	1
A0A1D5QVR4	708215	CACNA2D1	FALSE	TRUE	781	CACNA2D1	P54289	1 - high confidence	FALSE	FALSE	FALSE	TRUE	1	2
A0A1D5QWB5	722154	SLC2A5	FALSE	TRUE	6518	SLC2A5	P22732	2 - putative	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5QWQ7	715897	ADCY5	FALSE	TRUE	111	ADCY5	O95622		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5QX02	704086	SCN1A	FALSE	TRUE	6323	SCN1A	P35498		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5QX25	705838	CA12	FALSE	FALSE	771	CA12	O43570	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	1
A0A1D5QXI0	709580	EMCN	FALSE	TRUE	51705	EMCN	Q9ULC0		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5QYE4	715119	CLSTN3	TRUE	TRUE	9746	CLSTN3	Q9BQT9		TRUE	FALSE	TRUE	TRUE	3	2
A0A1D5QYR9	708225	SNAP23	FALSE	TRUE	8773	SNAP23	O00161		FALSE	TRUE	FALSE	TRUE	1	2
A0A1D5QYS0	712344	TMEM182	FALSE	FALSE	130827	TMEM182	Q6ZP80		TRUE	FALSE	FALSE	FALSE	1	0
A0A1D5QYV0	705831	TLL1	FALSE	FALSE	7092	TLL1	O43897	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1	0
A0A1D5QZ34	708408	CDH8	TRUE	TRUE	1006	CDH8	P55286	1 - high confidence	TRUE	FALSE	TRUE	TRUE	4	2
A0A1D5QZ63	693666	ACTN4	FALSE	FALSE	81	ACTN4	O43707	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1	0
A0A1D5QZG5	708411	ATP5PF	FALSE	FALSE	522	ATP5PF	P18859		FALSE	FALSE	TRUE	FALSE	1	0
A0A1D5QZK2	705729	AP3M1	FALSE	FALSE	26985	AP3M1	Q9Y2T2		FALSE	TRUE	FALSE	FALSE	1	0
A0A1D5QZL8	712210	CP	FALSE	FALSE	1356	CP	P00450	1 - high confidence	FALSE	FALSE	FALSE	TRUE	1	1
A0A1D5QZT0	700454	ITGB6	TRUE	TRUE	3694	ITGB6	P18564	1 - high confidence	TRUE	TRUE	TRUE	TRUE	5	2
A0A1D5R031	693666	ACTN4	FALSE	FALSE	81	ACTN4	O43707	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1	0
A0A1D5R0G9	713937	GOLIM4	FALSE	FALSE	27333	GOLIM4	O00461	2 - putative	FALSE	FALSE	FALSE	FALSE	1	0
A0A1D5R0I7	100425316	ERVFRD-1	FALSE	FALSE	405754	ERVFRD-1	P60508		TRUE	FALSE	FALSE	TRUE	1	1
A0A1D5R0T1	710396	IGFLR1	FALSE	TRUE	79713	IGFLR1	Q9H665		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5R106	714370	CD55	FALSE	FALSE	1604	CD55	P08174	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	1
A0A1D5R139	704666	CORIN	TRUE	TRUE	10699	CORIN	Q9Y5Q5		TRUE	TRUE	TRUE	TRUE	4	2
A0A1D5R171	716468	NETO2	FALSE	FALSE	81831	NETO2	Q8NC67		TRUE	FALSE	FALSE	FALSE	1	0
A0A1D5R177	706332	ADGRB2	FALSE	FALSE	576	ADGRB2	O60241		TRUE	FALSE	FALSE	TRUE	1	1
A0A1D5R1A3	699746	SLC34A1	FALSE	TRUE	6569	SLC34A1	Q06495		TRUE	FALSE	TRUE	TRUE	2	2
A0A1D5R1C6	703776	LRP3	FALSE	FALSE	4037	LRP3	O75074		TRUE	FALSE	FALSE	FALSE	1	0
A0A1D5R1L9	720191	ATP1A4	FALSE	FALSE	477	ATP1A2	P50993		TRUE	FALSE	FALSE	TRUE	1	1
A0A1D5R217	706368	NINJ2	FALSE	FALSE	4815	NINJ2	Q9NZG7		FALSE	TRUE	FALSE	TRUE	1	1
A0A1D5R219	717438	VIPR1	FALSE	FALSE	7433	VIPR1	P32241	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	1
A0A1D5R235	702015	MAEA	FALSE	FALSE	10296	MAEA	Q7L5Y9		FALSE	TRUE	FALSE	TRUE	1	1
A0A1D5R2V8	699309	PDE4B	FALSE	FALSE	5142	PDE4B	Q07343	3 - unspecific	FALSE	FALSE	FALSE	TRUE	1	1
A0A1D5R310	100430783	KLRB1	FALSE	FALSE	3820	KLRB1	Q12918	2 - putative	TRUE	FALSE	FALSE	TRUE	2	1
A0A1D5R3A6	709766	GPR87	FALSE	FALSE	53836	GPR87	Q9BY21		TRUE	FALSE	FALSE	TRUE	1	1
A0A1D5R3U6	707421	SLCO6A1	FALSE	TRUE	133482	SLCO6A1	Q86UG4		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5R5B1	717809	ALPL	FALSE	TRUE	249	ALPL	P05186	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5R5G4	719554	SLAMF9	FALSE	FALSE	89886	SLAMF9	Q96A28		TRUE	FALSE	FALSE	FALSE	1	0
A0A1D5R5Q6	701433	ANXA4	FALSE	TRUE	307	ANXA4	P09525		FALSE	FALSE	TRUE	TRUE	1	2
A0A1D5R654	707799	STS	FALSE	FALSE	412	STS	P08842	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	1
A0A1D5R6T7	700512	LRFN5	FALSE	FALSE	145581	LRFN5	Q96NI6		TRUE	FALSE	TRUE	TRUE	2	1
A0A1D5R6U4	708482	SSPN	FALSE	TRUE	8082	SSPN	Q14714		TRUE	TRUE	FALSE	TRUE	2	2
A0A1D5R7E2	697439	MRE11	FALSE	FALSE	10888	GPR83	Q9NYM4		TRUE	FALSE	FALSE	TRUE	1	1
A0A1D5R7E9	696667	MANSC1	FALSE	FALSE	54682	MANSC1	Q9H8J5		TRUE	FALSE	FALSE	FALSE	1	0
A0A1D5R7P2	703777	ALCAM	FALSE	FALSE	214	ALCAM	Q13740	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	1
A0A1D5R7V2	710299	TMEM245	FALSE	FALSE	23731	TMEM245	Q9H330	2 - putative	TRUE	FALSE	FALSE	FALSE	2	0
A0A1D5R8J7	714985	LINGO1	FALSE	FALSE	84894	LINGO1	Q96FE5		TRUE	FALSE	FALSE	TRUE	1	1
A0A1D5R977	721790	TSPAN9	FALSE	TRUE	10867	TSPAN9	O75954	2 - putative	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5R9B8	100428661	ACE	TRUE	TRUE	1636	ACE	P12821	1 - high confidence	TRUE	TRUE	TRUE	TRUE	5	2
A0A1D5R9N2	719400	RAB3D	FALSE	FALSE	5864	RAB3A	P20336		FALSE	TRUE	FALSE	TRUE	1	1
A0A1D5RB90	705931	NOX4	FALSE	FALSE	50507	NOX4	Q9NPH5		TRUE	FALSE	FALSE	TRUE	1	1
A0A1D5RBT9	716254	TTC17	FALSE	TRUE	55761	TTC17	Q96AE7	3 - unspecific	FALSE	FALSE	FALSE	TRUE	1	2
A0A1D5RC96	693558	TREM1	FALSE	FALSE	54210	TREM1	Q9NP99		TRUE	FALSE	FALSE	TRUE	1	1
A0A1D5RCI2	694094	PCNX1	FALSE	FALSE	22990	PCNX1	Q96RV3		TRUE	FALSE	FALSE	FALSE	1	0
A0A1D5RCY2	722782	KIR2DL4	FALSE	FALSE	3805	KIR2DL4	Q99706		TRUE	FALSE	FALSE	TRUE	1	1
A0A1D5RD14	713106	FEZ1	FALSE	FALSE	9638	FEZ1	Q99689		FALSE	TRUE	FALSE	TRUE	1	1
A0A1D5RE30	706994	LY6H	FALSE	TRUE	4062	LY6H	O94772		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5RE98	696832	CD160	FALSE	TRUE	11126	CD160	O95971	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5RE99	698004	ST3GAL1	FALSE	FALSE	6482	ST3GAL1	Q11201	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1	0
A0A1D5REL1	706552	FUT11	FALSE	FALSE	170384	FUT11	Q495W5	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1	0
A0A1D5REN7	697619	UNC5D	TRUE	FALSE	137970	UNC5D	Q6UXZ4		TRUE	TRUE	TRUE	TRUE	4	1
A0A1D5REV0	695984	RC3H2	TRUE	FALSE	54542	RC3H2	Q9HBD1		FALSE	TRUE	TRUE	FALSE	3	0
A0A1D5REX2	708980	FCER2	TRUE	TRUE	2208	FCER2	P06734	1 - high confidence	FALSE	TRUE	TRUE	TRUE	4	2
A0A1D5REZ6	706537	TSPAN5	FALSE	TRUE	10098	TSPAN5	P62079		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5RF67	705263	SLC4A10	FALSE	FALSE	57282	SLC4A10	Q6U841		TRUE	FALSE	FALSE	TRUE	1	1
A0A1D5RF92	712509	ADRA1A	FALSE	TRUE	148	ADRA1A	P35348		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5RFF9	701972	XPNPEP2	FALSE	FALSE	7512	XPNPEP2	O43895		TRUE	FALSE	FALSE	TRUE	1	1
A0A1D5RFI9	697986	GHR	FALSE	FALSE	2690	GHR	P10912		TRUE	TRUE	TRUE	TRUE	3	1
A0A1D5RFU8	703773	AQP4	FALSE	TRUE	361	AQP4	P55087		TRUE	TRUE	TRUE	TRUE	3	2
A0A1D5RG23	711907	UPK1B	FALSE	TRUE	7348	UPK1B	O75841		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5RGG1	702374	TMEM94	FALSE	FALSE	9772	TMEM94	Q12767	2 - putative	FALSE	FALSE	FALSE	FALSE	1	0
A0A1D5RHE7	695328	ADCY2	FALSE	TRUE	108	ADCY2	Q08462		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5RHK5	703062	SLC38A11	FALSE	FALSE	151258	SLC38A11	Q08AI6		TRUE	FALSE	FALSE	FALSE	1	0
A0A1D5RHL7	711762	GPM6B	FALSE	FALSE	2824	GPM6B	Q13491	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	1
A0A1D5RHW0	714647	CLDN7	FALSE	TRUE	1366	CLDN7	O95471		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5RIG3	716112	SLC39A14	FALSE	FALSE	23516	SLC39A14	Q15043	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	1
A0A1D5RJX7	697984	GLRA3	FALSE	TRUE	8001	GLRA3	O75311		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5RK03	702944	TNFSF8	FALSE	FALSE	944	TNFSF8	P32971		TRUE	FALSE	FALSE	TRUE	1	1
A0A1D5RK70	705767	ATRNL1	FALSE	FALSE	26033	ATRNL1	Q5VV63		TRUE	FALSE	FALSE	FALSE	1	0
A0A1D5RKN8	100426725	TMEM178B	FALSE	FALSE	100507421	TMEM178B	H3BS89		TRUE	FALSE	FALSE	FALSE	1	0
A0A1D5RL11	703544	SLC47A1	FALSE	FALSE	55244	SLC47A1	Q96FL8		TRUE	FALSE	FALSE	TRUE	1	1
A0A1L6Z9Z7	715304	g6g-ly6g6d	FALSE	FALSE	259215	LY6G6F	Q5SQ64		TRUE	FALSE	FALSE	TRUE	1	1
A0A1L6ZA00	715304	ly6g6f	FALSE	FALSE	259215	LY6G6F	Q5SQ64		TRUE	FALSE	FALSE	TRUE	1	1
A0A5F7Z783	709757	NTRK2	FALSE	TRUE	4915	NTRK2	Q16620	1 - high confidence	TRUE	TRUE	FALSE	TRUE	3	2
A0A5F7Z7G7	705434	SLCO1A2	FALSE	TRUE	6579	SLCO1A2	P46721		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F7Z7Q1	100426661	OR4Q3	FALSE	TRUE	441669	OR4Q3	Q8NH05		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F7Z7Q2	707221	TPRA1	FALSE	FALSE	131601	TPRA1	Q86W33		TRUE	FALSE	FALSE	FALSE	1	0
A0A5F7Z7T5	574344	GRIA2	FALSE	TRUE	2891	GRIA2	P42262	1 - high confidence	TRUE	FALSE	TRUE	TRUE	3	2
A0A5F7Z7T8	695699	TMEM8B	FALSE	FALSE	51754	TMEM8B	A6NDV4		TRUE	TRUE	TRUE	TRUE	3	1
A0A5F7Z7W8	716527	LOC716527	FALSE	FALSE	2319	FLOT2	Q14254		FALSE	TRUE	FALSE	TRUE	1	1
A0A5F7Z7Z5	693922	IQSEC1	FALSE	FALSE	9922	IQSEC1	Q6DN90		FALSE	TRUE	FALSE	FALSE	1	0
A0A5F7Z935	700567	RERG	FALSE	FALSE	85004	RERG	Q96A58	3 - unspecific	FALSE	FALSE	FALSE	TRUE	1	1
A0A5F7Z9J5	715244	OR51M1	FALSE	TRUE	390059	OR51M1	Q9H341		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F7Z9S0	696317	HTR7	FALSE	FALSE	3363	HTR7	P34969		TRUE	FALSE	FALSE	TRUE	1	1
A0A5F7Z9U6	699105	TMED4	FALSE	FALSE	222068	TMED4	Q7Z7H5	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1	0
A0A5F7ZA09	693922	IQSEC1	FALSE	FALSE	9922	IQSEC1	Q6DN90		FALSE	TRUE	FALSE	FALSE	1	0
A0A5F7ZAN4	697446	GPRC5C	FALSE	FALSE	55890	GPRC5C	Q9NQ84		TRUE	FALSE	FALSE	TRUE	1	1
A0A5F7ZAW6	698396	GRIA3	FALSE	TRUE	2892	GRIA3	P42263		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F7ZAX1	709968	CLPTM1L	FALSE	FALSE	81037	CLPTM1L	Q96KA5	2 - putative	FALSE	FALSE	FALSE	FALSE	1	0
A0A5F7ZAZ7	700962	ITGA3	FALSE	TRUE	3675	ITGA3	P26006	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	2
A0A5F7ZB91	704777	PODXL	FALSE	TRUE	5420	PODXL	O00592	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A5F7ZBQ9	699745	PCDHB7	FALSE	TRUE	56129	PCDHB7	Q9Y5E2		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F7ZC82	701021	CREG1	FALSE	FALSE	8804	CREG1	O75629	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1	0
A0A5F7ZD13	696352	CLN5	FALSE	FALSE	1203	CLN5	O75503	2 - putative	FALSE	FALSE	FALSE	FALSE	1	0
A0A5F7ZDA8	574358	SLC1A2	FALSE	FALSE	6506	SLC1A2	P43004		TRUE	FALSE	TRUE	TRUE	2	1
A0A5F7ZDC7	699932	SLC16A8	FALSE	TRUE	23539	SLC16A8	O95907		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F7ZDI3	716776	HTR6	FALSE	FALSE	3362	HTR6	P50406		TRUE	FALSE	FALSE	TRUE	1	1
A0A5F7ZE28	720038	SLC29A2	FALSE	TRUE	3177	SLC29A2	Q14542	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A5F7ZEC3	699674	TNFRSF4	FALSE	FALSE	7293	TNFRSF4	P43489		TRUE	TRUE	TRUE	TRUE	3	1
A0A5F7ZEM3	703142	CD300LD	FALSE	FALSE	100131439	CD300LD	Q6UXZ3		TRUE	FALSE	FALSE	TRUE	1	1
A0A5F7ZEN7	704432	GJA3	FALSE	TRUE	2700	GJA3	Q9Y6H8		TRUE	TRUE	FALSE	TRUE	2	2
A0A5F7ZEU6	717723	OR52M1	FALSE	TRUE	119772	OR52M1	Q8NGK5		TRUE	FALSE	FALSE	TRUE	1	2
A0A5F7ZF43	574213	LAMP3	FALSE	FALSE	27074	LAMP3	Q9UQV4	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	1
