Gene Name	UniProt	GeneID	CSPA category	Surfaceome	CRISPR	GO cell surface	GO plasma membrane	Num cell surface evidence
IGHV3-74	A0A0B4J1X5			FALSE	FALSE	TRUE	TRUE	1
IGHV3-43	A0A0B4J1X8			FALSE	FALSE	TRUE	TRUE	1
IGLV9-49	A0A0B4J1Y8			FALSE	FALSE	FALSE	TRUE	0
IGHV3-72	A0A0B4J1Y9			FALSE	FALSE	TRUE	TRUE	1
IGKV1D-43	A0A0B4J1Z2			FALSE	FALSE	FALSE	TRUE	0
TRBJ2-3	A0A0B4J200			FALSE	FALSE	FALSE	TRUE	0
TRAV2	A0A0B4J234			FALSE	FALSE	FALSE	TRUE	0
TRAV13-2	A0A0B4J235			FALSE	FALSE	FALSE	TRUE	0
TRAV8-2	A0A0B4J237			FALSE	FALSE	FALSE	TRUE	0
TRAV1-2	A0A0B4J238			FALSE	FALSE	FALSE	TRUE	0
TRAV10	A0A0B4J240			FALSE	FALSE	FALSE	TRUE	0
TRAV13-1	A0A0B4J241			FALSE	FALSE	FALSE	TRUE	0
TRAV3	A0A0B4J244			FALSE	FALSE	FALSE	TRUE	0
TRAV12-1	A0A0B4J245			FALSE	FALSE	FALSE	TRUE	0
TRAV1-1	A0A0B4J248			FALSE	FALSE	FALSE	TRUE	0
TRAV5	A0A0B4J249			FALSE	FALSE	FALSE	TRUE	0
TRAV8-6	A0A0B4J262			FALSE	FALSE	FALSE	TRUE	0
TRAV39	A0A0B4J263			FALSE	FALSE	FALSE	TRUE	0
TRAV38-1	A0A0B4J264			FALSE	FALSE	FALSE	TRUE	0
TRAV26-2	A0A0B4J265			FALSE	FALSE	FALSE	TRUE	0
TRAV41	A0A0B4J266			FALSE	FALSE	FALSE	TRUE	0
TRAV4	A0A0B4J268			FALSE	FALSE	FALSE	TRUE	0
TRAV12-3	A0A0B4J271			FALSE	FALSE	FALSE	TRUE	0
TRAV24	A0A0B4J272			FALSE	FALSE	FALSE	TRUE	0
TRAV34	A0A0B4J273			FALSE	FALSE	FALSE	TRUE	0
TRAV20	A0A0B4J274			FALSE	FALSE	FALSE	TRUE	0
TRAV17	A0A0B4J275			FALSE	FALSE	FALSE	TRUE	0
TRAV25	A0A0B4J276			FALSE	FALSE	FALSE	TRUE	0
TRAV22	A0A0B4J277			FALSE	FALSE	FALSE	TRUE	0
TRAV21	A0A0B4J279			FALSE	FALSE	FALSE	TRUE	0
TRAV40	A0A0B4J280			FALSE	FALSE	FALSE	TRUE	0
IGKV1D-13	A0A0B4J2D9			FALSE	FALSE	FALSE	TRUE	0
TRBV12-4	A0A0B4J2E0			FALSE	FALSE	FALSE	TRUE	0
IGHV1-69D	A0A0B4J2H0			FALSE	FALSE	TRUE	TRUE	1
IGKV6-21	A0A0C4DH24			FALSE	FALSE	FALSE	TRUE	0
IGKV3D-20	A0A0C4DH25			FALSE	FALSE	FALSE	TRUE	0
IGKV6D-41	A0A0C4DH26			FALSE	FALSE	FALSE	TRUE	0
TRGV8	A0A0C4DH27			FALSE	FALSE	TRUE	TRUE	1
TRGV4	A0A0C4DH28			FALSE	FALSE	TRUE	TRUE	1
IGHV1-3	A0A0C4DH29			FALSE	FALSE	TRUE	TRUE	1
IGHV3-16	A0A0C4DH30			FALSE	FALSE	TRUE	TRUE	1
IGHV1-18	A0A0C4DH31			FALSE	FALSE	TRUE	TRUE	1
IGHV3-20	A0A0C4DH32			FALSE	FALSE	TRUE	TRUE	1
IGHV1-24	A0A0C4DH33			FALSE	FALSE	TRUE	TRUE	1
IGHV4-28	A0A0C4DH34			FALSE	FALSE	TRUE	TRUE	1
IGHV3-35	A0A0C4DH35			FALSE	FALSE	TRUE	TRUE	1
IGHV3-38	A0A0C4DH36			FALSE	FALSE	TRUE	TRUE	1
IGHV5-51	A0A0C4DH38			FALSE	FALSE	TRUE	TRUE	1
IGHV1-58	A0A0C4DH39			FALSE	FALSE	TRUE	TRUE	1
IGHV4-61	A0A0C4DH41			FALSE	FALSE	TRUE	TRUE	1
IGHV3-66	A0A0C4DH42			FALSE	FALSE	TRUE	TRUE	1
IGHV2-70D	A0A0C4DH43			FALSE	FALSE	TRUE	TRUE	1
IGKV3D-7	A0A0C4DH55			FALSE	FALSE	FALSE	TRUE	0
TRBV5-4	A0A0C4DH59			FALSE	FALSE	FALSE	TRUE	0
IGHJ1	A0A0C4DH62			FALSE	FALSE	FALSE	TRUE	0
IGKV1-8	A0A0C4DH67			FALSE	FALSE	FALSE	TRUE	0
IGKV2-24	A0A0C4DH68			FALSE	FALSE	FALSE	TRUE	0
IGKV1-9	A0A0C4DH69			FALSE	FALSE	FALSE	TRUE	0
IGKV1-6	A0A0C4DH72			FALSE	FALSE	FALSE	TRUE	0
IGKV1-12	A0A0C4DH73			FALSE	FALSE	FALSE	TRUE	0
IGHV1-69-2	A0A0G2JMI3			FALSE	FALSE	TRUE	TRUE	1
IGLV5-39	A0A0G2JS06			FALSE	FALSE	FALSE	TRUE	0
IGHV7-4-1	A0A0J9YVY3			FALSE	FALSE	TRUE	TRUE	1
TRBJ1-3	A0A0J9YWP8			FALSE	FALSE	FALSE	TRUE	0
TRBJ1-6	A0A0J9YWX3			FALSE	FALSE	FALSE	TRUE	0
TRBJ1-2	A0A0J9YX06			FALSE	FALSE	FALSE	TRUE	0
IGHV3-64D	A0A0J9YX35			FALSE	FALSE	TRUE	TRUE	1
TRBV6-9	A0A0J9YX75			FALSE	FALSE	FALSE	TRUE	0
TRBJ1-1	A0A0J9YXA8			FALSE	FALSE	FALSE	TRUE	0
TRBJ1-4	A0A0J9YXG5			FALSE	FALSE	FALSE	TRUE	0
TRBJ1-5	A0A0J9YXM7			FALSE	FALSE	FALSE	TRUE	0
IGHV5-10-1	A0A0J9YXX1			FALSE	FALSE	TRUE	TRUE	1
TRBV6-2	A0A0J9YXY3			FALSE	FALSE	FALSE	TRUE	0
TRBV10-1	A0A0K0K1A3			FALSE	FALSE	FALSE	TRUE	0
TRBV6-5	A0A0K0K1A5			FALSE	FALSE	FALSE	TRUE	0
TRBV30	A0A0K0K1B3			FALSE	FALSE	FALSE	TRUE	0
TRBV11-1	A0A0K0K1C0			FALSE	FALSE	FALSE	TRUE	0
TRBV27	A0A0K0K1C4			FALSE	FALSE	FALSE	TRUE	0
TRBV6-1	A0A0K0K1D8			FALSE	FALSE	FALSE	TRUE	0
TRBV7-7	A0A0K0K1E9			FALSE	FALSE	FALSE	TRUE	0
TRBV10-3	A0A0K0K1G6			FALSE	FALSE	FALSE	TRUE	0
TRBV10-2	A0A0K0K1G8			FALSE	FALSE	FALSE	TRUE	0
MYMX	A0A1B0GTQ4	101929726		FALSE	FALSE	FALSE	TRUE	0
EXOC1L	A0A1B0GW35			FALSE	FALSE	FALSE	TRUE	0
TRBV7-6	A0A1B0GX31			FALSE	FALSE	FALSE	TRUE	0
TRBV6-4	A0A1B0GX49			FALSE	FALSE	FALSE	TRUE	0
TRBV7-8	A0A1B0GX51			FALSE	FALSE	FALSE	TRUE	0
TRDV1	A0A1B0GX56			FALSE	FALSE	FALSE	TRUE	0
TRBV2	A0A1B0GX68			FALSE	FALSE	FALSE	TRUE	0
TRBV12-5	A0A1B0GX78			FALSE	FALSE	FALSE	TRUE	0
TRBV7-4	A0A1B0GX95			FALSE	FALSE	FALSE	TRUE	0
TRBV7-2	A0A1B0GXF2			FALSE	FALSE	FALSE	TRUE	0
GNG14	A0A1W2PPG7			FALSE	FALSE	FALSE	TRUE	0
TRBV4-2	A0A539			FALSE	FALSE	FALSE	TRUE	0
TRBV3-1	A0A576			FALSE	FALSE	FALSE	TRUE	0
TRBV4-1	A0A577			FALSE	FALSE	FALSE	TRUE	0
TRBV5-1	A0A578			FALSE	FALSE	FALSE	TRUE	0
TRBV11-2	A0A584			FALSE	FALSE	FALSE	TRUE	0
TRBV4-3	A0A589			FALSE	FALSE	FALSE	TRUE	0
TRBV5-5	A0A597			FALSE	FALSE	FALSE	TRUE	0
TRBV5-6	A0A599			FALSE	FALSE	FALSE	TRUE	0
TRBV5-8	A0A5A2			FALSE	FALSE	FALSE	TRUE	0
TRBV11-3	A0A5A6			FALSE	FALSE	FALSE	TRUE	0
TRBV14	A0A5B0			FALSE	FALSE	FALSE	TRUE	0
TRBV28	A0A5B6			FALSE	FALSE	FALSE	TRUE	0
TRBV29-1	A0A5B7			FALSE	FALSE	FALSE	TRUE	0
TRBC2	A0A5B9			FALSE	FALSE	TRUE	TRUE	1
SLC12A8	A0AV02	84561		TRUE	FALSE	FALSE	FALSE	1
FER1L5	A0AVI2	90342		FALSE	FALSE	FALSE	TRUE	0
ESYT2	A0FGR8	57488		FALSE	TRUE	FALSE	TRUE	1
ESYT3	A0FGR9	83850		TRUE	TRUE	FALSE	TRUE	2
TRAV38-2DV8	A0JD32			FALSE	FALSE	FALSE	TRUE	0
TRDV2	A0JD36			FALSE	FALSE	FALSE	TRUE	0
TRDV3	A0JD37			FALSE	FALSE	FALSE	TRUE	0
IGLC7	A0M8Q6			FALSE	FALSE	TRUE	TRUE	1
PLSCR5	A0PG75	389158		FALSE	FALSE	FALSE	TRUE	0
SLC5A10	A0PJK1	125206		TRUE	FALSE	FALSE	TRUE	1
CLRN2	A0PK11	645104		TRUE	FALSE	FALSE	FALSE	1
TMEM30CP	A0ZSE6			TRUE	FALSE	FALSE	TRUE	1
ARHGAP10	A1A4S6	79658		FALSE	TRUE	FALSE	TRUE	1
IRGM	A1A4Y4	345611		FALSE	FALSE	FALSE	TRUE	0
ANO9	A1A5B4	338440	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2
SLC22A23	A1A5C7	63027	2 - putative	TRUE	FALSE	FALSE	FALSE	2
FAM168B	A1KXE4	130074		FALSE	FALSE	FALSE	TRUE	0
TSPAN11	A1L157	441631		TRUE	FALSE	FALSE	TRUE	1
UBE2QL1	A1L167	134111		FALSE	FALSE	FALSE	TRUE	0
DYTN	A2CJ06	391475		FALSE	FALSE	FALSE	TRUE	0
CCDC78	A2IDD5	124093		FALSE	FALSE	FALSE	TRUE	0
IGKV2-29	A2NJV5			FALSE	FALSE	FALSE	TRUE	0
TMEM213	A2RRL7	155006		TRUE	FALSE	FALSE	FALSE	1
FAM234B	A2RU67	57613	2 - putative	FALSE	FALSE	FALSE	FALSE	1
TMEM131L	A2VDJ0	23240	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2
OR2M5	A3KFT3	127059		TRUE	FALSE	FALSE	TRUE	1
LAMB4	A4D0S4	22798		FALSE	TRUE	FALSE	FALSE	1
RAB19	A4D1S5	401409		FALSE	FALSE	FALSE	TRUE	0
OR2A25	A4D2G3	392138		TRUE	FALSE	FALSE	TRUE	1
GRID2IP	A4D2P6	392862		FALSE	FALSE	FALSE	TRUE	0
SH3D21	A4FU49	79729		FALSE	FALSE	FALSE	TRUE	0
SLC35F4	A4IF30	341880		TRUE	FALSE	FALSE	FALSE	1
LRP5L	A4QPB2	91355		FALSE	FALSE	FALSE	TRUE	0
PI4KAP2	A4QPH2			FALSE	FALSE	FALSE	TRUE	0
PSD	A5PKW4	5662		FALSE	FALSE	FALSE	TRUE	0
HTR3E	A5X5Y0	285242		TRUE	FALSE	FALSE	TRUE	1
MEGF11	A6BM72	84465		TRUE	FALSE	FALSE	TRUE	1
CDHR4	A6H8M9	389118		TRUE	FALSE	FALSE	TRUE	1
TMEM150B	A6NC51	284417		TRUE	FALSE	FALSE	TRUE	1
OR6C74	A6NCV1	254783		TRUE	FALSE	FALSE	TRUE	1
IZUMO1R	A6ND01	390243		TRUE	TRUE	TRUE	TRUE	3
OR14I1	A6ND48	401994		TRUE	FALSE	FALSE	TRUE	1
LRIT2	A6NDA9	340745		TRUE	FALSE	FALSE	FALSE	1
PALM3	A6NDB9	342979		FALSE	FALSE	FALSE	TRUE	0
OR5H15	A6NDH6	403274		TRUE	FALSE	FALSE	TRUE	1
OR6C68	A6NDL8	403284		TRUE	FALSE	FALSE	TRUE	1
MYADML2	A6NDP7	255275		TRUE	FALSE	FALSE	FALSE	1
TBC1D3B	A6NDS4	414059		FALSE	FALSE	FALSE	TRUE	0
TMEM8B	A6NDV4	51754		TRUE	TRUE	TRUE	TRUE	3
BTBD17	A6NE02	388419		FALSE	FALSE	FALSE	TRUE	0
RCCD1	A6NED2	91433		FALSE	FALSE	FALSE	TRUE	0
TBC1D3F	A6NER0	84218		FALSE	FALSE	FALSE	TRUE	0
OR5K3	A6NET4	403277		TRUE	FALSE	FALSE	TRUE	1
ANTXRL	A6NF34	195977		TRUE	FALSE	TRUE	TRUE	2
OR6C6	A6NF89	283365		TRUE	FALSE	FALSE	TRUE	1
TRABD2B	A6NFA1	388630		TRUE	FALSE	FALSE	TRUE	1
TMEM235	A6NFC5	283999		TRUE	FALSE	FALSE	TRUE	1
OR2W5	A6NFC9	441932		FALSE	FALSE	FALSE	TRUE	0
TCAF2	A6NFQ2	285966		FALSE	FALSE	FALSE	TRUE	0
MFSD2B	A6NFX1	388931		TRUE	FALSE	FALSE	TRUE	1
TMEM202	A6NGA9	338949		FALSE	FALSE	FALSE	TRUE	0
TLCD2	A6NGC4	727910		FALSE	FALSE	FALSE	TRUE	0
IGLON5	A6NGN9	402665	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1
GGT3P	A6NGU5		3 - unspecific	TRUE	FALSE	FALSE	TRUE	2
STRCP1	A6NGW2			FALSE	FALSE	TRUE	FALSE	1
OR51F1	A6NGY5			TRUE	FALSE	FALSE	TRUE	1
SMIM9	A6NGZ8	100132963		FALSE	FALSE	FALSE	TRUE	0
OR2T8	A6NH00	343172		TRUE	FALSE	FALSE	TRUE	1
SERINC4	A6NH21	619189		TRUE	FALSE	FALSE	FALSE	1
OR4C46	A6NHA9	119749		TRUE	FALSE	FALSE	TRUE	1
OR5H14	A6NHG9	403273		TRUE	FALSE	FALSE	TRUE	1
MANSC4	A6NHS7	100287284		TRUE	FALSE	FALSE	FALSE	1
MYMK	A6NI61	389827		FALSE	FALSE	FALSE	TRUE	0
NCF1B	A6NI72			FALSE	FALSE	FALSE	TRUE	0
LILRA5	A6NI73	353514	1 - high confidence	TRUE	FALSE	TRUE	TRUE	3
OR6C70	A6NIJ9	390327		TRUE	FALSE	FALSE	TRUE	1
SLC15A5	A6NIM6	729025		TRUE	FALSE	FALSE	FALSE	1
CD8B2	A6NJW9			TRUE	FALSE	TRUE	TRUE	2
OR6C65	A6NJZ3	403282		TRUE	FALSE	FALSE	TRUE	1
SLC22A20P	A6NK97			TRUE	FALSE	FALSE	FALSE	1
PCNX2	A6NKB5	80003		TRUE	FALSE	FALSE	FALSE	1
TMEM88B	A6NKF7	643965		FALSE	FALSE	FALSE	TRUE	0
OR5H1	A6NKK0	26341		TRUE	FALSE	FALSE	TRUE	1
TMEM200C	A6NKL6	645369	2 - putative	FALSE	FALSE	FALSE	FALSE	1
OR6C75	A6NL08	390323		TRUE	FALSE	FALSE	TRUE	1
OR5B21	A6NL26	219968		TRUE	FALSE	FALSE	TRUE	1
SHISA7	A6NL88	729956		TRUE	FALSE	FALSE	TRUE	1
SMIM23	A6NLE4	644994		FALSE	FALSE	FALSE	TRUE	0
OR2AG2	A6NM03	338755		TRUE	FALSE	FALSE	TRUE	1
LRRC37A2	A6NM11	474170		TRUE	FALSE	FALSE	FALSE	1
CLDN24	A6NM45	100132463		TRUE	FALSE	FALSE	TRUE	1
OR6C76	A6NM76	390326		TRUE	FALSE	FALSE	TRUE	1
SIGLEC16	A6NMB1			TRUE	FALSE	FALSE	TRUE	1
IFITM10	A6NMD0	402778		FALSE	FALSE	FALSE	TRUE	0
OR5K4	A6NMS3	403278		TRUE	FALSE	FALSE	TRUE	1
LRRC37A	A6NMS7	9884		TRUE	FALSE	FALSE	FALSE	1
OR52A4P	A6NMU1			TRUE	FALSE	FALSE	TRUE	1
ANXA2P2	A6NMY6			FALSE	FALSE	FALSE	TRUE	0
OR4C45	A6NMZ5			TRUE	FALSE	FALSE	TRUE	1
COL6A6	A6NMZ7	131873	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1
GJE1	A6NN92			FALSE	FALSE	FALSE	TRUE	0
IFITM5	A6NNB3	387733		FALSE	FALSE	FALSE	TRUE	0
OR2AT4	A6NND4	341152		TRUE	FALSE	FALSE	TRUE	1
SLC38A8	A6NNN8	146167		TRUE	FALSE	FALSE	FALSE	1
KNCN	A6PVL3	148930		FALSE	FALSE	FALSE	TRUE	0
RTL8C	A6ZKI3;O15255	8933		FALSE	FALSE	FALSE	TRUE	0
ARHGAP32	A7KAX9	9743		FALSE	TRUE	FALSE	FALSE	1
DISP2	A7MBM2	85455	2 - putative	TRUE	FALSE	FALSE	TRUE	2
CD300LB	A8K4G0	124599		FALSE	FALSE	FALSE	TRUE	0
C15orf62	A8K5M9	643338		FALSE	FALSE	FALSE	TRUE	0
CLCA1	A8K7I4	1179		FALSE	FALSE	FALSE	TRUE	0
EFCAB7	A8K855	84455		FALSE	FALSE	FALSE	TRUE	0
GABRR3	A8MPY1	200959		TRUE	FALSE	FALSE	TRUE	1
GNAT3	A8MTJ3	346562		FALSE	FALSE	FALSE	TRUE	0
GSG1L2	A8MUP6	644070		TRUE	FALSE	FALSE	TRUE	1
HIDE1	A8MVS5	255809		TRUE	FALSE	FALSE	FALSE	1
NCF1C	A8MVU1			FALSE	FALSE	FALSE	TRUE	0
FAM171A2	A8MVW0	284069	1 - high confidence	TRUE	FALSE	FALSE	FALSE	2
HEPACAM2	A8MVW5	253012	1 - high confidence	TRUE	FALSE	FALSE	FALSE	2
BTNL10	A8MVZ5			TRUE	FALSE	TRUE	TRUE	2
ELAPOR2	A8MWY0	222223	1 - high confidence	TRUE	FALSE	FALSE	FALSE	2
VSTM5	A8MXK1	387804		TRUE	FALSE	FALSE	TRUE	1
KCNU1	A8MYU2	157855		FALSE	FALSE	FALSE	TRUE	0
EVPLL	A8MZ36	645027		FALSE	FALSE	FALSE	TRUE	0
COL6A5	A8TX70	256076	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1
UPK3BL1	B0FP48	100134938		TRUE	FALSE	FALSE	FALSE	1
MYO1G	B0I1T2	64005		FALSE	FALSE	FALSE	TRUE	0
FAM155A	B1AL88	728215		FALSE	FALSE	FALSE	TRUE	0
OR11H12	B2RN74	440153		TRUE	FALSE	FALSE	TRUE	1
VWC2L	B2RUY7	402117		FALSE	FALSE	FALSE	TRUE	0
SMIM1	B2RUZ4	388588		FALSE	FALSE	TRUE	TRUE	1
ZBTB42	B2RXF5	100128927		FALSE	FALSE	FALSE	TRUE	0
EPM2A	B3EWF7;O95278	7957		FALSE	FALSE	FALSE	TRUE	0
TMEM114	B3SHH9	283953		TRUE	FALSE	FALSE	TRUE	1
SHISA9	B4DS77	729993		TRUE	FALSE	FALSE	TRUE	1
TARM1	B6A8C7	441864		TRUE	FALSE	FALSE	TRUE	1
ERVV-1	B6SEH8	147664		TRUE	FALSE	FALSE	FALSE	1
ERVV-2	B6SEH9	100271846		TRUE	FALSE	FALSE	FALSE	1
KCNJ18	B7U540	100134444		FALSE	FALSE	FALSE	TRUE	0
TRDC	B7Z8K6			FALSE	FALSE	TRUE	TRUE	1
SHISA8	B8ZZ34	440829		TRUE	FALSE	FALSE	TRUE	1
IGLL5	B9A064	100423062		FALSE	FALSE	TRUE	TRUE	1
TBC1D3L	B9A6J9	101060376		FALSE	FALSE	FALSE	TRUE	0
TMEM150C	B9EJG8	441027		FALSE	FALSE	FALSE	TRUE	0
AJM1	C9J069	389813		FALSE	FALSE	FALSE	TRUE	0
RASA4B	C9J798			FALSE	FALSE	FALSE	TRUE	0
CLDN25	C9JDP6	644672		FALSE	FALSE	FALSE	TRUE	0
KLRF2	D3W0D1	100431172		TRUE	FALSE	FALSE	TRUE	1
MUC22	E2RYF6	100507679		TRUE	FALSE	FALSE	FALSE	1
FNDC10	F2Z333	643988		TRUE	FALSE	FALSE	FALSE	1
C3orf80	F5H4A9	401097		TRUE	FALSE	FALSE	FALSE	1
PRNP	F7VJQ1;P04156	5621	1 - high confidence	TRUE	FALSE	TRUE	TRUE	3
SLCO1B7	G3V0H7	338821		TRUE	FALSE	FALSE	TRUE	1
LY6L	H3BQJ8			FALSE	FALSE	FALSE	TRUE	0
TMEM178B	H3BS89	100507421		TRUE	FALSE	FALSE	FALSE	1
CLDN34	H7C241	100288814		FALSE	FALSE	FALSE	TRUE	0
GFY	I3L273	100507003		TRUE	FALSE	FALSE	FALSE	1
