UniProt	GeneID	Gene Name	GO cell surface	GO plasma membrane	Gene Name - human	UniProt - human	GeneID - human	CSPA category	Surfaceome	CRISPR	GO cell surface - human	GO plasma membrane - human	Num cell surface evidence	Num plasma membrane evidence
A0A1U7Q2Y1	101824646	Caly	FALSE	TRUE	CALY	Q9NYX4	50632		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q2Z9	101823647	Kcnj6	FALSE	FALSE	KCNJ6	P48051	3763		FALSE	TRUE	FALSE	TRUE	1	1
A0A1U7Q308	101828143	Cacng3	FALSE	TRUE	CACNG3	O60359	10368		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q312	101838537	Gpr139	FALSE	FALSE	GPR139	Q6DWJ6	124274		TRUE	FALSE	FALSE	TRUE	1	1
A0A1U7Q315	101827006	Thbs1	TRUE	TRUE	THBS1	P07996	7057	3 - unspecific	FALSE	TRUE	TRUE	TRUE	4	2
A0A1U7Q318	101837826	Cd59	FALSE	FALSE	CD59	P13987	966	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	1
A0A1U7Q335	101829121	Pcnx2	FALSE	FALSE	PCNX2	A6NKB5	80003		TRUE	FALSE	FALSE	FALSE	1	0
A0A1U7Q345	101825792	Grem1	TRUE	FALSE	GREM1	O60565	26585	1 - high confidence	FALSE	TRUE	TRUE	FALSE	4	0
A0A1U7Q351	101835641	Slc5a12	FALSE	FALSE	SLC5A12	Q1EHB4	159963		TRUE	FALSE	FALSE	TRUE	1	1
A0A1U7Q361	101827891	Slc1a2	FALSE	FALSE	SLC1A2	P43004	6506		TRUE	FALSE	TRUE	TRUE	2	1
A0A1U7Q363	101832840	Ttc17	FALSE	TRUE	TTC17	Q96AE7	55761	3 - unspecific	FALSE	FALSE	FALSE	TRUE	1	2
A0A1U7Q396	101842305	P2rx3	FALSE	TRUE	P2RX3	P56373	5024		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q3A6	101837648	Gpr155	FALSE	FALSE	GPR155	Q7Z3F1	151556	2 - putative	TRUE	FALSE	FALSE	FALSE	2	0
A0A1U7Q3B0	101824388	Scn3a	FALSE	TRUE	SCN3A	Q9NY46	6328		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q3B6	101826056	Cd44	FALSE	FALSE	CD44	P16070	960	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	1
A0A1U7Q3C3	101836719	Adrb2	FALSE	TRUE	ADRB2	P07550	154	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1U7Q3C4	101843008	Gpr17	FALSE	FALSE	GPR17	Q13304	2840		TRUE	FALSE	FALSE	TRUE	1	1
A0A1U7Q3D0	101831810	Dsc1	FALSE	TRUE	DSC1	Q08554	1823		TRUE	TRUE	FALSE	TRUE	2	2
A0A1U7Q3D4	101840769	Cd226	FALSE	FALSE	CD226	Q15762	10666	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	1
A0A1U7Q3D8		Tmx3	FALSE	FALSE	TMX3	Q96JJ7	54495	1 - high confidence	TRUE	FALSE	TRUE	TRUE	3	1
A0A1U7Q3E1	101831631	Slc6a18	FALSE	TRUE	SLC6A18	Q96N87	348932		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q3E9	101837566	Lysmd3	FALSE	TRUE	LYSMD3	Q7Z3D4	116068		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q3F2	101843449	Il31ra	FALSE	FALSE	IL31RA	Q8NI17	133396		TRUE	FALSE	TRUE	TRUE	2	1
A0A1U7Q3G6	101842400	Hexb	FALSE	FALSE	HEXB	P07686	3074	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1	0
A0A1U7Q3G7	101844436	F2rl1	FALSE	FALSE	F2RL1	P55085	2150		TRUE	FALSE	FALSE	TRUE	1	1
A0A1U7Q3I5	101844077	Ptprk	FALSE	FALSE	PTPRK	Q15262	5796	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	1
A0A1U7Q3K1	101828870	Oprm1	FALSE	FALSE	OPRM1	P35372	4988		TRUE	FALSE	FALSE	TRUE	1	1
A0A1U7Q3K5		Cd4	FALSE	FALSE	CD4	P01730	920	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	1
A0A1U7Q3L1	101822363	Phb2	TRUE	FALSE	PHB2	Q99623	11331	3 - unspecific	FALSE	FALSE	TRUE	FALSE	3	0
A0A1U7Q3L7	101835994	Ret	FALSE	TRUE	RET	P07949	5979	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1U7Q3M4	101825024	Atp2b2	FALSE	FALSE	ATP2B2	Q01814	491		TRUE	FALSE	FALSE	TRUE	1	1
A0A1U7Q3N1	101836776	Itpr1	FALSE	FALSE	ITPR1	Q14643	3708	2 - putative	FALSE	FALSE	FALSE	TRUE	1	1
A0A1U7Q3N3	101841316	Cdh17	TRUE	TRUE	CDH17	Q12864	1015	1 - high confidence	TRUE	FALSE	TRUE	TRUE	4	2
A0A1U7Q3N9	101825995	Lgals3bp	FALSE	FALSE	LGALS3BP	Q08380	3959	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1	0
A0A1U7Q3Q4	101841048	Dtnbp1	FALSE	FALSE	DTNBP1	Q96EV8	84062		FALSE	TRUE	FALSE	TRUE	1	1
A0A1U7Q3Q9	101827729	Ssr1	FALSE	FALSE	SSR1	P43307	6745	1 - high confidence	TRUE	FALSE	FALSE	FALSE	2	0
A0A1U7Q3R0	101829950	Nrn1	FALSE	TRUE	NRN1	Q9NPD7	51299		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q3T7	101825809	Chrna6	FALSE	TRUE	CHRNA6	Q15825	8973		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q3T8	101826239	Unc5d	FALSE	FALSE	UNC5D	Q6UXZ4	137970		TRUE	TRUE	TRUE	TRUE	3	1
A0A1U7Q3U5	101842219	Fat1	FALSE	TRUE	FAT1	Q14517	2195	1 - high confidence	TRUE	TRUE	FALSE	TRUE	3	2
A0A1U7Q3U6		Sorbs2	FALSE	FALSE	SORBS2	O94875	8470		FALSE	TRUE	FALSE	TRUE	1	1
A0A1U7Q3V6	101826336	Asph	FALSE	FALSE	ASPH	Q12797	444	2 - putative	FALSE	FALSE	FALSE	TRUE	1	1
A0A1U7Q3V9	101832079	Slco5a1	FALSE	TRUE	SLCO5A1	Q9H2Y9	81796		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q3X8	101844355	Myh9	FALSE	TRUE	MYH9	P35579	4627	3 - unspecific	FALSE	FALSE	FALSE	TRUE	1	2
A0A1U7Q404	101843026	Slc2a13	FALSE	TRUE	SLC2A13	Q96QE2	114134	2 - putative	TRUE	FALSE	FALSE	TRUE	2	2
A0A1U7Q413	101838833	Wnt1	TRUE	FALSE	WNT1	P04628	7471		FALSE	TRUE	TRUE	TRUE	3	1
A0A1U7Q414	101840786	Lmbr1l	FALSE	TRUE	LMBR1L	Q6UX01	55716		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q416	101822818	Aqp2	FALSE	TRUE	AQP2	P41181	359		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q454	101827218	Slc2a4	FALSE	FALSE	SLC2A4	P14672	6517	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	1
A0A1U7Q457	101833660	Atp1b2	TRUE	TRUE	ATP1B2	P14415	482	1 - high confidence	TRUE	FALSE	TRUE	TRUE	4	2
A0A1U7Q483	101836867	Gria1	FALSE	TRUE	GRIA1	P42261	2890		TRUE	TRUE	TRUE	TRUE	3	2
A0A1U7Q484	101839268	Slc36a1	FALSE	FALSE	SLC36A1	Q7Z2H8	206358		TRUE	FALSE	FALSE	TRUE	1	1
A0A1U7Q493	101838392	Cxcl16	FALSE	FALSE	CXCL16	Q9H2A7	58191	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	1
A0A1U7Q4A8	101836594	Lum	FALSE	FALSE	LUM	P51884	4060	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1	0
A0A1U7Q4B0	101842136	Ppfia2	FALSE	FALSE	PPFIA2	O75334	8499		FALSE	TRUE	TRUE	FALSE	2	0
A0A1U7Q4B1	101844895	Ptprq	FALSE	FALSE	PTPRQ	Q9UMZ3		1 - high confidence	TRUE	FALSE	FALSE	FALSE	2	0
A0A1U7Q4C5	101841060	Ambn	FALSE	FALSE	AMBN	Q9NP70	258		FALSE	TRUE	FALSE	FALSE	1	0
A0A1U7Q4D0	101824412	Epha5	FALSE	TRUE	EPHA5	P54756	2044	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	2
A0A1U7Q4D1	101827038	Ncam2	FALSE	FALSE	NCAM2	O15394	4685	1 - high confidence	TRUE	TRUE	FALSE	TRUE	3	1
A0A1U7Q4E6	101834768	Pcsk5	FALSE	FALSE	PCSK5	Q92824	5125		TRUE	FALSE	FALSE	FALSE	1	0
A0A1U7Q4G2	101837939	Bdkrb2	FALSE	TRUE	BDKRB2	P30411	624		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q4H2	101824518	Slc24a4	FALSE	TRUE	SLC24A4	Q8NFF2	123041		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q4H7		Adrb1	FALSE	TRUE	ADRB1	P08588	153		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q4I9	101841031	Sorcs1	FALSE	FALSE	SORCS1	Q8WY21	114815	1 - high confidence	TRUE	FALSE	FALSE	FALSE	2	0
A0A1U7Q4K1	101830284	Fgf8	FALSE	FALSE	FGF8	P55075	2253		FALSE	FALSE	TRUE	TRUE	1	1
A0A1U7Q4K2	101843845	Duoxa1	FALSE	TRUE	DUOXA1	Q1HG43	90527		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q4K6	101823980	Sema6d	FALSE	FALSE	SEMA6D	Q8NFY4	80031		TRUE	FALSE	TRUE	TRUE	2	1
A0A1U7Q4K8	101826510	Slc24a5	FALSE	FALSE	SLC24A5	Q71RS6	283652		TRUE	FALSE	FALSE	FALSE	1	0
A0A1U7Q4M0	101838741	Il1a	FALSE	FALSE	IL1A	P01583	3552		FALSE	TRUE	FALSE	FALSE	1	0
A0A1U7Q4M1	101826479	Tm9sf3	FALSE	FALSE	TM9SF3	Q9HD45	56889	1 - high confidence	TRUE	FALSE	FALSE	FALSE	2	0
A0A1U7Q4M9	101835544	Myof	FALSE	FALSE	MYOF	Q9NZM1	26509	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	1
A0A1U7Q4N0	101829062	Prnp	TRUE	TRUE	PRNP	F7VJQ1;P04156	5621	1 - high confidence	TRUE	FALSE	TRUE	TRUE	4	2
A0A1U7Q4N4	101833402	Fermt1	FALSE	FALSE	FERMT1	Q9BQL6	55612		FALSE	TRUE	FALSE	TRUE	1	1
A0A1U7Q4P9	101834769	Kcnv2	FALSE	TRUE	KCNV2	Q8TDN2	169522		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q4R6	101833834	Otop1	FALSE	TRUE	OTOP1	Q7RTM1	133060		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q4R8	101835307	Stx18	FALSE	FALSE	STX18	Q9P2W9	53407		FALSE	TRUE	FALSE	FALSE	1	0
A0A1U7Q4S5	101836488	Ms4a1	TRUE	TRUE	MS4A1	P11836	931	1 - high confidence	TRUE	TRUE	TRUE	TRUE	5	2
A0A1U7Q4S6	101842237	Adra2c	FALSE	TRUE	ADRA2C	P18825	152	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1U7Q4S7	101838364	Tmem132a	FALSE	FALSE	TMEM132A	Q24JP5	54972	1 - high confidence	TRUE	FALSE	FALSE	FALSE	2	0
A0A1U7Q4T4	101826351	Fgfr3	FALSE	TRUE	FGFR3	P22607	2261	1 - high confidence	TRUE	FALSE	TRUE	TRUE	3	2
A0A1U7Q4T6	101828893	Maea	FALSE	FALSE	MAEA	Q7L5Y9	10296		FALSE	TRUE	FALSE	TRUE	1	1
A0A1U7Q4T8	101830419	Pik3ip1	FALSE	FALSE	PIK3IP1	Q96FE7	113791		TRUE	FALSE	FALSE	TRUE	1	1
A0A1U7Q4U1	101828505	Chrm1	FALSE	TRUE	CHRM1	P11229	1128		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q4V5	101838621	Nrxn2	FALSE	FALSE	NRXN2	P58401;Q9P2S2	9379		TRUE	FALSE	FALSE	TRUE	1	1
A0A1U7Q4W0	101826869	Galnt5	FALSE	FALSE	GALNT5	Q7Z7M9	11227	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1	0
A0A1U7Q4W1	101843536	Ehd1	FALSE	TRUE	EHD1	Q9H4M9	10938		FALSE	TRUE	FALSE	TRUE	1	2
A0A1U7Q4Y2	101840633	Chsy3	FALSE	FALSE	CHSY3	Q70JA7	337876	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1	0
A0A1U7Q4Y7	101839243	Cd248	FALSE	FALSE	CD248	Q9HCU0	57124		TRUE	FALSE	TRUE	TRUE	2	1
A0A1U7Q4Z4	101827746	Lox	FALSE	FALSE	LOX	P28300	4015	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1	0
A0A1U7Q511	101838895	Ano1	FALSE	TRUE	ANO1	Q5XXA6	55107		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q515	101841845	Mrgprg	FALSE	FALSE	MRGPRG	Q86SM5	386746		TRUE	FALSE	FALSE	TRUE	1	1
A0A1U7Q527	101833885	Tspan4	FALSE	TRUE	TSPAN4	O14817	7106	2 - putative	TRUE	FALSE	FALSE	TRUE	2	2
A0A1U7Q529	101835718	Rplp2	FALSE	FALSE	RPLP2	P05387	6181	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1	0
A0A1U7Q532		Mpzl2	FALSE	FALSE	MPZL2	O60487	10205	1 - high confidence	TRUE	FALSE	FALSE	FALSE	2	0
A0A1U7Q547	101826170	Esam	FALSE	FALSE	ESAM	Q96AP7	90952	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	1
A0A1U7Q554	101835891	Gpr26	FALSE	FALSE	GPR26	Q8NDV2	2849		TRUE	FALSE	FALSE	TRUE	1	1
A0A1U7Q560	101841667	Slc5a2	FALSE	FALSE	SLC5A2	P31639	6524		TRUE	FALSE	FALSE	TRUE	1	1
A0A1U7Q562	101843173	Itgam	FALSE	TRUE	ITGAM	P11215	3684	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	2
A0A1U7Q567	101843306	Tmem225	FALSE	FALSE	TMEM225	Q6GV28	338661		TRUE	FALSE	FALSE	FALSE	1	0
A0A1U7Q569	101823009	Crtam	FALSE	TRUE	CRTAM	O95727	56253		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q573	101830558	Itgal	TRUE	TRUE	ITGAL	P20701	3683	1 - high confidence	TRUE	TRUE	TRUE	TRUE	5	2
A0A1U7Q581	101833582	Treh	FALSE	FALSE	TREH	O43280	11181		TRUE	FALSE	FALSE	TRUE	1	1
A0A1U7Q586	101838653	Tmprss13	FALSE	FALSE	TMPRSS13	Q9BYE2	84000		TRUE	FALSE	FALSE	FALSE	1	0
A0A1U7Q588	101839994	Sidt2	FALSE	TRUE	SIDT2	Q8NBJ9	51092	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1U7Q590	101842864	Cadm1	FALSE	TRUE	CADM1	Q9BY67	23705	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1U7Q591	101826670	Il21r	FALSE	FALSE	IL21R	Q9HBE5	50615		TRUE	FALSE	FALSE	TRUE	1	1
A0A1U7Q592	101842864	Cadm1	FALSE	FALSE	CADM1	Q9BY67	23705	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	1
A0A1U7Q5A8	101836795	Gldn	FALSE	FALSE	GLDN	Q6ZMI3	342035		TRUE	FALSE	TRUE	TRUE	2	1
A0A1U7Q5B4	101843205	Cspg4	FALSE	TRUE	CSPG4	Q6UVK1	1464	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	2
A0A1U7Q5C4	101833583	Neo1	FALSE	TRUE	NEO1	Q92859	4756	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1U7Q5C6	101834712	Hexa	FALSE	FALSE	HEXA	P06865	3073	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1	0
A0A1U7Q5D2	101829160	Pcdh10	FALSE	TRUE	PCDH10	Q9P2E7	57575		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q5D4	101831743	Mfsd8	FALSE	FALSE	MFSD8	Q8NHS3	256471	2 - putative	TRUE	FALSE	FALSE	FALSE	2	0
A0A1U7Q5E9	101832151	Ehd4	FALSE	FALSE	EHD4	Q9H223	30844		FALSE	TRUE	FALSE	TRUE	1	1
A0A1U7Q5F1	101834235	Tyro3	TRUE	FALSE	TYRO3	Q06418	7301	1 - high confidence	TRUE	TRUE	TRUE	TRUE	5	1
A0A1U7Q5F2	101827136	Nceh1	FALSE	FALSE	NCEH1	Q6PIU2	57552	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1	0
A0A1U7Q5F3	101836575	Dll4	FALSE	FALSE	DLL4	Q9NR61	54567		TRUE	FALSE	FALSE	TRUE	1	1
A0A1U7Q5G2	101836796	Myadml2	FALSE	FALSE	MYADML2	A6NDP7	255275		TRUE	FALSE	FALSE	FALSE	1	0
A0A1U7Q5I4	101829031	Calhm2	FALSE	FALSE	CALHM2	Q9HA72	51063		TRUE	FALSE	FALSE	TRUE	1	1
A0A1U7Q5I5	101837384	Bdnf	FALSE	FALSE	BDNF	P23560	627	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1	0
A0A1U7Q5L0	101823098	Slc16a5	FALSE	FALSE	SLC16A5	O15375	9121		TRUE	FALSE	FALSE	TRUE	1	1
A0A1U7Q5L2	101835115	Syt13	FALSE	TRUE	SYT13	Q7L8C5	57586		FALSE	TRUE	FALSE	TRUE	1	2
A0A1U7Q5M2	101828980	Gprc5c	FALSE	FALSE	GPRC5C	Q9NQ84	55890		TRUE	FALSE	FALSE	TRUE	1	1
A0A1U7Q5M3	101823764	Tspan32	FALSE	FALSE	TSPAN32	Q96QS1	10077		FALSE	FALSE	TRUE	TRUE	1	1
A0A1U7Q5M9	101833292	Adam12	FALSE	TRUE	ADAM12	O43184	8038	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1U7Q5N7	101838313	Cacng1	FALSE	TRUE	CACNG1	Q06432	786		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q5P4	101829475	Umod	FALSE	TRUE	UMOD	P07911	7369		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q5P6	101843129	Cd79b	FALSE	TRUE	CD79B	P40259	974	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	2
A0A1U7Q5R1	101841031	Sorcs1	FALSE	FALSE	SORCS1	Q8WY21	114815	1 - high confidence	TRUE	FALSE	FALSE	FALSE	2	0
A0A1U7Q5R3	101836348	Mpp2	FALSE	FALSE	MPP2	Q14168	4355		FALSE	TRUE	FALSE	TRUE	1	1
A0A1U7Q5S0	101823503	Cnnm2	FALSE	TRUE	CNNM2	Q9H8M5	54805	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1U7Q5S9	101830284	Fgf8	FALSE	FALSE	FGF8	P55075	2253		FALSE	FALSE	TRUE	TRUE	1	1
A0A1U7Q5U0	101830506	Ccr10	TRUE	FALSE	CCR10	P46092	2826		TRUE	FALSE	TRUE	TRUE	3	1
A0A1U7Q5V8	101835702	Muc1	FALSE	FALSE	MUC1	P15941	4582		TRUE	TRUE	FALSE	TRUE	2	1
A0A1U7Q5X4	101834853	Ffar4	FALSE	TRUE	FFAR4	Q5NUL3	338557		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q5Y1	101824341	Tmem37	FALSE	FALSE	TMEM37	Q8WXS4	140738		TRUE	FALSE	FALSE	FALSE	1	0
A0A1U7Q5Y6	101837648	Gpr155	FALSE	FALSE	GPR155	Q7Z3F1	151556	2 - putative	TRUE	FALSE	FALSE	FALSE	2	0
A0A1U7Q5Z5	101830642	Cd274	TRUE	TRUE	CD274	Q9NZQ7	29126	1 - high confidence	TRUE	TRUE	TRUE	TRUE	5	2
A0A1U7Q608	101843855	Rtn4	FALSE	FALSE	RTN4	Q9NQC3	57142	2 - putative	FALSE	FALSE	FALSE	TRUE	1	1
A0A1U7Q618	101823325	Anxa1	TRUE	TRUE	ANXA1	P04083	301		FALSE	FALSE	TRUE	TRUE	2	2
A0A1U7Q619	101836851	Lrrtm2	FALSE	FALSE	LRRTM2	O43300	26045		TRUE	FALSE	FALSE	TRUE	1	1
A0A1U7Q620	101830326	Cct4	FALSE	FALSE	CCT4	P50991	10575	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1	0
A0A1U7Q638	101840262	Bves	FALSE	TRUE	BVES	Q8NE79	11149	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1U7Q639	101835717	Ms4a6a	FALSE	FALSE	MS4A6A	Q9H2W1	64231		TRUE	FALSE	FALSE	FALSE	1	0
A0A1U7Q646	101832943	Cdh2	TRUE	TRUE	CDH2	P19022	1000	1 - high confidence	TRUE	FALSE	TRUE	TRUE	4	2
