Gene Name	UniProt	GeneID	GO cell surface	GO plasma membrane	GeneID - human	Gene Name - human	UniProt - human	CSPA category	Surfaceome	CRISPR	GO cell surface - human	GO plasma membrane - human	Num cell surface evidence	Num plasma membrane evidence
RRAS2	A0A1D5QAR1	699700	FALSE	TRUE	22800	RRAS2	P62070		FALSE	FALSE	FALSE	TRUE	0	2
ABCC5	A0A1D5QAR3;A0A5F8A7D1;H9FND4	704326	FALSE	TRUE	10057	ABCC5	O15440	2 - putative	TRUE	FALSE	FALSE	TRUE	2	2
DDX50	A0A1D5QBU0;F6SQG1	712511	FALSE	TRUE	79009	DDX50	Q9BQ39		FALSE	FALSE	FALSE	TRUE	0	2
OLFM2	A0A1D5QCB9;F6U4R3	711336	FALSE	TRUE	93145	OLFM2	O95897		FALSE	FALSE	FALSE	TRUE	0	2
CACNB4	A0A1D5QD77;A0A1D5QRN7;F7B1R4;F7B1S0	695172	FALSE	TRUE	785	CACNB4	O00305		FALSE	FALSE	FALSE	TRUE	0	2
IL7R	A0A1D5QDM4	699869	TRUE	TRUE	3575	IL7R	P16871	1 - high confidence	TRUE	TRUE	TRUE	TRUE	5	2
CLPTM1	A0A1D5QEJ8;H9H2U3	718306	TRUE	TRUE	1209	CLPTM1	O96005	2 - putative	FALSE	TRUE	TRUE	TRUE	4	2
EPHB1	A0A1D5QF63	717211	FALSE	TRUE	2047	EPHB1	P54762	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
NECTIN3	A0A1D5QFJ5	706731	FALSE	TRUE	25945	NECTIN3	Q9NQS3	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
KCNH8	A0A1D5QFS6	697225	FALSE	TRUE	131096	KCNH8	Q96L42		FALSE	FALSE	FALSE	TRUE	0	2
LRRC8B	A0A1D5QGF5	100430724	FALSE	TRUE	23507	LRRC8B	Q6P9F7	2 - putative	FALSE	FALSE	FALSE	TRUE	1	2
HDAC11	A0A1D5QGQ7;F7D6G8;F7HB86	693537	FALSE	TRUE	79885	HDAC11	Q96DB2		FALSE	FALSE	FALSE	TRUE	0	2
WDFY3	A0A1D5QGT9	706535	FALSE	TRUE	23001	WDFY3	Q8IZQ1		FALSE	FALSE	FALSE	TRUE	0	2
SLC19A1	A0A1D5QH58	721917	FALSE	TRUE	6573	SLC19A1	P41440	2 - putative	TRUE	FALSE	FALSE	TRUE	2	2
PLXNC1	A0A1D5QHF5;F7E0G3	711320	FALSE	TRUE	10154	PLXNC1	O60486	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
SRGAP2	A0A1D5QHY4;A0A5F8AAT0;G7MER6	695724	FALSE	TRUE	23380	SRGAP2	O75044		FALSE	FALSE	FALSE	TRUE	0	2
MCTS1	A0A1D5QIT9;H9EQ13	696543	FALSE	TRUE	28985	MCTS1	Q9ULC4		FALSE	FALSE	FALSE	TRUE	0	2
GJB3	A0A1D5QJ31	710834	FALSE	TRUE	2707	GJB3	O75712		TRUE	TRUE	FALSE	TRUE	2	2
CHRNA6	A0A1D5QJI6	705725	FALSE	TRUE	8973	CHRNA6	Q15825		TRUE	FALSE	FALSE	TRUE	1	2
ALOX5	A0A1D5QJX2	707926	FALSE	TRUE	240				FALSE	FALSE	FALSE	FALSE	0	1
OR4E2	A0A1D5QK77	708887	FALSE	TRUE	26686				FALSE	FALSE	FALSE	FALSE	0	1
SLCO1C1	A0A1D5QL08	704740	FALSE	TRUE	53919	SLCO1C1	Q9NYB5		TRUE	FALSE	FALSE	TRUE	1	2
NTNG1	A0A1D5QLF9;A0A1D5QRK2;F7GYH3;G7MIC2	694410	FALSE	TRUE	22854	NTNG1	Q9Y2I2	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
SNAP91	A0A1D5QM96;F6VKT2	695216	FALSE	TRUE	9892	SNAP91	O60641		FALSE	FALSE	FALSE	TRUE	0	2
EPB41L5	A0A1D5QMD7;F7D3R4	700409	FALSE	TRUE	57669	EPB41L5	Q9HCM4		FALSE	FALSE	FALSE	TRUE	0	2
ADGRG7	A0A1D5QMM0	700839	FALSE	TRUE	84873	ADGRG7	Q96K78		TRUE	FALSE	FALSE	TRUE	1	2
SLC14A1	A0A1D5QMW3;F7GPB9	695193	FALSE	TRUE	6563	SLC14A1	Q13336	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
KLHDC8B	A0A1D5QNB8	707348	FALSE	TRUE	200942	KLHDC8B	Q8IXV7		FALSE	FALSE	FALSE	TRUE	0	2
DSE	A0A1D5QNX8;A0A5F8AUJ6	715967;716054	FALSE	TRUE	441168;29940	CALHM6	Q5R3K3		FALSE	FALSE	FALSE	TRUE	0	2
EQTN	A0A1D5QP05	707334	FALSE	TRUE	54586	EQTN	Q9NQ60		TRUE	FALSE	FALSE	TRUE	1	2
SEMA4F	A0A1D5QP56;F7DBA4	710297	FALSE	TRUE	10505	SEMA4F	O95754	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
SHROOM4	A0A1D5QPG7	694677	FALSE	TRUE	57477	SHROOM4	Q9ULL8		FALSE	FALSE	FALSE	TRUE	0	2
SELE	A0A1D5QPQ4	701538	FALSE	TRUE	6401	SELE	P16581		TRUE	TRUE	FALSE	TRUE	2	2
PIP5K1A	A0A1D5QPX6;I0FVK3	710007	FALSE	TRUE	8394	PIP5K1A	Q99755		FALSE	FALSE	FALSE	TRUE	0	2
ADCY7	A0A1D5QQN7	694730	FALSE	TRUE	113	ADCY7	P51828	2 - putative	TRUE	FALSE	FALSE	TRUE	2	2
EEF2	A0A1D5QQX5	721806	FALSE	TRUE	1938	EEF2	P13639		FALSE	FALSE	FALSE	TRUE	0	2
CD44	A0A1D5QRB0;F6ZDZ8;H9Z063	717204	TRUE	TRUE	960	CD44	P16070	1 - high confidence	TRUE	TRUE	TRUE	TRUE	5	2
YTHDF2	A0A1D5QRD2;F7HEV7	717225;717256	FALSE	TRUE	51441;4985	OPRD1	P41143		TRUE	FALSE	FALSE	TRUE	1	2
KIF21A	A0A1D5QRV6;A0A1D5RF26;A0A5F8A1W4;F7GXX9	699150	FALSE	TRUE	55605	KIF21A	Q7Z4S6		FALSE	FALSE	FALSE	TRUE	0	2
P2RX3	A0A1D5QSM7	706503	FALSE	TRUE	5024	P2RX3	P56373		TRUE	FALSE	FALSE	TRUE	1	2
CP	A0A1D5QT32;A0A1D5QZL8;F7GFB4	712210	FALSE	TRUE	1356	CP	P00450	1 - high confidence	FALSE	FALSE	FALSE	TRUE	1	2
BDKRB2	A0A1D5QT55	703698	FALSE	TRUE	624	BDKRB2	P30411		TRUE	FALSE	FALSE	TRUE	1	2
TMEM63A	A0A1D5QTM5;A0A5F8A9X1	701499	FALSE	TRUE	9725	TMEM63A	O94886	2 - putative	TRUE	FALSE	FALSE	TRUE	2	2
FHL1	A0A1D5QTS1;F6PNU1;F6PNX5;F6TC02	710692	FALSE	TRUE	2273	FHL1	Q13642		FALSE	FALSE	FALSE	TRUE	0	2
TMEM150C	A0A1D5QU87;G7MSX4	694136	FALSE	TRUE	441027	TMEM150C	B9EJG8		FALSE	FALSE	FALSE	TRUE	0	2
CACNB3	A0A1D5QUE5;A0A1D5RBY3;F6VB97	708091	FALSE	TRUE	784	CACNB3	P54284		FALSE	FALSE	FALSE	TRUE	0	2
ACLY	A0A1D5QVG7;H9FUT4	708501	FALSE	TRUE	47	ACLY	P53396		FALSE	FALSE	FALSE	TRUE	0	2
CACNA2D1	A0A1D5QVR4	708215	FALSE	TRUE	781	CACNA2D1	P54289	1 - high confidence	FALSE	FALSE	FALSE	TRUE	1	2
AKAP5	A0A1D5QW76	707162	FALSE	TRUE	9495	AKAP5	P24588		FALSE	FALSE	FALSE	TRUE	0	2
SLC2A5	A0A1D5QWB5	722154	FALSE	TRUE	6518	SLC2A5	P22732	2 - putative	TRUE	FALSE	FALSE	TRUE	2	2
VPS37B	A0A1D5QWC6	703415	FALSE	TRUE	79720	VPS37B	Q9H9H4		FALSE	FALSE	FALSE	TRUE	0	2
ADCY5	A0A1D5QWQ7	715897	FALSE	TRUE	111	ADCY5	O95622		TRUE	FALSE	FALSE	TRUE	1	2
SCN1A	A0A1D5QX02	704086	FALSE	TRUE	6323	SCN1A	P35498		TRUE	FALSE	FALSE	TRUE	1	2
EMCN	A0A1D5QXI0	709580	FALSE	TRUE	51705	EMCN	Q9ULC0		TRUE	FALSE	FALSE	TRUE	1	2
BRPF1	A0A1D5QY53;F7B679	699850	FALSE	TRUE	7862	BRPF1	P55201		FALSE	FALSE	FALSE	TRUE	0	2
CLSTN3	A0A1D5QYE4	715119	TRUE	TRUE	9746	CLSTN3	Q9BQT9		TRUE	FALSE	TRUE	TRUE	3	2
SNAP23	A0A1D5QYR9	708225	FALSE	TRUE	8773	SNAP23	O00161		FALSE	TRUE	FALSE	TRUE	1	2
USP8	A0A1D5QZ17;A0A1D5RL67	715523	FALSE	TRUE	9101	USP8	P40818		FALSE	FALSE	FALSE	TRUE	0	2
CDH8	A0A1D5QZ34	708408	TRUE	TRUE	1006	CDH8	P55286	1 - high confidence	TRUE	FALSE	TRUE	TRUE	4	2
ACIN1	A0A1D5QZ94;F7HTB7	713310	FALSE	TRUE	22985	ACIN1	Q9UKV3		FALSE	FALSE	FALSE	TRUE	0	2
ITGB6	A0A1D5QZT0	700454	TRUE	TRUE	3694	ITGB6	P18564	1 - high confidence	TRUE	TRUE	TRUE	TRUE	5	2
LRRC1	A0A1D5QZY0	710867	FALSE	TRUE	55227	LRRC1	Q9BTT6		FALSE	FALSE	FALSE	TRUE	0	2
IGFLR1	A0A1D5R0T1	710396	FALSE	TRUE	79713	IGFLR1	Q9H665		TRUE	FALSE	FALSE	TRUE	1	2
ATAD1	A0A1D5R0U6	704809	FALSE	TRUE	84896	ATAD1	Q8NBU5		FALSE	FALSE	FALSE	TRUE	0	2
RALB	A0A1D5R129	695852	FALSE	TRUE	5899	RALB	P11234		FALSE	FALSE	FALSE	TRUE	0	2
CORIN	A0A1D5R139	704666	TRUE	TRUE	10699	CORIN	Q9Y5Q5		TRUE	TRUE	TRUE	TRUE	4	2
SLC34A1	A0A1D5R1A3	699746	FALSE	TRUE	6569	SLC34A1	Q06495		TRUE	FALSE	TRUE	TRUE	2	2
ATP1A4	A0A1D5R1L9;F7DQE8	720191;719623	FALSE	TRUE	477;480	ATP1A2;ATP1A4	P50993;Q13733		TRUE	FALSE	FALSE	TRUE	1	2
TMED10	A0A1D5R1P2	701522	FALSE	TRUE	10972	TMED10	P49755		FALSE	FALSE	FALSE	TRUE	0	2
MAEA	A0A1D5R235;F7HRR9	702015	FALSE	TRUE	10296	MAEA	Q7L5Y9		FALSE	TRUE	FALSE	TRUE	1	2
TMEM117	A0A1D5R2L6;H9ENG2	700812	FALSE	TRUE	84216	TMEM117	Q9H0C3		FALSE	FALSE	FALSE	TRUE	0	2
PPM1A	A0A1D5R334;A0A5F8AQS8	702987	FALSE	TRUE	5494	PPM1A	P35813		FALSE	FALSE	FALSE	TRUE	0	2
TMEM63B	A0A1D5R371;F6SFW8;G7MPF9	702905;702797	FALSE	TRUE	11131;55362	TMEM63B	Q5T3F8	2 - putative	TRUE	FALSE	FALSE	TRUE	2	2
PNISR	A0A1D5R3I2	694075	FALSE	TRUE	25957	PNISR	Q8TF01		FALSE	FALSE	FALSE	TRUE	0	2
SLCO6A1	A0A1D5R3U6	707421	FALSE	TRUE	133482	SLCO6A1	Q86UG4		TRUE	FALSE	FALSE	TRUE	1	2
SKAP2	A0A1D5R563	701461	FALSE	TRUE	8935	SKAP2	O75563		FALSE	FALSE	FALSE	TRUE	0	2
ALPL	A0A1D5R5B1	717809	FALSE	TRUE	249	ALPL	P05186	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
ANXA4	A0A1D5R5Q6	701433	FALSE	TRUE	307	ANXA4	P09525		FALSE	FALSE	TRUE	TRUE	1	2
ADD1	A0A1D5R5T2;F7HMM7;H9FPQ0	700805	FALSE	TRUE	118	ADD1	P35611		FALSE	FALSE	FALSE	TRUE	0	2
NUP35	A0A1D5R653;F6XL37	706497	FALSE	TRUE	129401	NUP35	Q8NFH5		FALSE	FALSE	FALSE	TRUE	0	2
SSPN	A0A1D5R6U4	708482	FALSE	TRUE	8082	SSPN	Q14714		TRUE	TRUE	FALSE	TRUE	2	2
SWAP70	A0A1D5R7J2;F7HJZ8	703651	FALSE	TRUE	23075	SWAP70	Q9UH65		FALSE	FALSE	FALSE	TRUE	0	2
ALCAM	A0A1D5R7P2;F7E9U2	703777	TRUE	TRUE	214	ALCAM	Q13740	1 - high confidence	TRUE	TRUE	TRUE	TRUE	5	2
NUBPL	A0A1D5R8A7	717011	FALSE	TRUE	80224	NUBPL	Q8TB37		FALSE	FALSE	FALSE	TRUE	0	2
PLCG1	A0A1D5R8E9	697069	FALSE	TRUE	5335	PLCG1	P19174		FALSE	FALSE	FALSE	TRUE	0	2
DGKK	A0A1D5R8J9	695126	FALSE	TRUE	139189	DGKK	Q5KSL6		FALSE	FALSE	FALSE	TRUE	0	2
TRPC3	A0A1D5R929;F7H6Q8	707586	FALSE	TRUE	7222	TRPC3	Q13507		FALSE	FALSE	FALSE	TRUE	0	2
TSPAN9	A0A1D5R977	721790	FALSE	TRUE	10867	TSPAN9	O75954	2 - putative	TRUE	FALSE	FALSE	TRUE	2	2
NSF	A0A1D5R978;F6YT14	715297	FALSE	TRUE	4905	NSF	P46459		FALSE	FALSE	FALSE	TRUE	0	2
CACNB2	A0A1D5R992;F6SWC7;F6SWD8;F6SWI4;F7GXI1	701226	FALSE	TRUE	783	CACNB2	Q08289		FALSE	FALSE	FALSE	TRUE	0	2
ACE	A0A1D5R9B8	100428661	TRUE	TRUE	1636	ACE	P12821	1 - high confidence	TRUE	TRUE	TRUE	TRUE	5	2
RAB3D	A0A1D5R9N2;F6UG33	719400;714222	FALSE	TRUE	5864;9545	RAB3A;RAB3D	P20336;O95716		FALSE	TRUE	FALSE	TRUE	1	2
PRSS42P	A0A1D5RB21	713075	FALSE	TRUE	339906				FALSE	FALSE	FALSE	FALSE	0	1
KCNJ16	A0A1D5RBD6;F7BX57	694188	FALSE	TRUE	3773	KCNJ16	Q9NPI9		FALSE	FALSE	FALSE	TRUE	0	2
TTC17	A0A1D5RBT9;F6TGF9;G7NDJ6	716254	FALSE	TRUE	55761	TTC17	Q96AE7	3 - unspecific	FALSE	FALSE	FALSE	TRUE	1	2
LIMS1	A0A1D5RCX6;A0A5F8A2C9;F7GXN4;F7GXP0	694116	FALSE	TRUE	3987	LIMS1	P48059		FALSE	FALSE	FALSE	TRUE	0	2
LY6H	A0A1D5RE30	706994	FALSE	TRUE	4062	LY6H	O94772		TRUE	FALSE	FALSE	TRUE	1	2
CD160	A0A1D5RE98;F7HQP2	696832	FALSE	TRUE	11126	CD160	O95971	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
AGTRAP	A0A1D5REK8	722746	FALSE	TRUE	57085	AGTRAP	Q6RW13		FALSE	FALSE	FALSE	TRUE	0	2
FCER2	A0A1D5REX2	708980	TRUE	TRUE	2208	FCER2	P06734	1 - high confidence	FALSE	TRUE	TRUE	TRUE	4	2
TSPAN5	A0A1D5REZ6;A0A5F8AB78	706537	FALSE	TRUE	10098	TSPAN5	P62079		TRUE	FALSE	FALSE	TRUE	1	2
TRAF3	A0A1D5RF63	693961	FALSE	TRUE	7187	TRAF3	Q13114		FALSE	FALSE	FALSE	TRUE	0	2
ADRA1A	A0A1D5RF92;B0S4P6	712509	FALSE	TRUE	148	ADRA1A	P35348		TRUE	FALSE	FALSE	TRUE	1	2
CBL	A0A1D5RFE7	704311	FALSE	TRUE	867	CBL	P22681		FALSE	FALSE	FALSE	TRUE	0	2
GHR	A0A1D5RFI9;P79194	697986	TRUE	TRUE	2690	GHR	P10912		TRUE	TRUE	TRUE	TRUE	4	2
PLEK2	A0A1D5RFP4	710419	FALSE	TRUE	26499	PLEK2	Q9NYT0		FALSE	FALSE	FALSE	TRUE	0	2
AQP4	A0A1D5RFU8	703773	FALSE	TRUE	361	AQP4	P55087		TRUE	TRUE	TRUE	TRUE	3	2
UPK1B	A0A1D5RG23	711907	FALSE	TRUE	7348	UPK1B	O75841		TRUE	FALSE	FALSE	TRUE	1	2
AFAP1L2	A0A1D5RGB8;H9G0V1	698518	FALSE	TRUE	84632	AFAP1L2	Q8N4X5		FALSE	FALSE	FALSE	TRUE	0	2
DNAJC25	A0A1D5RGW5	708193	FALSE	TRUE	2790	GNG10	P50151		FALSE	FALSE	FALSE	TRUE	0	2
ADCY2	A0A1D5RHE7	695328	FALSE	TRUE	108	ADCY2	Q08462		TRUE	FALSE	FALSE	TRUE	1	2
CLDN7	A0A1D5RHW0	714647	FALSE	TRUE	1366	CLDN7	O95471		TRUE	FALSE	FALSE	TRUE	1	2
STAC	A0A1D5RIY5	707350	FALSE	TRUE	6769	STAC	Q99469		FALSE	FALSE	FALSE	TRUE	0	2
C8B	A0A1D5RJJ1	716155	FALSE	TRUE	732	C8B	P07358		FALSE	FALSE	FALSE	TRUE	0	2
GLRA3	A0A1D5RJX7;F7DY62	697984	FALSE	TRUE	8001	GLRA3	O75311		TRUE	FALSE	FALSE	TRUE	1	2
DLG1	A0A1D5RK14;H9ENR9;H9ENS0	709572	FALSE	TRUE	1739	DLG1	Q12959		FALSE	FALSE	FALSE	TRUE	0	2
STIM2	A0A1D5RKE1;F7EUD7	694980	FALSE	TRUE	57620	STIM2	Q9P246		FALSE	FALSE	FALSE	TRUE	0	2
NTRK2	A0A5F7Z783;F7DGW1;H9ELU8	709757	FALSE	TRUE	4915	NTRK2	Q16620	1 - high confidence	TRUE	TRUE	FALSE	TRUE	3	2
SLCO1A2	A0A5F7Z7G7;F6UHF6	705434	FALSE	TRUE	6579	SLCO1A2	P46721		TRUE	FALSE	FALSE	TRUE	1	2
OR4Q3	A0A5F7Z7Q1	100426661	FALSE	TRUE	441669	OR4Q3	Q8NH05		TRUE	FALSE	FALSE	TRUE	1	2
GRIA2	A0A5F7Z7T5;A0A5F7ZWW1;F7HM86	574344	FALSE	TRUE	2891	GRIA2	P42262	1 - high confidence	TRUE	FALSE	TRUE	TRUE	3	2
RERG	A0A5F7Z935;F7BP34	700567	FALSE	TRUE	85004	RERG	Q96A58	3 - unspecific	FALSE	FALSE	FALSE	TRUE	1	2
OR51M1	A0A5F7Z9J5	715244	FALSE	TRUE	390059	OR51M1	Q9H341		TRUE	FALSE	FALSE	TRUE	1	2
ATP8B2	A0A5F7ZAI4;F7E886	716652	FALSE	TRUE	57198	ATP8B2	P98198		FALSE	FALSE	FALSE	TRUE	0	2
RAB3C	A0A5F7ZAL7;F7CYU0	709039	FALSE	TRUE	115827	RAB3C	Q96E17		FALSE	FALSE	FALSE	TRUE	0	2
GRIA3	A0A5F7ZAW6;F7F735	698396	FALSE	TRUE	2892	GRIA3	P42263		TRUE	FALSE	FALSE	TRUE	1	2
ITGA3	A0A5F7ZAZ7;F7HLW8	700962	TRUE	TRUE	3675	ITGA3	P26006	1 - high confidence	TRUE	TRUE	TRUE	TRUE	5	2
PODXL	A0A5F7ZB91	704777	FALSE	TRUE	5420	PODXL	O00592	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
PCDHB7	A0A5F7ZBQ9	699745	FALSE	TRUE	56129	PCDHB7	Q9Y5E2		TRUE	FALSE	FALSE	TRUE	1	2
TMC7	A0A5F7ZCW4;F6QV35	693931;693807	FALSE	TRUE	10229;79905	TMC7	Q7Z402	2 - putative	TRUE	FALSE	FALSE	TRUE	2	2
DLG3	A0A5F7ZD27;F6SE42;F6UBK1;F7D6C3	697179	FALSE	TRUE	1741	DLG3	Q92796		FALSE	FALSE	FALSE	TRUE	0	2
SLC16A8	A0A5F7ZDC7	699932	FALSE	TRUE	23539	SLC16A8	O95907		TRUE	FALSE	FALSE	TRUE	1	2
FAM126B	A0A5F7ZDS5;A0A5F8AFC2;F6VFY7	700818	FALSE	TRUE	285172	FAM126B	Q8IXS8		FALSE	FALSE	FALSE	TRUE	0	2
SLC29A2	A0A5F7ZE28;H9H3U3	720038	FALSE	TRUE	3177	SLC29A2	Q14542	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
GJA3	A0A5F7ZEN7	704432	FALSE	TRUE	2700	GJA3	Q9Y6H8		TRUE	TRUE	FALSE	TRUE	2	2
OR52M1	A0A5F7ZEU6	717723	FALSE	TRUE	119772	OR52M1	Q8NGK5		TRUE	FALSE	FALSE	TRUE	1	2
LAMP3	A0A5F7ZF43;Q8MJJ2	574213	FALSE	TRUE	27074	LAMP3	Q9UQV4	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
AVPR2	A0A5F7ZFB1	697763	FALSE	TRUE	554	AVPR2	P30518		TRUE	FALSE	FALSE	TRUE	1	2
EXOC7	A0A5F7ZFP9;F7DT66	705801	FALSE	TRUE	23265	EXOC7	Q9UPT5		FALSE	FALSE	FALSE	TRUE	0	2
KITLG	A0A5F7ZFV6	574254	FALSE	TRUE	4254	KITLG	P21583	1 - high confidence	TRUE	TRUE	FALSE	TRUE	3	2
LOC718452	A0A5F7ZH52	718452	FALSE	TRUE	26539	OR10H1	Q9Y4A9		TRUE	FALSE	FALSE	TRUE	1	2
NEURL1	A0A5F7ZI15;F7FIZ5	714923	FALSE	TRUE	9148	NEURL1	O76050		FALSE	FALSE	FALSE	TRUE	0	2
CNKSR2	A0A5F7ZIZ1;F6QK80	696046	FALSE	TRUE	22866	CNKSR2	Q8WXI2		FALSE	FALSE	FALSE	TRUE	0	2
ADGRG1	A0A5F7ZJI8;G7NPV1;Q50DM8	613233	FALSE	TRUE	9289	ADGRG1	Q9Y653	1 - high confidence	TRUE	TRUE	FALSE	TRUE	3	2
SHH	A0A5F7ZJT0	716553	FALSE	TRUE	6469	SHH	Q15465		FALSE	TRUE	TRUE	TRUE	2	2
EPHA3	A0A5F7ZKD5	694583	FALSE	TRUE	2042	EPHA3	P29320	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
LYNX1	A0A5F7ZL24;P0DP62	574359	FALSE	TRUE	66004				FALSE	FALSE	FALSE	FALSE	0	1
MAMU-DOA	A0A5F7ZL43;A0A5F8ADY2	717947	FALSE	TRUE	3111	HLA-DOA	P06340		TRUE	FALSE	FALSE	TRUE	1	2
TMEM266	A0A5F7ZLS5	707482	FALSE	TRUE	123591	TMEM266	Q2M3C6		FALSE	FALSE	FALSE	TRUE	0	2
OSBPL7	A0A5F7ZNB5;F6R3J7;H9Z503	694186	FALSE	TRUE	114881	OSBPL7	Q9BZF2		FALSE	FALSE	FALSE	TRUE	0	2
BEST4	A0A5F7ZQ05	703847	FALSE	TRUE	266675	BEST4	Q8NFU0		TRUE	FALSE	FALSE	TRUE	1	2
DSTYK	A0A5F7ZQ44;A0A5F8A5I8;Q20CR4	664732	FALSE	TRUE	25778	DSTYK	Q6XUX3		FALSE	FALSE	FALSE	TRUE	0	2
GNAO1	A0A5F7ZR76;F7GQC5	574394	FALSE	TRUE	2775	GNAO1	P09471		FALSE	FALSE	FALSE	TRUE	0	2
SCIMP	A0A5F7ZRP6	721635	FALSE	TRUE	388325	SCIMP	Q6UWF3		FALSE	FALSE	FALSE	TRUE	0	2
JAML	A0A5F7ZSK6;F7H306;G7NCB6	699211;704919	FALSE	TRUE	196264;120425	MPZL3;JAML	Q6UWV2;Q86YT9	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
TMPRSS11B	A0A5F7ZTT2	709809	FALSE	TRUE	132724	TMPRSS11B	Q86T26		TRUE	FALSE	FALSE	TRUE	1	2
