Gene Name	UniProt	GeneID	GO cell surface	GO plasma membrane	Gene Name - human	UniProt - human	GeneID - human	CSPA category	Surfaceome	CRISPR	GO cell surface - human	GO plasma membrane - human	Num cell surface evidence	Num plasma membrane evidence
Cd44	A0A1U7Q2F4;A0A1U7Q3B6;A0A1U8C140;A0A1U8CBK2;A0A3Q0CUI7;A0A3Q0CUJ2;A0A3Q0CUK1;A0A3Q0CUQ2;A0A3Q0CUQ7;A0A3Q0CYY7;A0A3Q0CYZ5;A0A3Q0D0N1;A0A3Q0D0N8;A0A3Q0D0Q6	101826056	FALSE	FALSE	CD44	P16070	960	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	1
Mc2r	A0A1U7Q2G7	101825745	FALSE	TRUE	MC2R	Q01718	4158		TRUE	FALSE	FALSE	TRUE	1	2
Vegfa	A0A1U7Q2J2;A0A1U8BT68;A0A1U8BT75;A0A1U8BWH2	101839822	FALSE	FALSE	VEGFA	P15692	7422		FALSE	TRUE	TRUE	FALSE	2	0
Serpina1	A0A1U7Q2J3;A0A1U8BK25	101841330	FALSE	FALSE	SERPINA1	P01009	5265	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1	0
Ly75	A0A1U7Q2J5	101830769	FALSE	FALSE	LY75	O60449		1 - high confidence	TRUE	FALSE	TRUE	TRUE	3	1
Slc22a11	A0A1U7Q2L5;A0A1U8C1E7;A0A3Q0CN00;A0A3Q0CN05	101835198	FALSE	FALSE	SLC22A11	Q9NSA0	55867		TRUE	TRUE	TRUE	TRUE	3	1
Dmbt1	A0A1U7Q2M0	101836403	FALSE	FALSE	DMBT1	Q9UGM3	1755		FALSE	FALSE	TRUE	TRUE	1	1
Cnnm2	A0A1U7Q2N3;A0A1U7Q5S0	101823503	FALSE	TRUE	CNNM2	Q9H8M5	54805	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
Fgf8	A0A1U7Q2N6;A0A1U7Q4K1;A0A1U7Q5S9;A0A1U7QAP5;A0A1U7QCV3	101830284	FALSE	FALSE	FGF8	P55075	2253		FALSE	FALSE	TRUE	TRUE	1	1
Entpd7	A0A1U7Q2P2;A0A3Q0DCR3;A0A3Q0DDP1	101839421	FALSE	FALSE	ENTPD7	Q9NQZ7	57089	2 - putative	FALSE	FALSE	FALSE	FALSE	1	0
Loxl4	A0A1U7Q2P4;A0A3Q0DAZ5	101842563	FALSE	FALSE	LOXL4	Q96JB6	84171	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1	0
Zfyve27	A0A1U7Q2P5;A0A1U8BP97;A0A1U8BPM5;A0A1U8BSR6	101844431	FALSE	TRUE	ZFYVE27	Q5T4F4	118813		TRUE	FALSE	FALSE	TRUE	1	2
Opalin	A0A1U7Q2P8;A0A1U8C2S1;A0A3Q0CHB1	101827451	FALSE	TRUE	OPALIN	Q96PE5	93377		TRUE	FALSE	FALSE	TRUE	1	2
Apba1	A0A1U7Q2R4;A0A1U8C7C0;A0A3Q0CJX4	101838273	FALSE	TRUE	APBA1	Q02410	320		FALSE	TRUE	FALSE	TRUE	1	2
Tmem132a	A0A1U7Q2S6;A0A1U7Q4S7	101838364	FALSE	FALSE	TMEM132A	Q24JP5	54972	1 - high confidence	TRUE	FALSE	FALSE	FALSE	2	0
Stx5	A0A1U7Q2T3	101827799	FALSE	FALSE	STX5	Q13190	6811		FALSE	TRUE	FALSE	FALSE	1	0
Nrxn2	A0A1U7Q2T9;A0A1U7Q4V5;A0A1U7Q681;A0A1U7QBA6;A0A1U8BQG9;A0A1U8BQH3;A0A1U8BQW7;A0A1U8BQX7;A0A1U8BR01;A0A1U8BU20;A0A1U8C1F4;A0A1U8C1I3;A0A1U8C229;A0A3Q0CHR9;A0A3Q0CN12;A0A3Q0CN30;A0A3Q0CN55;A0A3Q0CN58;A0A3Q0CN71;A0A3Q0CNG6;A0A3Q0CNM3;A0A3Q0CQ27	101838621	FALSE	FALSE	NRXN2	P58401;Q9P2S2	9379		TRUE	FALSE	FALSE	TRUE	1	1
Lrfn4	A0A1U7Q2V6	101823954	TRUE	FALSE	LRFN4	Q6PJG9	78999		TRUE	FALSE	TRUE	TRUE	3	1
Unc93b1	A0A1U7Q2W1		FALSE	FALSE	UNC93B1	Q9H1C4	81622		TRUE	FALSE	FALSE	FALSE	1	0
Mrgpre	A0A1U7Q2W6	101841577	FALSE	FALSE	MRGPRE	Q86SM8	116534		TRUE	FALSE	FALSE	TRUE	1	1
Sprn	A0A1U7Q2Y0	101822974	FALSE	TRUE	SPRN	Q5BIV9	503542		TRUE	FALSE	FALSE	TRUE	1	2
Caly	A0A1U7Q2Y1	101824646	FALSE	TRUE	CALY	Q9NYX4	50632		TRUE	FALSE	FALSE	TRUE	1	2
Kcnj6	A0A1U7Q2Z9	101823647	FALSE	FALSE	KCNJ6	P48051	3763		FALSE	TRUE	FALSE	TRUE	1	1
Cacng3	A0A1U7Q308;A0A1U8C069	101828143	FALSE	TRUE	CACNG3	O60359	10368		TRUE	FALSE	FALSE	TRUE	1	2
Gpr139	A0A1U7Q312	101838537	FALSE	FALSE	GPR139	Q6DWJ6	124274		TRUE	FALSE	FALSE	TRUE	1	1
Thbs1	A0A1U7Q315;A0A1U8CQW7	101827006	TRUE	TRUE	THBS1	P07996	7057	3 - unspecific	FALSE	TRUE	TRUE	TRUE	4	2
Cd59	A0A1U7Q318;A0A3Q0CY16	101837826	FALSE	FALSE	CD59	P13987	966	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	1
Pcnx2	A0A1U7Q335;A0A1U8CG99	101829121	FALSE	FALSE	PCNX2	A6NKB5	80003		TRUE	FALSE	FALSE	FALSE	1	0
Grem1	A0A1U7Q345	101825792	TRUE	FALSE	GREM1	O60565	26585	1 - high confidence	FALSE	TRUE	TRUE	FALSE	4	0
Slc5a12	A0A1U7Q351;A0A1U8C4S7	101835641	FALSE	FALSE	SLC5A12	Q1EHB4	159963		TRUE	FALSE	FALSE	TRUE	1	1
Slc1a2	A0A1U7Q361;A0A3Q0CY99	101827891	FALSE	FALSE	SLC1A2	P43004	6506		TRUE	FALSE	TRUE	TRUE	2	1
Ttc17	A0A1U7Q363;A0A1U8CBW1	101832840	FALSE	TRUE	TTC17	Q96AE7	55761	3 - unspecific	FALSE	FALSE	FALSE	TRUE	1	2
P2rx3	A0A1U7Q396	101842305	FALSE	TRUE	P2RX3	P56373	5024		TRUE	FALSE	FALSE	TRUE	1	2
Gpr155	A0A1U7Q3A6;A0A1U7Q5Y6;A0A1U8CCN5	101837648	FALSE	FALSE	GPR155	Q7Z3F1	151556	2 - putative	TRUE	FALSE	FALSE	FALSE	2	0
Scn3a	A0A1U7Q3B0;A0A3Q0D5Z5	101824388	FALSE	TRUE	SCN3A	Q9NY46	6328		TRUE	FALSE	FALSE	TRUE	1	2
Adrb2	A0A1U7Q3C3	101836719	FALSE	TRUE	ADRB2	P07550	154	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
Gpr17	A0A1U7Q3C4	101843008	FALSE	FALSE	GPR17	Q13304	2840		TRUE	FALSE	FALSE	TRUE	1	1
Dsc1	A0A1U7Q3D0;A0A1U7Q7S5;A0A1U7QG65;A0A1U8CL21	101831810	FALSE	TRUE	DSC1	Q08554	1823		TRUE	TRUE	FALSE	TRUE	2	2
Cd226	A0A1U7Q3D4;A0A3Q0DCI8;A0A3Q0DD95;A0A3Q0DDC3	101840769	FALSE	FALSE	CD226	Q15762	10666	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	1
Tmx3	A0A1U7Q3D8		FALSE	FALSE	TMX3	Q96JJ7	54495	1 - high confidence	TRUE	FALSE	TRUE	TRUE	3	1
Slc6a18	A0A1U7Q3E1;A0A1U7Q680	101831631	FALSE	TRUE	SLC6A18	Q96N87	348932		TRUE	FALSE	FALSE	TRUE	1	2
Lysmd3	A0A1U7Q3E9	101837566	FALSE	TRUE	LYSMD3	Q7Z3D4	116068		TRUE	FALSE	FALSE	TRUE	1	2
Il31ra	A0A1U7Q3F2	101843449	FALSE	FALSE	IL31RA	Q8NI17	133396		TRUE	FALSE	TRUE	TRUE	2	1
Hexb	A0A1U7Q3G6	101842400	FALSE	FALSE	HEXB	P07686	3074	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1	0
F2rl1	A0A1U7Q3G7	101844436	FALSE	FALSE	F2RL1	P55085	2150		TRUE	FALSE	FALSE	TRUE	1	1
Ptprk	A0A1U7Q3I5;A0A1U7Q6K8;A0A1U7Q889;A0A1U7QEA8;A0A1U8BDT0;A0A1U8BDT5;A0A1U8BDZ9;A0A1U8BHH7;A0A1U8BQ30;A0A1U8BQ35;A0A1U8BQU7;A0A1U8BQV1;A0A3Q0CGE7;A0A3Q0CGQ6;A0A3Q0CHV4;A0A3Q0CHV8	101844077	FALSE	FALSE	PTPRK	Q15262	5796	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	1
Oprm1	A0A1U7Q3K1	101828870	FALSE	FALSE	OPRM1	P35372	4988		TRUE	FALSE	FALSE	TRUE	1	1
Cd4	A0A1U7Q3K5		FALSE	FALSE	CD4	P01730	920	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	1
Phb2	A0A1U7Q3L1	101822363	TRUE	FALSE	PHB2	Q99623	11331	3 - unspecific	FALSE	FALSE	TRUE	FALSE	3	0
Ret	A0A1U7Q3L7	101835994	FALSE	TRUE	RET	P07949	5979	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
Atp2b2	A0A1U7Q3M4;A0A1U8BED0;A0A1U8BI07;A0A1U8BRF0;A0A3Q0CID1;A0A3Q0CIN1;A0A3Q0CKL4	101825024	FALSE	FALSE	ATP2B2	Q01814	491		TRUE	FALSE	FALSE	TRUE	1	1
Itpr1	A0A1U7Q3N1;A0A1U7Q6Y6;A0A1U7Q8M5;A0A1U7QEZ5;A0A1U7QHI7;A0A1U8BI12;A0A1U8BRF5;A0A3Q0CDR6;A0A3Q0CIG7;A0A3Q0CJ40;A0A3Q0CKP3	101836776	FALSE	FALSE	ITPR1	Q14643	3708	2 - putative	FALSE	FALSE	FALSE	TRUE	1	1
Cdh17	A0A1U7Q3N3	101841316	TRUE	TRUE	CDH17	Q12864	1015	1 - high confidence	TRUE	FALSE	TRUE	TRUE	4	2
Lgals3bp	A0A1U7Q3N9;A0A1U8BN12	101825995	FALSE	FALSE	LGALS3BP	Q08380	3959	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1	0
Dtnbp1	A0A1U7Q3Q4;A0A1U8BF23	101841048	FALSE	FALSE	DTNBP1	Q96EV8	84062		FALSE	TRUE	FALSE	TRUE	1	1
Ssr1	A0A1U7Q3Q9;A0A1U8BFH1	101827729	FALSE	FALSE	SSR1	P43307	6745	1 - high confidence	TRUE	FALSE	FALSE	FALSE	2	0
Nrn1	A0A1U7Q3R0	101829950	FALSE	TRUE	NRN1	Q9NPD7	51299		TRUE	FALSE	FALSE	TRUE	1	2
Chrna6	A0A1U7Q3T7;A0A1U7Q929	101825809	FALSE	TRUE	CHRNA6	Q15825	8973		TRUE	FALSE	FALSE	TRUE	1	2
Unc5d	A0A1U7Q3T8;A0A1U7Q7E3;A0A1U7Q932;A0A1U7QFQ2;A0A1U7QI82;A0A1U8BGD2;A0A1U8BJ96;A0A1U8BRZ1;A0A1U8BSQ7	101826239	TRUE	FALSE	UNC5D	Q6UXZ4	137970		TRUE	TRUE	TRUE	TRUE	4	1
Fat1	A0A1U7Q3U5;A0A1U8BRS2;A0A3Q0CEJ2;A0A3Q0CJD7	101842219	FALSE	TRUE	FAT1	Q14517	2195	1 - high confidence	TRUE	TRUE	FALSE	TRUE	3	2
Sorbs2	A0A1U7Q3U6;A0A1U8BFE9;A0A1U8BFF3;A0A1U8BFF8;A0A1U8BG43;A0A1U8BG48;A0A1U8BG51;A0A1U8BG58;A0A1U8BJ32;A0A1U8BJ36;A0A1U8BJ39;A0A1U8BRQ1;A0A1U8BRQ8;A0A1U8BRR2;A0A1U8BSI0;A0A1U8BSI5;A0A1U8BSJ2;A0A3Q0CEJ7;A0A3Q0CJK8;A0A3Q0CJX7		FALSE	FALSE	SORBS2	O94875	8470		FALSE	TRUE	FALSE	TRUE	1	1
Asph	A0A1U7Q3V6;A0A1U7Q7K1;A0A1U7Q989;A0A1U7QIG9;A0A1U8BFX9;A0A1U8BGN9;A0A1U8BJJ2;A0A1U8BSA7;A0A1U8BT09	101826336	FALSE	FALSE	ASPH	Q12797	444	2 - putative	FALSE	FALSE	FALSE	TRUE	1	1
Slco5a1	A0A1U7Q3V9	101832079	FALSE	TRUE	SLCO5A1	Q9H2Y9	81796		TRUE	FALSE	FALSE	TRUE	1	2
Myh9	A0A1U7Q3X8	101844355	FALSE	TRUE	MYH9	P35579	4627	3 - unspecific	FALSE	FALSE	FALSE	TRUE	1	2
Slc2a13	A0A1U7Q404	101843026	FALSE	TRUE	SLC2A13	Q96QE2	114134	2 - putative	TRUE	FALSE	FALSE	TRUE	2	2
Wnt1	A0A1U7Q413	101838833	TRUE	FALSE	WNT1	P04628	7471		FALSE	TRUE	TRUE	TRUE	3	1
Lmbr1l	A0A1U7Q414	101840786	FALSE	TRUE	LMBR1L	Q6UX01	55716		TRUE	FALSE	FALSE	TRUE	1	2
Aqp2	A0A1U7Q416;A0A1U8BH61	101822818	FALSE	TRUE	AQP2	P41181	359		TRUE	FALSE	FALSE	TRUE	1	2
Slc2a4	A0A1U7Q454	101827218	FALSE	FALSE	SLC2A4	P14672	6517	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	1
Atp1b2	A0A1U7Q457	101833660	TRUE	TRUE	ATP1B2	P14415	482	1 - high confidence	TRUE	FALSE	TRUE	TRUE	4	2
Gria1	A0A1U7Q483;A0A1U7Q8M9	101836867	TRUE	TRUE	GRIA1	P42261	2890		TRUE	TRUE	TRUE	TRUE	4	2
Slc36a1	A0A1U7Q484;A0A1U8BLY9;A0A3Q0CGC2	101839268	FALSE	FALSE	SLC36A1	Q7Z2H8	206358		TRUE	FALSE	FALSE	TRUE	1	1
Cxcl16	A0A1U7Q493	101838392	FALSE	FALSE	CXCL16	Q9H2A7	58191	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	1
Lum	A0A1U7Q4A8	101836594	FALSE	FALSE	LUM	P51884	4060	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1	0
Ppfia2	A0A1U7Q4B0;A0A1U7Q8V7;A0A1U7QAL9;A0A1U8BIN8;A0A1U8BIP3;A0A1U8BJM7;A0A1U8BJN5;A0A1U8BMD5;A0A1U8BMD9;A0A1U8BUZ0;A0A1U8BVM7;A0A1U8BVN3;A0A3Q0CLS1;A0A3Q0CLS8	101842136	FALSE	FALSE	PPFIA2	O75334	8499		FALSE	TRUE	TRUE	FALSE	2	0
Ptprq	A0A1U7Q4B1	101844895	FALSE	FALSE	PTPRQ	Q9UMZ3		1 - high confidence	TRUE	FALSE	FALSE	FALSE	2	0
Ambn	A0A1U7Q4C5;A0A1U7QAT1	101841060	FALSE	FALSE	AMBN	Q9NP70	258		FALSE	TRUE	FALSE	FALSE	1	0
Epha5	A0A1U7Q4D0;A0A1U7Q912;A0A1U7QAU4;A0A1U7QIG7;A0A1U7QKV8;A0A1U8BJ29;A0A1U8BJZ4	101824412	FALSE	TRUE	EPHA5	P54756	2044	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	2
Ncam2	A0A1U7Q4D1;A0A1U7QAU8	101827038	FALSE	FALSE	NCAM2	O15394	4685	1 - high confidence	TRUE	TRUE	FALSE	TRUE	3	1
Pcsk5	A0A1U7Q4E6	101834768	FALSE	FALSE	PCSK5	Q92824	5125		TRUE	FALSE	FALSE	FALSE	1	0
Bdkrb2	A0A1U7Q4G2	101837939	FALSE	TRUE	BDKRB2	P30411	624		TRUE	FALSE	FALSE	TRUE	1	2
Slc24a4	A0A1U7Q4H2;A0A1U7QB18	101824518	FALSE	TRUE	SLC24A4	Q8NFF2	123041		TRUE	FALSE	FALSE	TRUE	1	2
Adrb1	A0A1U7Q4H7		FALSE	TRUE	ADRB1	P08588	153		TRUE	FALSE	FALSE	TRUE	1	2
Sorcs1	A0A1U7Q4I9;A0A1U7Q5R1;A0A1U7QAL5;A0A1U8BWW2	101841031	FALSE	FALSE	SORCS1	Q8WY21	114815	1 - high confidence	TRUE	FALSE	FALSE	FALSE	2	0
Duoxa1	A0A1U7Q4K2	101843845	FALSE	TRUE	DUOXA1	Q1HG43	90527		TRUE	FALSE	FALSE	TRUE	1	2
Sema6d	A0A1U7Q4K6;A0A1U7Q9D7;A0A1U7QB89;A0A1U7QJ11;A0A1U8BJZ1	101823980	FALSE	TRUE	SEMA6D	Q8NFY4	80031		TRUE	FALSE	TRUE	TRUE	2	2
Slc24a5	A0A1U7Q4K8	101826510	FALSE	FALSE	SLC24A5	Q71RS6	283652		TRUE	FALSE	FALSE	FALSE	1	0
Il1a	A0A1U7Q4M0	101838741	FALSE	FALSE	IL1A	P01583	3552		FALSE	TRUE	FALSE	FALSE	1	0
Tm9sf3	A0A1U7Q4M1	101826479	FALSE	FALSE	TM9SF3	Q9HD45	56889	1 - high confidence	TRUE	FALSE	FALSE	FALSE	2	0
Myof	A0A1U7Q4M9;A0A1U7QAV8;A0A3Q0CI93;A0A3Q0CII5;A0A3Q0CIW7	101835544	FALSE	FALSE	MYOF	Q9NZM1	26509	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	1
Prnp	A0A1U7Q4N0	101829062	TRUE	TRUE	PRNP	F7VJQ1;P04156	5621	1 - high confidence	TRUE	FALSE	TRUE	TRUE	4	2
Fermt1	A0A1U7Q4N4;A0A1U8BJQ9	101833402	FALSE	FALSE	FERMT1	Q9BQL6	55612		FALSE	TRUE	FALSE	TRUE	1	1
Kcnv2	A0A1U7Q4P9	101834769	FALSE	TRUE	KCNV2	Q8TDN2	169522		TRUE	FALSE	FALSE	TRUE	1	2
Otop1	A0A1U7Q4R6	101833834	FALSE	TRUE	OTOP1	Q7RTM1	133060		TRUE	FALSE	FALSE	TRUE	1	2
Stx18	A0A1U7Q4R8;A0A1U8BP51	101835307	FALSE	FALSE	STX18	Q9P2W9	53407		FALSE	TRUE	FALSE	FALSE	1	0
Ms4a1	A0A1U7Q4S5;A0A3Q0CN44	101836488	TRUE	TRUE	MS4A1	P11836	931	1 - high confidence	TRUE	TRUE	TRUE	TRUE	5	2
Adra2c	A0A1U7Q4S6	101842237	FALSE	TRUE	ADRA2C	P18825	152	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
Fgfr3	A0A1U7Q4T4;A0A1U7QBQ7;A0A1U7QLZ9;A0A1U8BLA0;A0A1U8BP55;A0A1U8BXD8	101826351	FALSE	TRUE	FGFR3	P22607	2261	1 - high confidence	TRUE	FALSE	TRUE	TRUE	3	2
Maea	A0A1U7Q4T6	101828893	FALSE	FALSE	MAEA	Q7L5Y9	10296		FALSE	TRUE	FALSE	TRUE	1	1
Pik3ip1	A0A1U7Q4T8;A0A3Q0CQ91	101830419	FALSE	FALSE	PIK3IP1	Q96FE7	113791		TRUE	FALSE	FALSE	TRUE	1	1
Chrm1	A0A1U7Q4U1	101828505	FALSE	TRUE	CHRM1	P11229	1128		TRUE	FALSE	FALSE	TRUE	1	2
Galnt5	A0A1U7Q4W0	101826869	FALSE	FALSE	GALNT5	Q7Z7M9	11227	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1	0
Ehd1	A0A1U7Q4W1	101843536	FALSE	TRUE	EHD1	Q9H4M9	10938		FALSE	TRUE	FALSE	TRUE	1	2
Chsy3	A0A1U7Q4Y2	101840633	FALSE	FALSE	CHSY3	Q70JA7	337876	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1	0
Cd248	A0A1U7Q4Y7	101839243	FALSE	FALSE	CD248	Q9HCU0	57124		TRUE	FALSE	TRUE	TRUE	2	1
Lox	A0A1U7Q4Z4;A0A1U7QC09	101827746	FALSE	FALSE	LOX	P28300	4015	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1	0
Ano1	A0A1U7Q511;A0A3Q0CK28;A0A3Q0CQV9;A0A3Q0CSE2	101838895	FALSE	TRUE	ANO1	Q5XXA6	55107		TRUE	FALSE	FALSE	TRUE	1	2
Mrgprg	A0A1U7Q515	101841845	FALSE	FALSE	MRGPRG	Q86SM5	386746		TRUE	FALSE	FALSE	TRUE	1	1
Tspan4	A0A1U7Q527;A0A3Q0CRK7	101833885	FALSE	TRUE	TSPAN4	O14817	7106	2 - putative	TRUE	FALSE	FALSE	TRUE	2	2
Rplp2	A0A1U7Q529;A0A1U8CQN0	101835718	FALSE	FALSE	RPLP2	P05387	6181	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1	0
Mpzl2	A0A1U7Q532;A0A1U8BLJ5		FALSE	FALSE	MPZL2	O60487	10205	1 - high confidence	TRUE	FALSE	FALSE	FALSE	2	0
Esam	A0A1U7Q547	101826170	FALSE	FALSE	ESAM	Q96AP7	90952	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	1
Gpr26	A0A1U7Q554	101835891	FALSE	FALSE	GPR26	Q8NDV2	2849		TRUE	FALSE	FALSE	TRUE	1	1
Slc5a2	A0A1U7Q560;A0A1U8C533	101841667	FALSE	FALSE	SLC5A2	P31639	6524		TRUE	FALSE	FALSE	TRUE	1	1
Itgam	A0A1U7Q562;A0A1U8CAC9;A0A3Q0CU57	101843173	TRUE	TRUE	ITGAM	P11215	3684	1 - high confidence	TRUE	TRUE	TRUE	TRUE	5	2
Tmem225	A0A1U7Q567	101843306	FALSE	FALSE	TMEM225	Q6GV28	338661		TRUE	FALSE	FALSE	FALSE	1	0
Crtam	A0A1U7Q569	101823009	FALSE	TRUE	CRTAM	O95727	56253		TRUE	FALSE	FALSE	TRUE	1	2
Itgal	A0A1U7Q573	101830558	TRUE	TRUE	ITGAL	P20701	3683	1 - high confidence	TRUE	TRUE	TRUE	TRUE	5	2
Treh	A0A1U7Q581;A0A1U7QAD2	101833582	FALSE	FALSE	TREH	O43280	11181		TRUE	FALSE	FALSE	TRUE	1	1
Tmprss13	A0A1U7Q586	101838653	FALSE	FALSE	TMPRSS13	Q9BYE2	84000		TRUE	FALSE	FALSE	FALSE	1	0
Sidt2	A0A1U7Q588;A0A1U7QCL4;A0A1U8BMI5;A0A1U8BYM5	101839994	FALSE	TRUE	SIDT2	Q8NBJ9	51092	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
Cadm1	A0A1U7Q590;A0A1U7Q592;A0A1U7QAE8;A0A1U7QCM3;A0A1U7QKM1;A0A1U7QN22	101842864	FALSE	TRUE	CADM1	Q9BY67	23705	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
Il21r	A0A1U7Q591	101826670	FALSE	FALSE	IL21R	Q9HBE5	50615		TRUE	FALSE	FALSE	TRUE	1	1
Gldn	A0A1U7Q5A8	101836795	FALSE	FALSE	GLDN	Q6ZMI3	342035		TRUE	FALSE	TRUE	TRUE	2	1
Cspg4	A0A1U7Q5B4	101843205	FALSE	TRUE	CSPG4	Q6UVK1	1464	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	2
Neo1	A0A1U7Q5C4;A0A1U7QAL0;A0A1U8BLZ2;A0A1U8BMJ0;A0A1U8BQP9;A0A1U8BQQ3;A0A1U8BXZ0;A0A1U8BYM9	101833583	FALSE	TRUE	NEO1	Q92859	4756	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
Hexa	A0A1U7Q5C6;A0A1U8BM61;A0A1U8BMR2	101834712	FALSE	FALSE	HEXA	P06865	3073	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1	0
Pcdh10	A0A1U7Q5D2;A0A1U7QAN0;A0A1U7QCW6	101829160	FALSE	TRUE	PCDH10	Q9P2E7	57575		TRUE	FALSE	FALSE	TRUE	1	2
Mfsd8	A0A1U7Q5D4	101831743	FALSE	FALSE	MFSD8	Q8NHS3	256471	2 - putative	TRUE	FALSE	FALSE	FALSE	2	0
Ehd4	A0A1U7Q5E9	101832151	FALSE	FALSE	EHD4	Q9H223	30844		FALSE	TRUE	FALSE	TRUE	1	1
Tyro3	A0A1U7Q5F1	101834235	TRUE	FALSE	TYRO3	Q06418	7301	1 - high confidence	TRUE	TRUE	TRUE	TRUE	5	1
