Entry	Status	Protein names	Gene names  (primary )	Gene names	Annotation	Keywords	Gene ontology (cellular component)
A0A1U7QKU4	unreviewed	Protein Wnt	Wnt4	Wnt4	5 out of 5	Developmental protein;Disulfide bond;Extracellular matrix;Reference proteome;Secreted;Wnt signaling pathway	cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]
A0A1U7QAK3	unreviewed	semaphorin-7A isoform X1	Sema7a	Sema7a	2 out of 5	Disulfide bond;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
A0A1U7QMU6	unreviewed	C-C chemokine receptor type 1	LOC101834765	LOC101834765	3 out of 5	G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	cell [GO:0005623]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
A0A1U7QQL9	unreviewed	adipocyte plasma membrane-associated protein	Apmap	Apmap	1 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; integral component of membrane [GO:0016021]
A0A1U7Q6U5	unreviewed	amiloride-sensitive sodium channel subunit gamma	Scnn1g	Scnn1g	2 out of 5	Ion channel;Ion transport;Membrane;Reference proteome;Sodium;Sodium channel;Sodium transport;Transmembrane;Transmembrane helix;Transport	external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; integral component of plasma membrane [GO:0005887]; nucleoplasm [GO:0005654]; sodium channel complex [GO:0034706]
A0A1U7QTM7	unreviewed	frizzled-10	Fzd10	Fzd10	3 out of 5	Developmental protein;Disulfide bond;Membrane;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix;Wnt signaling pathway	cell surface [GO:0009986]; cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; nucleoplasm [GO:0005654]
A0A1U7Q899	unreviewed	reticulon-4 receptor-like 1	Rtn4rl1	Rtn4rl1	2 out of 5	Receptor;Reference proteome;Signal	anchored component of plasma membrane [GO:0046658]; cell surface [GO:0009986]
A0A1U7QY91	unreviewed	vasorin	Vasn	Vasn	3 out of 5	Disulfide bond;EGF-like domain;Leucine-rich repeat;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
A0A1U7QBX6	unreviewed	syntaxin-4 isoform X2	Stx4	Stx4	5 out of 5	Coiled coil;Membrane;Reference proteome;Transmembrane;Transmembrane helix	basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; dendritic spine [GO:0043197]; endosome [GO:0005768]; extracellular space [GO:0005615]; glutamatergic synapse [GO:0098978]; integral component of membrane [GO:0016021]; lamellipodium [GO:0030027]; lateral loop [GO:0043219]; myelin sheath adaxonal region [GO:0035749]; perinuclear region of cytoplasm [GO:0048471]; phagocytic vesicle [GO:0045335]; SNARE complex [GO:0031201]; specific granule [GO:0042581]; storage vacuole [GO:0000322]; trans-Golgi network [GO:0005802]
A0A1U7REN7	unreviewed	C-type lectin domain family 12 member B	Clec12b	Clec12b	2 out of 5	Lectin;Membrane;Reference proteome;Transmembrane;Transmembrane helix	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; protein-containing complex [GO:0032991]
A0A1U7R6I6	unreviewed	transferrin receptor protein 2 isoform X1	Tfr2	Tfr2	2 out of 5	Membrane;Receptor;Reference proteome;Transmembrane;Transmembrane helix	cell [GO:0005623]; cytoplasmic vesicle [GO:0031410]; external side of plasma membrane [GO:0009897]; HFE-transferrin receptor complex [GO:1990712]; integral component of plasma membrane [GO:0005887]
A0A1U8CS34	unreviewed	ephrin type-B receptor 6	Ephb6	Ephb6	2 out of 5	ATP-binding;Membrane;Nucleotide-binding;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]
A0A1U7QP17	unreviewed	fibrinogen alpha chain	Fga	Fga	4 out of 5	Coiled coil;Disulfide bond;Reference proteome;Signal	cell cortex [GO:0005938]; external side of plasma membrane [GO:0009897]; fibrinogen complex [GO:0005577]; platelet alpha granule [GO:0031091]; synapse [GO:0045202]
A0A1U8CG70	unreviewed	neutrophil elastase-like	LOC106022252	LOC106022252	3 out of 5	Disulfide bond;Hydrolase;Protease;Reference proteome;Serine protease;Signal	cell surface [GO:0009986]; extracellular space [GO:0005615]; secretory granule [GO:0030141]; transcriptional repressor complex [GO:0017053]
A0A1U7QJZ2	unreviewed	Annexin	Anxa2	Anxa2	5 out of 5	Annexin;Calcium;Calcium/phospholipid-binding;Reference proteome;Repeat	AnxA2-p11 complex [GO:1990665]; basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; cytosol [GO:0005829]; early endosome [GO:0005769]; extracellular exosome [GO:0070062]; extrinsic component of plasma membrane [GO:0019897]; late endosome membrane [GO:0031902]; lipid droplet [GO:0005811]; lysosomal membrane [GO:0005765]; membrane raft [GO:0045121]; midbody [GO:0030496]; myelin sheath adaxonal region [GO:0035749]; PCSK9-AnxA2 complex [GO:1990667]; sarcolemma [GO:0042383]; Schmidt-Lanterman incisure [GO:0043220]
A0A1U7QD34	unreviewed	tenascin-R isoform X1	Tnr	Tnr	3 out of 5	Coiled coil;Reference proteome;Signal	cell surface [GO:0009986]; glutamatergic synapse [GO:0098978]; membrane raft [GO:0045121]; perineuronal net [GO:0072534]; Schaffer collateral - CA1 synapse [GO:0098685]
A0A1U7QRI8	unreviewed	tumor necrosis factor ligand superfamily member 18	Tnfsf18	Tnfsf18	2 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; integral component of membrane [GO:0016021]
A0A1U7Q914	unreviewed	secreted frizzled-related protein 1	Sfrp1	Sfrp1	5 out of 5	Developmental protein;Disulfide bond;Reference proteome;Secreted;Signal;Wnt signaling pathway	cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; cytosol [GO:0005829]; extracellular space [GO:0005615]
A0A1U7QZP9	unreviewed	Amino acid transporter	Slc1a3	Slc1a3	3 out of 5	Membrane;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport	cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]
A0A1U8CN00	unreviewed	neuroligin-3 isoform X1	Nlgn3	Nlgn3	4 out of 5	Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; excitatory synapse [GO:0060076]; integral component of plasma membrane [GO:0005887]; postsynapse [GO:0098794]
A0A1U8C5H8	unreviewed	ecto-NOX disulfide-thiol exchanger 2 isoform X1	Enox2	Enox2	1 out of 5	Coiled coil;RNA-binding;Reference proteome	external side of plasma membrane [GO:0009897]
A0A1U7QR95	unreviewed	astrotactin-1 isoform X1	Astn1	Astn1	2 out of 5	Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	endosome [GO:0005768]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
A0A3Q0CYQ5	unreviewed	furin	Furin	Furin	4 out of 5	Hydrolase;Membrane;Protease;Reference proteome;Serine protease;Signal;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; trans-Golgi network [GO:0005802]; trans-Golgi network transport vesicle [GO:0030140]
A0A1U7R2V0	unreviewed	repulsive guidance molecule A	Rgma	Rgma	2 out of 5	Reference proteome	cell surface [GO:0009986]
A0A1U7QNE5	unreviewed	lipopolysaccharide-binding protein	Lbp	Lbp	3 out of 5	Reference proteome;Signal	cell surface [GO:0009986]; extracellular space [GO:0005615]
A0A1U7QCM8	unreviewed	5-hydroxytryptamine receptor 3B	Htr3b	Htr3b	2 out of 5	Membrane;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; postsynaptic membrane [GO:0045211]; serotonin-activated cation-selective channel complex [GO:1904602]
A0A1U7QZ90	unreviewed	platelet-derived growth factor C	Pdgfc	Pdgfc	3 out of 5	Disulfide bond;Growth factor;Reference proteome;Signal	cell surface [GO:0009986]; cytosol [GO:0005829]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]
A0A1U7QQK5	unreviewed	Receptor protein serine/threonine kinase (EC 2.7.11.30)	Tgfbr1	Tgfbr1	5 out of 5	ATP-binding;Kinase;Membrane;Nucleotide-binding;Receptor;Reference proteome;Serine/threonine-protein kinase;Signal;Transferase;Transmembrane;Transmembrane helix	bicellular tight junction [GO:0005923]; cell surface [GO:0009986]; endosome [GO:0005768]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]
A0A1U8CWT7	unreviewed	volume-regulated anion channel subunit LRRC8A	Lrrc8a	Lrrc8a	1 out of 5	Reference proteome	cell [GO:0005623]; cell surface [GO:0009986]; ion channel complex [GO:0034702]; plasma membrane [GO:0005886]
A0A1U7QMX3	unreviewed	thy-1 membrane glycoprotein	Thy1	Thy1	3 out of 5	Immunoglobulin domain;Reference proteome;Signal	anchored component of external side of plasma membrane [GO:0031362]; apical plasma membrane [GO:0016324]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; membrane raft [GO:0045121]
A0A1U8BMY3	unreviewed	neuroligin-1 isoform X1	Nlgn1	Nlgn1	4 out of 5	Reference proteome	excitatory synapse [GO:0060076]; external side of plasma membrane [GO:0009897]; glutamatergic synapse [GO:0098978]; integral component of plasma membrane [GO:0005887]; presynapse [GO:0098793]; receptor complex [GO:0043235]
A0A1U7R0Z8	unreviewed	endoplasmic reticulum resident protein 44	Erp44	Erp44	2 out of 5	Reference proteome;Signal	cell [GO:0005623]; cell surface [GO:0009986]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]
A0A1U7QMQ8	unreviewed	receptor activity-modifying protein 1 isoform X2	Ramp1	Ramp1	3 out of 5	Membrane;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix	amylin receptor complex 1 [GO:0150056]; cell [GO:0005623]; cell surface [GO:0009986]; CGRP receptor complex [GO:1990406]
A0A1U7QK38	unreviewed	renin receptor isoform X1	Atp6ap2	Atp6ap2	2 out of 5	Membrane;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix	endoplasmic reticulum membrane [GO:0005789]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; lysosome [GO:0005764]; vacuolar proton-transporting V-type ATPase complex [GO:0016471]
A0A1U7QMQ1	unreviewed	sperm surface protein Sp17	Spa17	Spa17	1 out of 5	Reference proteome	cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; sperm fibrous sheath [GO:0035686]; sperm principal piece [GO:0097228]
A0A1U8BK49	unreviewed	tumor necrosis factor receptor superfamily member 6 isoform X1	Fas	Fas	5 out of 5	Membrane;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix	CD95 death-inducing signaling complex [GO:0031265]; cytosol [GO:0005829]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; nuclear body [GO:0016604]
A0A1U7QEP3	unreviewed	ATP-binding cassette sub-family G member 1 isoform X1	Abcg1	Abcg1	4 out of 5	ATP-binding;Membrane;Nucleotide-binding;Reference proteome;Transmembrane;Transmembrane helix;Transport	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; recycling endosome [GO:0055037]
A0A1U7Q8I5	unreviewed	Protein Wnt	Wnt5b	Wnt5b	2 out of 5	Developmental protein;Disulfide bond;Extracellular matrix;Reference proteome;Secreted;Wnt signaling pathway	cell surface [GO:0009986]; extracellular matrix [GO:0031012]
A0A1U7QL65	unreviewed	C-X-C chemokine receptor type 3	Cxcr3	Cxcr3	2 out of 5	G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
A0A1U7QHB5	unreviewed	complement component 1 Q subcomponent-binding protein, mitochondrial	C1qbp	C1qbp	3 out of 5	Reference proteome	cell surface [GO:0009986]; cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
A0A1U8CGM6	unreviewed	CX3C chemokine receptor 1	Cx3cr1	Cx3cr1	3 out of 5	G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; integral component of membrane [GO:0016021]
A0A1U7RBQ2	unreviewed	frizzled-4	Fzd4	Fzd4	5 out of 5	Developmental protein;Disulfide bond;Membrane;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix;Wnt signaling pathway	cell-cell junction [GO:0005911]; cell surface [GO:0009986]; dendrite [GO:0030425]; glutamatergic synapse [GO:0098978]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QDT3	unreviewed	Carbonic anhydrase (EC 4.2.1.1)	Ca4	Ca4	3 out of 5	Lyase;Metal-binding;Reference proteome;Signal;Zinc	anchored component of external side of plasma membrane [GO:0031362]; apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; extracellular exosome [GO:0070062]; perinuclear region of cytoplasm [GO:0048471]; rough endoplasmic reticulum [GO:0005791]; secretory granule membrane [GO:0030667]; trans-Golgi network [GO:0005802]; transport vesicle membrane [GO:0030658]
A0A1U7RBX1	unreviewed	lymphocyte antigen 6D	Ly6d	Ly6d	1 out of 5	Reference proteome;Signal	cell surface [GO:0009986]
A0A1U7Q857	unreviewed	Integrin beta	Itgb7	Itgb7	3 out of 5	Cell adhesion;Disulfide bond;Integrin;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; integrin alpha4-beta7 complex [GO:0034669]
A0A1U7R8W0	unreviewed	disintegrin and metalloproteinase domain-containing protein 17 isoform X1	Adam17	Adam17	5 out of 5	Disulfide bond;Integrin;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	actin cytoskeleton [GO:0015629]; apical plasma membrane [GO:0016324]; cell-cell junction [GO:0005911]; cell surface [GO:0009986]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; integral component of plasma membrane [GO:0005887]; membrane raft [GO:0045121]; ruffle membrane [GO:0032587]
A0A1U7Q9I4	unreviewed	bone morphogenetic protein 2 isoform X1	Bmp2	Bmp2	5 out of 5	Disulfide bond;Growth factor;Reference proteome;Secreted;Signal	BMP receptor complex [GO:0070724]; cell surface [GO:0009986]; extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231]
A0A1U7Q919	unreviewed	Membrane cofactor protein	LOC101837429	LOC101837429	2 out of 5	Disulfide bond;Fertilization;Membrane;Reference proteome;Signal;Sushi	cell surface [GO:0009986]; inner acrosomal membrane [GO:0002079]
A0A1U7Q5Z5	unreviewed	programmed cell death 1 ligand 1 isoform X1	Cd274	Cd274	3 out of 5	Disulfide bond;Immunoglobulin domain;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	early endosome membrane [GO:0031901]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; recycling endosome membrane [GO:0055038]
A0A1U8CFC8	unreviewed	Tissue factor pathway inhibitor	Tfpi	Tfpi	2 out of 5	Blood coagulation;Hemostasis;Protease inhibitor;Reference proteome;Serine protease inhibitor;Signal	caveola [GO:0005901]; cell surface [GO:0009986]; extracellular space [GO:0005615]
A0A3Q0CUG7	unreviewed	dendritic cell-specific transmembrane protein isoform X3	Dcstamp	Dcstamp	2 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; endosome membrane [GO:0010008]; integral component of endoplasmic reticulum membrane [GO:0030176]
