Entry	Status	Protein names	Gene names  (primary )	Gene names	Annotation	Keywords	Gene ontology (cellular component)
P86244	reviewed	cAMP-dependent protein kinase type I-alpha regulatory subunit (Fragments)	PRKAR1A	PRKAR1A	2 out of 5	Cell membrane;Disulfide bond;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Repeat;cAMP;cAMP-binding	plasma membrane [GO:0005886]
Q5KTJ7	reviewed	Ras-related protein Rab-3B	RAB3B	RAB3B	3 out of 5	Acetylation;Cell membrane;GTP-binding;Golgi apparatus;Lipoprotein;Membrane;Methylation;Nucleotide-binding;Phosphoprotein;Prenylation;Protein transport;Reference proteome;Transport	Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]
Q5KTJ6	reviewed	Ras-related protein Rab-13	RAB13	RAB13	5 out of 5	Cell junction;Cell membrane;Cell projection;Cytoplasmic vesicle;Endosome;GTP-binding;Golgi apparatus;Lipoprotein;Membrane;Methylation;Nucleotide-binding;Phosphoprotein;Prenylation;Protein transport;Reference proteome;Tight junction;Transport	bicellular tight junction [GO:0005923]; cytoplasmic vesicle [GO:0031410]; cytoplasmic vesicle membrane [GO:0030659]; endocytic vesicle [GO:0030139]; insulin-responsive compartment [GO:0032593]; lamellipodium [GO:0030027]; lateral plasma membrane [GO:0016328]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; recycling endosome membrane [GO:0055038]; trans-Golgi network [GO:0005802]
P04274	reviewed	Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor)	ADRB2	ADRB2	5 out of 5	Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Hydroxylation;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix;Ubl conjugation	apical plasma membrane [GO:0016324]; early endosome [GO:0005769]; integral component of plasma membrane [GO:0005887]; nucleus [GO:0005634]; receptor complex [GO:0043235]
Q60538	reviewed	Beta-sarcoglycan (Beta-SG) (43 kDa dystrophin-associated glycoprotein) (43DAG)	SGCB	SGCB	3 out of 5	Cell membrane;Cytoplasm;Cytoskeleton;Disulfide bond;Glycoprotein;Membrane;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; integral component of membrane [GO:0016021]; sarcoglycan complex [GO:0016012]; sarcolemma [GO:0042383]
Q60529	reviewed	GTPase HRas (H-Ras-1) (Transforming protein p21) (c-H-ras) (p21ras) [Cleaved into: GTPase HRas, N-terminally processed] (Fragment)	HRAS	HRAS HRAS1	4 out of 5	Acetylation;Cell membrane;GTP-binding;Golgi apparatus;Lipoprotein;Membrane;Nucleotide-binding;Palmitate;Proto-oncogene;Reference proteome;Ubl conjugation	Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; plasma membrane [GO:0005886]
P34740	reviewed	Syndecan-1 (SYND1) (CD antigen CD138)	SDC1	SDC1	4 out of 5	Glycoprotein;Heparan sulfate;Membrane;Phosphoprotein;Proteoglycan;Reference proteome;Secreted;Signal;Transmembrane;Transmembrane helix	external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]
O08597	reviewed	Gamma-sarcoglycan (Gamma-SG) (35 kDa dystrophin-associated glycoprotein) (35DAG)	SGCG	SGCG	3 out of 5	Cell membrane;Cytoplasm;Cytoskeleton;Disulfide bond;Glycoprotein;Membrane;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; integral component of membrane [GO:0016021]; sarcoglycan complex [GO:0016012]; sarcolemma [GO:0042383]
P04273	reviewed	Major prion protein (PrP) (PrP27-30) (PrP33-35C) (CD antigen CD230)	PRNP	PRNP PRP	5 out of 5	3D-structure;Amyloid;Cell cycle;Cell membrane;Copper;Disulfide bond;GPI-anchor;Glycoprotein;Golgi apparatus;Growth arrest;Lipoprotein;Membrane;Metal-binding;Prion;Reference proteome;Repeat;Signal;Zinc	anchored component of membrane [GO:0031225]; cell surface [GO:0009986]; cytosol [GO:0005829]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; inclusion body [GO:0016234]; membrane raft [GO:0045121]; nuclear membrane [GO:0031965]; plasma membrane [GO:0005886]; terminal bouton [GO:0043195]
Q7TQ35	reviewed	Parkinson disease protein 7 homolog (Contraception-associated protein 1) (Maillard deglycase) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1) (Protein/nucleic acid deglycase DJ-1) (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124) [Cleaved into: Parkinson disease protein 7 homolog, N-terminally processed]	PARK7	PARK7 CAP1	5 out of 5	Acetylation;Autophagy;Cell membrane;Chaperone;Copper;Cytoplasm;Direct protein sequencing;Endoplasmic reticulum;Fertilization;Hydrolase;Inflammatory response;Isopeptide bond;Lipoprotein;Membrane;Mitochondrion;Nucleus;Oxidation;Palmitate;Phosphoprotein;Protease;RNA-binding;Reference proteome;Stress response;Tumor suppressor;Ubl conjugation;Zymogen	cell [GO:0005623]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P38660	reviewed	Protein disulfide-isomerase A6 (EC 5.3.4.1) (Protein disulfide isomerase P5)	PDIA6	PDIA6	4 out of 5	Cell membrane;Chaperone;Direct protein sequencing;Disulfide bond;Endoplasmic reticulum;Isomerase;Membrane;Phosphoprotein;Redox-active center;Reference proteome;Repeat;Signal	cell [GO:0005623]; endoplasmic reticulum lumen [GO:0005788]; melanosome [GO:0042470]; plasma membrane [GO:0005886]
Q64198	reviewed	Inward rectifier potassium channel 4 (Inward rectifier K(+) channel Kir2.3) (IRK-3) (Potassium channel, inwardly rectifying subfamily J member 4)	KCNJ4	KCNJ4 IRK3	3 out of 5	Cell junction;Cell membrane;Cytoplasmic vesicle;Ion channel;Ion transport;Membrane;Postsynaptic cell membrane;Potassium;Potassium transport;Reference proteome;Synapse;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel	cytoplasmic vesicle membrane [GO:0030659]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]
P86232	reviewed	Ezrin (Cytovillin) (Villin-2) (p81) (Fragments)	EZR	EZR VIL2	4 out of 5	Acetylation;Cell membrane;Cell projection;Cell shape;Cytoplasm;Cytoskeleton;Membrane;Phosphoprotein;Reference proteome;S-nitrosylation	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cell cortex [GO:0005938]; cytoskeleton [GO:0005856]; invadopodium [GO:0071437]; microvillus [GO:0005902]; microvillus membrane [GO:0031528]; ruffle membrane [GO:0032587]
Q60553	reviewed	Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (p185erbB2) (CD antigen CD340)	ERBB2	ERBB2 NEU	5 out of 5	ATP-binding;Activator;Cell membrane;Cytoplasm;Disulfide bond;Endosome;Glycoprotein;Kinase;Membrane;Nucleotide-binding;Nucleus;Phosphoprotein;Polymorphism;Proto-oncogene;Receptor;Reference proteome;Signal;Transcription;Transcription regulation;Transferase;Transmembrane;Transmembrane helix;Tyrosine-protein kinase	early endosome [GO:0005769]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
Q711N9	reviewed	Actin, cytoplasmic 1 (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]	ACTB	ACTB	5 out of 5	ATP-binding;Acetylation;Cytoplasm;Cytoskeleton;Methylation;Nucleotide-binding;Nucleus;Oxidation;Reference proteome;Ubl conjugation	actin cytoskeleton [GO:0015629]; adherens junction [GO:0005912]; apical junction complex [GO:0043296]; calyx of Held [GO:0044305]; cortical cytoskeleton [GO:0030863]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; dense body [GO:0097433]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; lamellipodium [GO:0030027]; NuA4 histone acetyltransferase complex [GO:0035267]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic actin cytoskeleton [GO:0098871]; protein-containing complex [GO:0032991]; ribonucleoprotein complex [GO:1990904]; Schaffer collateral - CA1 synapse [GO:0098685]; tight junction [GO:0070160]
Q9WUB9	reviewed	Macrophage receptor MARCO (Macrophage receptor with collagenous structure)	MARCO	MARCO	3 out of 5	Cell membrane;Collagen;Disulfide bond;Glycoprotein;Immunity;Innate immunity;Membrane;Receptor;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix	collagen trimer [GO:0005581]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P86210	reviewed	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 1) (Non-neural enolase) (NNE) (Fragments)	ENO1	ENO1	4 out of 5	Acetylation;Cell membrane;Cytoplasm;Glycolysis;Lyase;Magnesium;Membrane;Metal-binding;Phosphoprotein;Plasminogen activation;Reference proteome;Repressor;Transcription;Transcription regulation;Ubl conjugation	phosphopyruvate hydratase complex [GO:0000015]; plasma membrane [GO:0005886]
P70115	reviewed	Adrenocorticotropic hormone receptor (ACTH receptor) (ACTH-R) (Adrenocorticotropin receptor) (Melanocortin receptor 2) (MC2-R)	MC2R	MC2R	3 out of 5	Cell membrane;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P30442	reviewed	Beta-2-microglobulin (Fragment)	B2M	B2M	2 out of 5	Immunity;Immunoglobulin domain;MHC I;Reference proteome;Secreted	extracellular region [GO:0005576]; MHC class I protein complex [GO:0042612]
Q60559	reviewed	Protein AMBP [Cleaved into: Alpha-1-microglobulin; Inter-alpha-trypsin inhibitor light chain (ITI-LC) (Bikunin) (HI-30); Trypstatin]	AMBP	AMBP ITIL	4 out of 5	Chromophore;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Glycoprotein;Protease inhibitor;Reference proteome;Repeat;Secreted;Serine protease inhibitor;Signal	extracellular region [GO:0005576]; plasma membrane [GO:0005886]
P63093	reviewed	Guanine nucleotide-binding protein G(s) subunit alpha (Adenylate cyclase-stimulating G alpha protein)	GNAS	GNAS	4 out of 5	Cell membrane;GTP-binding;Lipoprotein;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Palmitate;Reference proteome;Transducer	plasma membrane [GO:0005886]
Q6R6L8	reviewed	Follicle-stimulating hormone receptor (FSH-R) (Follitropin receptor)	FSHR	FSHR	4 out of 5	Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Leucine-rich repeat;Membrane;Receptor;Reference proteome;Repeat;Signal;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]
Q9QZJ5	reviewed	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1	ESR1 ESR NR3A1	5 out of 5	Activator;Cell membrane;Cytoplasm;DNA-binding;Glycoprotein;Golgi apparatus;Lipid-binding;Lipoprotein;Membrane;Metal-binding;Methylation;Nucleus;Palmitate;Phosphoprotein;Receptor;Reference proteome;Steroid-binding;Transcription;Transcription regulation;Ubl conjugation;Zinc;Zinc-finger	cell [GO:0005623]; Golgi apparatus [GO:0005794]; host cell nucleus [GO:0042025]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q50JE5	reviewed	Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form]	Ace	Ace Dcp1	5 out of 5	Alternative splicing;Carboxypeptidase;Cell membrane;Cytoplasm;Disulfide bond;Glycoprotein;Hydrolase;Membrane;Metal-binding;Metalloprotease;Phosphoprotein;Protease;Reference proteome;Repeat;Secreted;Signal;Transmembrane;Transmembrane helix;Zinc	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q76JU8	reviewed	Free fatty acid receptor 1 (G-protein coupled receptor 40)	FFAR1	FFAR1 GPR40	4 out of 5	Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipid-binding;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	cell [GO:0005623]; integral component of plasma membrane [GO:0005887]
Q64682	reviewed	Beta-adrenergic receptor kinase 1 (Beta-ARK-1) (EC 2.7.11.15) (G-protein-coupled receptor kinase 2)	GRK2	GRK2 ADRBK1	4 out of 5	ATP-binding;Cell membrane;Cytoplasm;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Serine/threonine-protein kinase;Transferase	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P02541	reviewed	Desmin	DES	DES	4 out of 5	ADP-ribosylation;Cell membrane;Coiled coil;Cytoplasm;Intermediate filament;Membrane;Methylation;Muscle protein;Nucleus;Phosphoprotein;Reference proteome	cardiac myofibril [GO:0097512]; cytoplasm [GO:0005737]; fascia adherens [GO:0005916]; intercalated disc [GO:0014704]; intermediate filament [GO:0005882]; neuromuscular junction [GO:0031594]; nucleus [GO:0005634]; sarcolemma [GO:0042383]; Z disc [GO:0030018]
Q6PYT3	reviewed	Gap junction gamma-1 protein (Connexin-45) (Cx45) (Gap junction alpha-7 protein)	GJC1	GJC1 GJA7	3 out of 5	Cell junction;Cell membrane;Coiled coil;Gap junction;Membrane;Reference proteome;Transmembrane;Transmembrane helix	connexin complex [GO:0005922]; integral component of membrane [GO:0016021]; synapse [GO:0045202]
Q64398	reviewed	Diacylglycerol kinase eta (DAG kinase eta) (EC 2.7.1.107) (130 kDa diacylglycerol kinase) (Diglyceride kinase eta) (DGK-eta)	DGKH	DGKH	4 out of 5	ATP-binding;Cell membrane;Cytoplasm;Kinase;Membrane;Metal-binding;Nucleotide-binding;Phosphoprotein;Reference proteome;Repeat;Transferase;Zinc;Zinc-finger	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
Q60534	reviewed	Androgen-dependent TFPI-regulating protein (Androgen-dependent-expressed protein FAR-17a) (Fatty acid esters of hydroxy fatty acids hydrolase ADTRP) (FAHFA hydrolase ADTRP) (EC 3.1.-.-)	ADTRP	ADTRP	5 out of 5	Cell membrane;Hydrolase;Lipid metabolism;Membrane;Reference proteome;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P05811	reviewed	Alpha-crystallin B chain (Alpha(B)-crystallin)	CRYAB	CRYAB	5 out of 5	Acetylation;Chaperone;Cytoplasm;Eye lens protein;Glycoprotein;Metal-binding;Methylation;Nucleus;Phosphoprotein;Reference proteome;Zinc	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; Z disc [GO:0030018]
Q60522	reviewed	CD44 antigen (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HAM1 antigen) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)	CD44	CD44	5 out of 5	Alternative splicing;Cell adhesion;Cell membrane;Cell projection;Disulfide bond;Glycoprotein;Membrane;Phosphoprotein;Proteoglycan;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix	apical plasma membrane [GO:0016324]; cell projection [GO:0042995]; integral component of membrane [GO:0016021]; lamellipodium membrane [GO:0031258]; microvillus [GO:0005902]; plasma membrane [GO:0005886]
P70110	reviewed	Platelet glycoprotein 4 (Glycoprotein IIIb) (GPIIIB) (PAS IV) (PAS-4) (Platelet glycoprotein IV) (GPIV) (CD antigen CD36)	CD36	CD36	5 out of 5	Cell adhesion;Cell membrane;Disulfide bond;Glycoprotein;Golgi apparatus;Isopeptide bond;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transmembrane;Transmembrane helix;Transport;Ubl conjugation	apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; cell [GO:0005623]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; membrane raft [GO:0045121]
P97281	reviewed	Delta-sarcoglycan (Delta-SG) (35 kDa dystrophin-associated glycoprotein) (35DAG)	SGCD	SGCD	4 out of 5	Cardiomyopathy;Cell membrane;Cytoplasm;Cytoskeleton;Disulfide bond;Glycoprotein;Membrane;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; integral component of membrane [GO:0016021]; sarcoglycan complex [GO:0016012]; sarcolemma [GO:0042383]
P51144	reviewed	Substance-K receptor (SKR) (NK-2 receptor) (NK-2R) (Neurokinin A receptor) (Tachykinin receptor 2)	TACR2	TACR2 TAC2R	4 out of 5	Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; sperm head [GO:0061827]; sperm midpiece [GO:0097225]
P23491	reviewed	Zona pellucida sperm-binding protein 3 (Sperm receptor) (Zona pellucida glycoprotein 3) (Zp-3) (Zona pellucida protein C) [Cleaved into: Processed zona pellucida sperm-binding protein 3]	ZP3	ZP3 ZPC	5 out of 5	Cell membrane;Cleavage on pair of basic residues;Disulfide bond;Extracellular matrix;Fertilization;Glycoprotein;Membrane;Pyrrolidone carboxylic acid;Receptor;Reference proteome;Secreted;Signal;Transmembrane;Transmembrane helix	collagen-containing extracellular matrix [GO:0062023]; egg coat [GO:0035805]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
O35587	reviewed	Transmembrane protein Tmp21 (21 kDa transmembrane-trafficking protein) (Integral membrane protein p23) (p24 family protein delta-1) (p24delta1)	TMED10	TMED10 TMP21	5 out of 5	Cell membrane;Cytoplasmic vesicle;ER-Golgi transport;Endoplasmic reticulum;Glycoprotein;Golgi apparatus;Membrane;Methylation;Protein transport;Reference proteome;Signal;Transmembrane;Transmembrane helix;Transport	cell [GO:0005623]; COPI-coated vesicle [GO:0030137]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; endoplasmic reticulum membrane [GO:0005789]; gamma-secretase complex [GO:0070765]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; melanosome [GO:0042470]; plasma membrane [GO:0005886]; trans-Golgi network transport vesicle [GO:0030140]; transport vesicle membrane [GO:0030658]; zymogen granule membrane [GO:0042589]
A0A1U8C1A3	unreviewed	STAM-binding protein	Stambp	Stambp	2 out of 5	Coiled coil;Reference proteome	cleavage furrow [GO:0032154]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]
A0A1U7QHW0	unreviewed	synapse differentiation-inducing gene protein 1	Syndig1	Syndig1	2 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	early endosome membrane [GO:0031901]; integral component of plasma membrane [GO:0005887]; intracellular membrane-bounded organelle [GO:0043231]; postsynaptic density [GO:0014069]
A0A1U8CV36	unreviewed	potassium voltage-gated channel subfamily C member 3 isoform X4	Kcnc3	Kcnc3	2 out of 5	Coiled coil;Ion channel;Ion transport;Membrane;Potassium;Potassium channel;Potassium transport;Reference proteome;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel	voltage-gated potassium channel complex [GO:0008076]
A0A1U7QE51	unreviewed	gamma-aminobutyric acid receptor subunit beta-2	Gabrb2	Gabrb2	2 out of 5	Cell membrane;Disulfide bond;Ion channel;Ion transport;Membrane;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix;Transport	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QRW3	unreviewed	multidrug resistance-associated protein 5 isoform X1	Abcc5	Abcc5	2 out of 5	ATP-binding;Membrane;Nucleotide-binding;Reference proteome;Transmembrane;Transmembrane helix	basolateral plasma membrane [GO:0016323]; integral component of membrane [GO:0016021]
A0A1U7QWA8	unreviewed	Anoctamin	Ano10	Ano10	2 out of 5	Coiled coil;Membrane;Reference proteome;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886]
A0A3Q0DCS2	unreviewed	C-C chemokine receptor type 6 isoform X2	Ccr6	Ccr6	3 out of 5	G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; sperm midpiece [GO:0097225]; sperm plasma membrane [GO:0097524]; sperm principal piece [GO:0097228]
A0A1U8BNI4	unreviewed	inward rectifier potassium channel 16	Kcnj16	Kcnj16	2 out of 5	Ion channel;Ion transport;Membrane;Potassium;Potassium transport;Reference proteome;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U8BU98	unreviewed	gamma-adducin isoform X1	Add3	Add3	2 out of 5	Reference proteome	brush border [GO:0005903]; cell-cell junction [GO:0005911]; cell cortex [GO:0005938]; condensed nuclear chromosome [GO:0000794]; cytoskeleton [GO:0005856]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]
A0A1U7QLF1	unreviewed	intercellular adhesion molecule 2	Icam2	Icam2	2 out of 5	Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	cleavage furrow [GO:0032154]; integral component of plasma membrane [GO:0005887]; microvillus [GO:0005902]; uropod [GO:0001931]
A0A1U7QG67	unreviewed	leucine-rich repeat transmembrane neuronal protein 1	Lrrtm1	Lrrtm1	2 out of 5	Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	endoplasmic reticulum [GO:0005783]; GABA-ergic synapse [GO:0098982]; growth cone [GO:0030426]; integral component of postsynaptic specialization membrane [GO:0099060]
A0A1U8BLV2	unreviewed	C-X-C chemokine receptor type 5	Cxcr5	Cxcr5	2 out of 5	G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
A0A1U7Q749	unreviewed	discoidin domain-containing receptor 2 isoform X1	Ddr2	Ddr2	3 out of 5	Membrane;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix	actin cytoskeleton [GO:0015629]; integral component of plasma membrane [GO:0005887]
A0A1U8CM00	unreviewed	platelet glycoprotein 4	Cd36	Cd36	5 out of 5	Disulfide bond;Isopeptide bond;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Ubl conjugation	apical part of cell [GO:0045177]; brush border membrane [GO:0031526]; cell [GO:0005623]; external side of plasma membrane [GO:0009897]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; receptor complex [GO:0043235]
