Entry	Status	Protein names	Gene names  (primary )	Gene names	Annotation	Keywords	Gene ontology (cellular component)
Q9MYX0	reviewed	Sodium-dependent serotonin transporter (SERT) (5HT transporter) (5HTT) (Solute carrier family 6 member 4)	SLC6A4	SLC6A4	5 out of 5	Cell junction;Cell membrane;Disulfide bond;Endosome;Glycoprotein;Membrane;Metal-binding;Neurotransmitter transport;Phosphoprotein;Reference proteome;Sodium;Symport;Synapse;Transmembrane;Transmembrane helix;Transport	endomembrane system [GO:0012505]; endosome membrane [GO:0010008]; focal adhesion [GO:0005925]; integral component of plasma membrane [GO:0005887]; membrane raft [GO:0045121]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; synapse [GO:0045202]
P63307	reviewed	Tumor necrosis factor ligand superfamily member 6 (CD95 ligand) (CD95-L) (Fas antigen ligand) (Fas ligand) (FasL) (CD antigen CD178) [Cleaved into: Tumor necrosis factor ligand superfamily member 6, membrane form; Tumor necrosis factor ligand superfamily member 6, soluble form (Receptor-binding FasL ectodomain) (Soluble Fas ligand) (sFasL); ADAM10-processed FasL form (APL); FasL intracellular domain (FasL ICD) (SPPL2A-processed FasL form) (SPA)]	FASLG	FASLG CD95L FASL TNFSF6	5 out of 5	Apoptosis;Cell membrane;Cytokine;Cytoplasmic vesicle;Disulfide bond;Glycoprotein;Lysosome;Membrane;Nucleus;Reference proteome;Repressor;Secreted;Signal-anchor;Transcription;Transcription regulation;Transmembrane;Transmembrane helix;Ubl conjugation	cell [GO:0005623]; cytoplasmic vesicle lumen [GO:0060205]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; lysosomal lumen [GO:0043202]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q8WNQ6	reviewed	Ammonium transporter Rh type B (Rhesus blood group family type B glycoprotein) (Rh family type B glycoprotein) (Rh type B glycoprotein)	RHBG	RHBG	3 out of 5	Ammonia transport;Cell membrane;Cytoplasmic vesicle;Glycoprotein;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	anchored component of plasma membrane [GO:0046658]; basolateral plasma membrane [GO:0016323]; cytoplasmic vesicle membrane [GO:0030659]; integral component of plasma membrane [GO:0005887]; spectrin-associated cytoskeleton [GO:0014731]
Q8WMG7	reviewed	Neuroligin-4, X-linked (Fragment)	NLGN4X	NLGN4X NLGN4	3 out of 5	Cell adhesion;Cell junction;Cell membrane;Membrane;Phosphoprotein;Postsynaptic cell membrane;Reference proteome;Synapse;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]; postsynaptic density membrane [GO:0098839]
Q8WMH2	reviewed	Neuroligin-3 (Gliotactin homolog) (Fragment)	NLGN3	NLGN3	3 out of 5	Cell adhesion;Cell junction;Cell membrane;Disulfide bond;Glycoprotein;Membrane;Reference proteome;Synapse	cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; presynapse [GO:0098793]; synapse [GO:0045202]
P56494	reviewed	Oxytocin receptor (OT-R)	OXTR	OXTR	4 out of 5	Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]
P67997	reviewed	Major prion protein (PrP) (PrP27-30) (PrP33-35C) (CD antigen CD230)	PRNP	PRNP PRP	5 out of 5	Amyloid;Cell membrane;Copper;Disulfide bond;GPI-anchor;Glycoprotein;Golgi apparatus;Lipoprotein;Membrane;Metal-binding;Prion;Reference proteome;Repeat;Signal;Zinc	anchored component of membrane [GO:0031225]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]
Q28849	reviewed	RH-like protein (Rhesus-like protein)			3 out of 5	Membrane;Polymorphism;Reference proteome;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]
O97666	reviewed	Apelin receptor (Angiotensin receptor-like 1) (G-protein coupled receptor APJ)	APLNR	APLNR AGTRL1 APJ	4 out of 5	Cell membrane;Developmental protein;G-protein coupled receptor;Gastrulation;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	cell [GO:0005623]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A1E2I4	reviewed	Interferon-induced GTP-binding protein Mx1 (Myxoma resistance protein 1) (Myxovirus resistance protein 1)	MX1	MX1	5 out of 5	Acetylation;Antiviral defense;Cytoplasm;Endoplasmic reticulum;GTP-binding;Immunity;Innate immunity;Membrane;Nucleotide-binding;Reference proteome;Ubl conjugation	axon [GO:0030424]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; dendritic spine [GO:0043197]; dendritic spine head [GO:0044327]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]; mitochondrial membrane [GO:0031966]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic endocytic zone membrane [GO:0098844]; postsynaptic membrane [GO:0045211]; presynapse [GO:0098793]; synapse [GO:0045202]
Q5G267	reviewed	Neurotrypsin (EC 3.4.21.-) (Serine protease 12)	PRSS12	PRSS12	4 out of 5	Disulfide bond;Glycoprotein;Hydrolase;Kringle;Protease;Reference proteome;Repeat;Secreted;Serine protease;Signal	axon [GO:0030424]; dendrite [GO:0030425]; plasma membrane [GO:0005886]; synaptic cleft [GO:0043083]; terminal bouton [GO:0043195]
F6QS54	reviewed	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54) (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD) (Fe-ARD) (Membrane-type 1 matrix metalloproteinase cytoplasmic tail-binding protein 1) (MTCBP-1)	ADI1	ADI1 MTCBP1	3 out of 5	Amino-acid biosynthesis;Cell membrane;Cytoplasm;Dioxygenase;Iron;Membrane;Metal-binding;Methionine biosynthesis;Nucleus;Oxidoreductase;Reference proteome	cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
B3Y618	reviewed	Toll-like receptor 2 (EC 3.2.2.6) (CD antigen CD282)	TLR2	TLR2	5 out of 5	Cytoplasmic vesicle;Disulfide bond;Glycoprotein;Hydrolase;Immunity;Inflammatory response;Innate immunity;Isopeptide bond;Leucine-rich repeat;Membrane;NAD;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix;Ubl conjugation	Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; intrinsic component of plasma membrane [GO:0031226]; membrane raft [GO:0045121]; phagocytic vesicle membrane [GO:0030670]
Q6H2Y3	reviewed	Bombesin receptor subtype-3 (BRS-3)	BRS3	BRS3	3 out of 5	Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]
Q20CR3	reviewed	Ammonium transporter Rh type C (Rhesus blood group family type C glycoprotein) (Rh family type C glycoprotein) (Rh type C glycoprotein)	RHCG	RHCG	4 out of 5	Ammonia transport;Cell membrane;Glycoprotein;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cell [GO:0005623]; cytoplasmic vesicle [GO:0031410]; integral component of plasma membrane [GO:0005887]
Q8MJ02	reviewed	Natural cytotoxicity triggering receptor 3 (Natural killer cell p30-related protein) (NK-p30) (NKp30) (CD antigen CD337)	NCR3	NCR3	4 out of 5	Alternative splicing;Cell membrane;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Membrane;Polymorphism;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A1E2I5	reviewed	Interferon-induced GTP-binding protein Mx2 (Myxovirus resistance protein 2)	MX2	MX2	5 out of 5	Antiviral defense;Cytoplasm;GTP-binding;Immunity;Innate immunity;Nucleotide-binding;Nucleus;Reference proteome	axon [GO:0030424]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; dendritic spine [GO:0043197]; dendritic spine head [GO:0044327]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]; mitochondrial membrane [GO:0031966]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic endocytic zone membrane [GO:0098844]; postsynaptic membrane [GO:0045211]; presynapse [GO:0098793]; synapse [GO:0045202]
B3Y683	reviewed	Myeloid differentiation primary response protein MyD88	MYD88	MYD88	3 out of 5	Cytoplasm;Immunity;Inflammatory response;Innate immunity;Nucleus;Phosphoprotein;Reference proteome;Ubl conjugation	cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P60877	reviewed	Synaptosomal-associated protein 25 (SNAP-25) (Synaptosomal-associated 25 kDa protein)	SNAP25	SNAP25	4 out of 5	Cell junction;Cell membrane;Coiled coil;Cytoplasm;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Reference proteome;Repeat;Synapse;Synaptosome	cytoplasm [GO:0005737]; membrane [GO:0016020]; neuron projection [GO:0043005]; perinuclear region of cytoplasm [GO:0048471]; photoreceptor inner segment [GO:0001917]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; SNARE complex [GO:0031201]; synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex [GO:0070032]
P35366	reviewed	Platelet-activating factor receptor (PAF-R) (PAFr) (Fragment)	PTAFR	PTAFR	3 out of 5	Cell membrane;Chemotaxis;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P0DP61	reviewed	Secreted Ly-6/uPAR domain-containing protein 2	SLURP2	SLURP2	3 out of 5	Disulfide bond;Reference proteome;Secreted;Signal	anchored component of membrane [GO:0031225]; extracellular space [GO:0005615]; membrane [GO:0016020]; plasma membrane [GO:0005886]; synapse [GO:0045202]
Q8SPZ1	reviewed	Gonadotropin-releasing hormone receptor (GnRH receptor) (GnRH-R) (Fragment)	GNRHR	GNRHR	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q8MJ89	reviewed	Melanin-concentrating hormone receptor 1 (MCH receptor 1) (MCH-R1) (MCHR-1) (G-protein coupled receptor 24) (MCH-1R) (MCH1R) (MCHR) (Fragment)	MCHR1	MCHR1 GPR24	3 out of 5	Cell membrane;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]; neuron projection [GO:0043005]
Q9MZJ7	reviewed	NKG2-D type II integral membrane protein (Killer cell lectin-like receptor subfamily K member 1) (NK cell receptor D) (NKG2-D-activating NK receptor) (CD antigen CD314)	KLRK1	KLRK1 NKG2D	4 out of 5	Adaptive immunity;Cell membrane;Differentiation;Disulfide bond;Glycoprotein;Immunity;Innate immunity;Lectin;Membrane;Receptor;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
Q56H79	reviewed	Neuropeptide S receptor (G-protein coupled receptor 154)	NPSR1	NPSR1 GPR154	3 out of 5	Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Neuropeptide;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	cell [GO:0005623]; integral component of plasma membrane [GO:0005887]
A8T666	reviewed	Proprotein convertase subtilisin/kexin type 9 (EC 3.4.21.-) (Proprotein convertase 9) (PC9) (Subtilisin/kexin-like protease PC9)	PCSK9	PCSK9	5 out of 5	Apoptosis;Autocatalytic cleavage;Calcium;Cholesterol metabolism;Cytoplasm;Disulfide bond;Endoplasmic reticulum;Endosome;Glycoprotein;Golgi apparatus;Hydrolase;Lipid metabolism;Lysosome;Phosphoprotein;Protease;Reference proteome;Secreted;Serine protease;Signal;Steroid metabolism;Sterol metabolism;Sulfation;Zymogen	cell surface [GO:0009986]; COPII-coated ER to Golgi transport vesicle [GO:0030134]; cytoplasm [GO:0005737]; early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; late endosome [GO:0005770]; lysosome [GO:0005764]; PCSK9-AnxA2 complex [GO:1990667]; PCSK9-LDLR complex [GO:1990666]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
P59822	reviewed	Interleukin-1 receptor accessory protein (IL-1 receptor accessory protein) (IL-1RAcP) (EC 3.2.2.6)	IL1RAP	IL1RAP	5 out of 5	Alternative splicing;Cell membrane;Disulfide bond;Glycoprotein;Hydrolase;Immunoglobulin domain;Inflammatory response;Membrane;NAD;Phosphoprotein;Receptor;Reference proteome;Repeat;Secreted;Signal;Transmembrane;Transmembrane helix	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P0DP62	reviewed	Ly-6/neurotoxin-like protein 1	LYNX1	LYNX1	4 out of 5	Cell membrane;Cell projection;Disulfide bond;Endoplasmic reticulum;GPI-anchor;Glycoprotein;Lipoprotein;Membrane;Reference proteome;Signal	anchored component of membrane [GO:0031225]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; plasma membrane [GO:0005886]
Q9GK74	reviewed	Neuropeptide Y receptor type 2 (NPY2-R) (NPY-Y2 receptor) (Y2 receptor)	NPY2R	NPY2R	3 out of 5	Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A4K2T1	reviewed	Potassium voltage-gated channel subfamily S member 1 (Delayed-rectifier K(+) channel alpha subunit 1)	KCNS1	KCNS1	3 out of 5	Cell membrane;Ion channel;Ion transport;Membrane;Potassium;Potassium channel;Potassium transport;Reference proteome;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel	integral component of membrane [GO:0016021]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; voltage-gated potassium channel complex [GO:0008076]
Q5NKV6	reviewed	Intercellular adhesion molecule 1 (ICAM-1) (CD antigen CD54)	ICAM1	ICAM1	5 out of 5	Cell adhesion;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Phosphoprotein;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix;Ubl conjugation	cell [GO:0005623]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; immunological synapse [GO:0001772]; integral component of plasma membrane [GO:0005887]; membrane raft [GO:0045121]
Q95JG1	reviewed	Gonadotropin-releasing hormone II receptor (GnRH II receptor) (GnRH-II-R) (Type II GnRH receptor)	GNRHR2	GNRHR2	3 out of 5	Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]
Q8MJ88	reviewed	Melanin-concentrating hormone receptor 2 (MCH receptor 2) (MCH-R2) (MCHR-2) (G-protein coupled receptor 145) (MCH-2R) (MCH2) (MCH2R)	MCHR2	MCHR2 GPR145	3 out of 5	Cell membrane;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]
Q864J4	reviewed	Melanocyte-stimulating hormone receptor (MSH-R) (Melanocortin receptor 1) (MC1-R)	MC1R	MC1R	3 out of 5	Cell membrane;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q4QXU5	reviewed	Mas-related G-protein coupled receptor member X2	MRGPRX2	MRGPRX2 MRGX2	3 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; mast cell granule [GO:0042629]; plasma membrane [GO:0005886]
Q2Q426	reviewed	Adhesion G protein-coupled receptor E2 (EGF-like module receptor 2) (EGF-like module-containing mucin-like hormone receptor-like 2) (CD antigen CD312)	ADGRE2	ADGRE2 EMR2	5 out of 5	Autocatalytic cleavage;Calcium;Cell adhesion;Cell membrane;Cell projection;Disulfide bond;EGF-like domain;G-protein coupled receptor;Glycoprotein;Inflammatory response;Membrane;Receptor;Reference proteome;Repeat;Signal;Transducer;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]; leading edge membrane [GO:0031256]; ruffle membrane [GO:0032587]
Q8MJJ2	reviewed	Lysosome-associated membrane glycoprotein 3 (LAMP-3) (Lysosomal-associated membrane protein 3) (DC-lysosome-associated membrane glycoprotein) (DC LAMP) (CD antigen CD208)	LAMP3	LAMP3	3 out of 5	Adaptive immunity;Cytoplasmic vesicle;Disulfide bond;Glycoprotein;Immunity;Lysosome;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	cytoplasmic vesicle membrane [GO:0030659]; integral component of membrane [GO:0016021]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; plasma membrane [GO:0005886]
Q5TM63	reviewed	Alpha-tubulin N-acetyltransferase 1 (Alpha-TAT) (Alpha-TAT1) (TAT) (EC 2.3.1.108) (Acetyltransferase mec-17 homolog)	ATAT1	ATAT1 MEC17	4 out of 5	Acetylation;Acyltransferase;Cell junction;Cell projection;Coated pit;Cytoplasm;Cytoskeleton;Membrane;Methylation;Phosphoprotein;Reference proteome;Transferase	axon [GO:0030424]; clathrin-coated pit [GO:0005905]; cytoplasm [GO:0005737]; focal adhesion [GO:0005925]; microtubule [GO:0005874]; spindle [GO:0005819]
O97663	reviewed	G-protein coupled receptor 15	GPR15	GPR15	3 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Polymorphism;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	endosome [GO:0005768]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
O97664	reviewed	G-protein coupled receptor 1	GPR1	GPR1	3 out of 5	Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]
F7EQ49	reviewed	G-protein coupled estrogen receptor 1 (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30)	GPER1	GPER1 GPER GPR30	5 out of 5	Acetylation;Apoptosis;Cell cycle;Cell junction;Cell membrane;Cell projection;Cytoplasm;Cytoplasmic vesicle;Cytoskeleton;Differentiation;Disulfide bond;Endoplasmic reticulum;Endosome;G-protein coupled receptor;Glycoprotein;Golgi apparatus;Immunity;Inflammatory response;Innate immunity;Membrane;Mitochondrion;Neurogenesis;Nucleus;Postsynaptic cell membrane;Receptor;Reference proteome;Synapse;Transducer;Transmembrane;Transmembrane helix;Ubl conjugation	axon [GO:0030424]; axon terminus [GO:0043679]; basolateral plasma membrane [GO:0016323]; cell [GO:0005623]; cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; dendrite [GO:0030425]; dendritic shaft [GO:0043198]; dendritic spine head [GO:0044327]; dendritic spine membrane [GO:0032591]; early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; integral component of postsynaptic membrane [GO:0099055]; integral component of presynaptic membrane [GO:0099056]; keratin filament [GO:0045095]; mitochondrial membrane [GO:0031966]; nuclear envelope [GO:0005635]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; presynaptic active zone [GO:0048786]; presynaptic membrane [GO:0042734]; recycling endosome [GO:0055037]; trans-Golgi network [GO:0005802]
P33617	reviewed	Mamu class I histocompatibility antigen, alpha chain F (Leukocyte antigen F) (MHC class I antigen F)	Mamu-F	Mamu-F HLAF	4 out of 5	Disulfide bond;Glycoprotein;Immunity;MHC I;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; MHC class I protein complex [GO:0042612]
O18867	reviewed	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (MaxiK) (Slo-alpha) (Slo1) (Slowpoke homolog) (Slo homolog) (Fragment)	KCNMA1	KCNMA1 KCNMA	5 out of 5	Alternative splicing;Calcium;Cell membrane;Ion channel;Ion transport;Lipoprotein;Magnesium;Membrane;Metal-binding;Palmitate;Phosphoprotein;Potassium;Potassium channel;Potassium transport;Reference proteome;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel	integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]
Q95198	reviewed	L-selectin (CD62 antigen-like family member L) (Leukocyte adhesion molecule 1) (LAM-1) (Leukocyte-endothelial cell adhesion molecule 1) (LECAM1) (Lymph node homing receptor) (CD antigen CD62L)	SELL	SELL	4 out of 5	Calcium;Cell adhesion;Cell membrane;Disulfide bond;EGF-like domain;Glycoprotein;Lectin;Membrane;Metal-binding;Reference proteome;Repeat;Signal;Sushi;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]
Q2YEG0	reviewed	C-X-C chemokine receptor type 1 (CXC-R1) (CXCR-1) (High affinity interleukin-8 receptor A) (IL-8R A) (IL-8 receptor type 1) (CD antigen CD181)	CXCR1	CXCR1 IL8RA	4 out of 5	Cell membrane;Chemotaxis;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	cell [GO:0005623]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
