Entry	Status	Protein names	Gene names  (primary )	Gene names	Annotation	Keywords	Gene ontology (cellular component)
P79194	reviewed	Growth hormone receptor (GH receptor) (Somatotropin receptor) [Cleaved into: Growth hormone-binding protein (GH-binding protein) (GHBP) (Serum-binding protein)]	GHR	GHR	5 out of 5	Cell membrane;Disulfide bond;Endocytosis;Glycoprotein;Membrane;Phosphoprotein;Receptor;Reference proteome;Secreted;Signal;Transmembrane;Transmembrane helix;Ubl conjugation	cytosol [GO:0005829]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; growth hormone receptor complex [GO:0070195]; integral component of membrane [GO:0016021]; receptor complex [GO:0043235]
Q5NKV6	reviewed	Intercellular adhesion molecule 1 (ICAM-1) (CD antigen CD54)	ICAM1	ICAM1	5 out of 5	Cell adhesion;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Phosphoprotein;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix;Ubl conjugation	cell [GO:0005623]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; immunological synapse [GO:0001772]; integral component of plasma membrane [GO:0005887]; membrane raft [GO:0045121]
O62643	reviewed	Thy-1 membrane glycoprotein (Thy-1 antigen) (CD antigen CD90)	THY1	THY1	5 out of 5	Cell membrane;Disulfide bond;GPI-anchor;Glycoprotein;Immunoglobulin domain;Lipoprotein;Membrane;Phosphoprotein;Pyrrolidone carboxylic acid;Reference proteome;Signal	anchored component of external side of plasma membrane [GO:0031362]; cell [GO:0005623]; dendrite [GO:0030425]; external side of plasma membrane [GO:0009897]; growth cone [GO:0030426]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]
P63304	reviewed	CD40 ligand (CD40-L) (Tumor necrosis factor ligand superfamily member 5) (CD antigen CD154) [Cleaved into: CD40 ligand, membrane form; CD40 ligand, soluble form (sCD40L)]	CD40LG	CD40LG CD40L TNFSF5	5 out of 5	Cell membrane;Cytokine;Disulfide bond;Glycoprotein;Membrane;Polymorphism;Reference proteome;Secreted;Signal-anchor;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1D5R549	unreviewed	Adiponectin, C1Q and collagen domain containing	ADIPOQ	ADIPOQ	5 out of 5	Collagen;Reference proteome;Secreted;Signal	cell surface [GO:0009986]; collagen trimer [GO:0005581]; endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]
A0A1D5QDK1	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)	EGFR	EGFR	5 out of 5	ATP-binding;Kinase;Membrane;Nucleotide-binding;Reference proteome;Signal;Transferase;Transmembrane;Transmembrane helix;Tyrosine-protein kinase	basolateral plasma membrane [GO:0016323]; cell junction [GO:0030054]; cell surface [GO:0009986]; early endosome membrane [GO:0031901]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; multivesicular body, internal vesicle lumen [GO:0097489]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; receptor complex [GO:0043235]
A0A1D5R0E5	unreviewed	Sortilin related receptor 1	SORL1	SORL1	5 out of 5	Disulfide bond;Golgi apparatus;Membrane;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix;Transport	cell [GO:0005623]; cell surface [GO:0009986]; early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; Golgi cisterna [GO:0031985]; integral component of membrane [GO:0016021]; multivesicular body [GO:0005771]; nuclear envelope lumen [GO:0005641]; perinucleolar compartment [GO:0097356]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; trans-Golgi network [GO:0005802]
F7HI29	unreviewed	Polycystin 1, transient receptor potential channel interacting	PKD1	PKD1	5 out of 5	Coiled coil;Disulfide bond;Leucine-rich repeat;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	basolateral plasma membrane [GO:0016323]; calcium channel complex [GO:0034704]; cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; motile cilium [GO:0031514]; nucleus [GO:0005634]; polycystin complex [GO:0002133]
A0A1D5R142	unreviewed	Protein tyrosine phosphatase receptor type C	PTPRC	PTPRC	5 out of 5	Coiled coil;Hydrolase;Membrane;Protein phosphatase;Reference proteome;Signal;Transmembrane;Transmembrane helix	bleb [GO:0032059]; cell [GO:0005623]; external side of plasma membrane [GO:0009897]; focal adhesion [GO:0005925]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]
F7DJ75	unreviewed	Tyrosine-protein kinase receptor (EC 2.7.10.1)	NTRK1	NTRK1	5 out of 5	ATP-binding;Disulfide bond;Immunoglobulin domain;Kinase;Leucine-rich repeat;Membrane;Nucleotide-binding;Phosphoprotein;Receptor;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Tyrosine-protein kinase	axon [GO:0030424]; cell surface [GO:0009986]; early endosome [GO:0005769]; integral component of plasma membrane [GO:0005887]; late endosome [GO:0005770]; receptor complex [GO:0043235]
F7BTH1	unreviewed	Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor)	PDGFRB	PDGFRB	5 out of 5	ATP-binding;Cell membrane;Chemotaxis;Cytoplasmic vesicle;Developmental protein;Disulfide bond;Immunoglobulin domain;Kinase;Lysosome;Membrane;Nucleotide-binding;Receptor;Reference proteome;Repeat;Signal;Transferase;Transmembrane;Transmembrane helix;Tyrosine-protein kinase	cell surface [GO:0009986]; cytoplasmic vesicle [GO:0031410]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; lysosomal lumen [GO:0043202]; receptor complex [GO:0043235]; ruffle [GO:0001726]
A0A1D5QX54	unreviewed	Uncharacterized protein	LDLR	LDLR	5 out of 5	Disulfide bond;EGF-like domain;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	apical part of cell [GO:0045177]; basolateral plasma membrane [GO:0016323]; cell [GO:0005623]; clathrin-coated pit [GO:0005905]; early endosome [GO:0005769]; external side of plasma membrane [GO:0009897]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; late endosome [GO:0005770]; lysosome [GO:0005764]; PCSK9-LDLR complex [GO:1990666]; receptor complex [GO:0043235]; somatodendritic compartment [GO:0036477]; sorting endosome [GO:0097443]
F6UL23	unreviewed	CD34 molecule	CD34	CD34	5 out of 5	Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	apical plasma membrane [GO:0016324]; basal plasma membrane [GO:0009925]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; glomerular endothelium fenestra [GO:0036053]; intercellular bridge [GO:0045171]; lysosome [GO:0005764]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
F6RWC6	unreviewed	Fibroblast growth factor (FGF)	FGF10	FGF10	5 out of 5	Growth factor;Reference proteome	cell [GO:0005623]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; extracellular space [GO:0005615]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
F6R0Z9	unreviewed	Heterogeneous nuclear ribonucleoprotein U	HNRNPU	HNRNPU	5 out of 5	Reference proteome	catalytic step 2 spliceosome [GO:0071013]; cell surface [GO:0009986]; centrosome [GO:0005813]; CRD-mediated mRNA stability complex [GO:0070937]; cytoplasmic ribonucleoprotein granule [GO:0036464]; dendrite cytoplasm [GO:0032839]; inactive sex chromosome [GO:0098577]; kinetochore [GO:0000776]; midbody [GO:0030496]; mitotic spindle microtubule [GO:1990498]; mitotic spindle midzone [GO:1990023]; nuclear chromosome [GO:0000228]; nuclear matrix [GO:0016363]; nuclear speck [GO:0016607]; RNA polymerase II transcription factor complex [GO:0090575]; telomerase holoenzyme complex [GO:0005697]
F7B1Y0	unreviewed	Phosphatidylinositol binding clathrin assembly protein	PICALM	PICALM	5 out of 5	Coiled coil;Reference proteome	AP-2 adaptor complex [GO:0030122]; cell surface [GO:0009986]; clathrin-coated pit [GO:0005905]; clathrin-coated vesicle [GO:0030136]; early endosome [GO:0005769]; endosome to plasma membrane transport vesicle [GO:0070381]; extrinsic component of presynaptic endocytic zone membrane [GO:0098894]; neurofibrillary tangle [GO:0097418]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; presynaptic membrane [GO:0042734]; synaptic vesicle [GO:0008021]
F7HCV5	unreviewed	Transforming growth factor beta	TGFB1	TGFB1	5 out of 5	Disulfide bond;Growth factor;Mitogen;Reference proteome;Secreted;Signal	blood microparticle [GO:0072562]; cell [GO:0005623]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; nucleus [GO:0005634]
G7MTB0	unreviewed	Platelet-derived growth factor receptor alpha (PDGF-R-alpha) (PDGFR-alpha) (EC 2.7.10.1) (Alpha platelet-derived growth factor receptor) (Alpha-type platelet-derived growth factor receptor)	PDGFRA	PDGFRA	5 out of 5	ATP-binding;Cell membrane;Chemotaxis;Developmental protein;Disulfide bond;Immunoglobulin domain;Kinase;Membrane;Nucleotide-binding;Receptor;Reference proteome;Repeat;Signal;Transferase;Transmembrane;Transmembrane helix;Tyrosine-protein kinase	cell [GO:0005623]; cell junction [GO:0030054]; cilium [GO:0005929]; external side of plasma membrane [GO:0009897]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; microvillus [GO:0005902]; nucleoplasm [GO:0005654]; protein-containing complex [GO:0032991]
F7HEW6	unreviewed	Protein Wnt	WNT7A	WNT7A	5 out of 5	Developmental protein;Disulfide bond;Extracellular matrix;Reference proteome;Secreted;Wnt signaling pathway	cell surface [GO:0009986]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; glutamatergic synapse [GO:0098978]; presynapse [GO:0098793]; Schaffer collateral - CA1 synapse [GO:0098685]
F7HG73	unreviewed	Serine/threonine-protein kinase receptor (EC 2.7.11.30)	ACVRL1	ACVRL1	5 out of 5	ATP-binding;Kinase;Magnesium;Manganese;Membrane;Metal-binding;Nucleotide-binding;Receptor;Reference proteome;Serine/threonine-protein kinase;Signal;Transferase;Transmembrane;Transmembrane helix	BMP receptor complex [GO:0070724]; cell surface [GO:0009986]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]
H9YZ83	unreviewed	Neurogenic locus notch homolog protein 2 isoform 1 preproprotein	NOTCH2	NOTCH2	5 out of 5	ANK repeat;Calcium;Disulfide bond;EGF-like domain;Membrane;Metal-binding;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; cilium [GO:0005929]; integral component of plasma membrane [GO:0005887]; nucleoplasm [GO:0005654]; receptor complex [GO:0043235]
A0A1D5QZE0	unreviewed	Colony stimulating factor 1 receptor	CSF1R	CSF1R	5 out of 5	ATP-binding;Disulfide bond;Immunoglobulin domain;Kinase;Membrane;Nucleotide-binding;Receptor;Reference proteome;Repeat;Signal;Transferase;Transmembrane;Transmembrane helix;Tyrosine-protein kinase	cell surface [GO:0009986]; CSF1-CSF1R complex [GO:1990682]; integral component of membrane [GO:0016021]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]
I2CTM4	unreviewed	Cholinergic receptor nicotinic beta 2 subunit (Neuronal acetylcholine receptor subunit beta-2)	CHRNB2	CHRNB2	5 out of 5	Cell junction;Cell membrane;Disulfide bond;Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Postsynaptic cell membrane;Receptor;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix;Transport	acetylcholine-gated channel complex [GO:0005892]; cholinergic synapse [GO:0098981]; dopaminergic synapse [GO:0098691]; external side of plasma membrane [GO:0009897]; integral component of postsynaptic specialization membrane [GO:0099060]; integral component of presynaptic membrane [GO:0099056]
F6SLU9	unreviewed	Protein Wnt	WNT1	WNT1	5 out of 5	Developmental protein;Disulfide bond;Extracellular matrix;Reference proteome;Secreted;Signal;Wnt signaling pathway	cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular space [GO:0005615]
F7H0C7	unreviewed	Annexin	ANXA2	ANXA2	5 out of 5	Annexin;Calcium;Calcium/phospholipid-binding;Reference proteome;Repeat	AnxA2-p11 complex [GO:1990665]; basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome [GO:0005769]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; extrinsic component of plasma membrane [GO:0019897]; late endosome membrane [GO:0031902]; lipid droplet [GO:0005811]; lysosomal membrane [GO:0005765]; membrane raft [GO:0045121]; midbody [GO:0030496]; myelin sheath adaxonal region [GO:0035749]; nucleus [GO:0005634]; PCSK9-AnxA2 complex [GO:1990667]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; Schmidt-Lanterman incisure [GO:0043220]; vesicle [GO:0031982]
A0A1D5R9B8	unreviewed	Angiotensin-converting enzyme (EC 3.4.-.-)	ACE	ACE	5 out of 5	Carboxypeptidase;Glycoprotein;Hydrolase;Membrane;Metal-binding;Metalloprotease;Protease;Reference proteome;Signal;Transmembrane;Transmembrane helix;Zinc	endosome [GO:0005768]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; lysosome [GO:0005764]; plasma membrane [GO:0005886]
F7EUQ4	unreviewed	Integrin beta	ITGB1	ITGB1	5 out of 5	Cell adhesion;Disulfide bond;Integrin;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	cell [GO:0005623]; cytoplasmic vesicle [GO:0031410]; dendritic spine [GO:0043197]; external side of plasma membrane [GO:0009897]; filopodium [GO:0030175]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; integral component of synaptic membrane [GO:0099699]; integrin alpha10-beta1 complex [GO:0034680]; integrin alpha11-beta1 complex [GO:0034681]; integrin alpha1-beta1 complex [GO:0034665]; integrin alpha2-beta1 complex [GO:0034666]; integrin alpha3-beta1 complex [GO:0034667]; integrin alpha5-beta1 complex [GO:0034674]; integrin alpha7-beta1 complex [GO:0034677]; intercalated disc [GO:0014704]; invadopodium membrane [GO:0071438]; membrane raft [GO:0045121]; myelin sheath abaxonal region [GO:0035748]; neuromuscular junction [GO:0031594]; perinuclear region of cytoplasm [GO:0048471]; ruffle membrane [GO:0032587]; sarcolemma [GO:0042383]; Schaffer collateral - CA1 synapse [GO:0098685]
F6QSK2	unreviewed	Integrin_alpha2 domain-containing protein	ITGAV	ITGAV	5 out of 5	Cell adhesion;Integrin;Membrane;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	alphav-beta3 integrin-HMGB1 complex [GO:0035868]; alphav-beta3 integrin-IGF-1-IGF1R complex [GO:0035867]; cytosol [GO:0005829]; external side of plasma membrane [GO:0009897]; filopodium membrane [GO:0031527]; focal adhesion [GO:0005925]; integrin alphav-beta3 complex [GO:0034683]; integrin alphav-beta5 complex [GO:0034684]; integrin alphav-beta6 complex [GO:0034685]; integrin alphav-beta8 complex [GO:0034686]; lamellipodium membrane [GO:0031258]; microvillus membrane [GO:0031528]; ruffle membrane [GO:0032587]
G7N2Y0	unreviewed	Bone morphogenetic protein 2	BMP2	BMP2	5 out of 5	Disulfide bond;Growth factor;Reference proteome;Secreted	BMP receptor complex [GO:0070724]; cell surface [GO:0009986]; extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231]
F7AGU8	unreviewed	Presenilin (EC 3.4.23.-)	PSEN1	PSEN1	5 out of 5	Endoplasmic reticulum;Golgi apparatus;Hydrolase;Membrane;Notch signaling pathway;Protease;Reference proteome;Transmembrane;Transmembrane helix	aggresome [GO:0016235]; apical plasma membrane [GO:0016324]; axon [GO:0030424]; cell [GO:0005623]; cell cortex [GO:0005938]; cell surface [GO:0009986]; centrosome [GO:0005813]; ciliary rootlet [GO:0035253]; cytoplasmic vesicle [GO:0031410]; dendritic shaft [GO:0043198]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; gamma-secretase complex [GO:0070765]; glutamatergic synapse [GO:0098978]; Golgi membrane [GO:0000139]; growth cone [GO:0030426]; integral component of plasma membrane [GO:0005887]; kinetochore [GO:0000776]; lysosomal membrane [GO:0005765]; membrane raft [GO:0045121]; mitochondrial inner membrane [GO:0005743]; neuromuscular junction [GO:0031594]; neuronal cell body [GO:0043025]; nuclear outer membrane [GO:0005640]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; postsynapse [GO:0098794]; presynapse [GO:0098793]; rough endoplasmic reticulum [GO:0005791]; smooth endoplasmic reticulum [GO:0005790]; Z disc [GO:0030018]
F6WIY2	unreviewed	Thrombospondin 1	THBS1	THBS1	5 out of 5	Calcium;Coiled coil;Disulfide bond;EGF-like domain;Reference proteome;Repeat;Signal	collagen-containing extracellular matrix [GO:0062023]; external side of plasma membrane [GO:0009897]; fibrinogen complex [GO:0005577]; platelet alpha granule [GO:0031091]
A0A1D5QUK7	unreviewed	Receptor protein serine/threonine kinase (EC 2.7.11.30)	TGFBR1	TGFBR1	5 out of 5	ATP-binding;Kinase;Membrane;Nucleotide-binding;Receptor;Reference proteome;Serine/threonine-protein kinase;Signal;Transferase;Transmembrane;Transmembrane helix	activin receptor complex [GO:0048179]; bicellular tight junction [GO:0005923]; cell surface [GO:0009986]; endosome [GO:0005768]; membrane raft [GO:0045121]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]
A0A1D5R305	unreviewed	Coagulation factor II thrombin receptor	F2R	F2R	5 out of 5	Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Signal;Transducer;Transmembrane;Transmembrane helix	caveola [GO:0005901]; cell [GO:0005623]; cell surface [GO:0009986]; early endosome [GO:0005769]; integral component of plasma membrane [GO:0005887]; late endosome [GO:0005770]; neuromuscular junction [GO:0031594]; plasma membrane [GO:0005886]; platelet dense tubular network [GO:0031094]; postsynaptic membrane [GO:0045211]
H9FUD6	unreviewed	Lipoprotein lipase (LPL) (EC 3.1.1.34)	LPL	LPL	5 out of 5	Calcium;Cell membrane;Chylomicron;Disulfide bond;Heparin-binding;Hydrolase;Lipid degradation;Lipid metabolism;Lipoprotein;Membrane;Metal-binding;Nitration;Reference proteome;Secreted;Signal;VLDL	cell surface [GO:0009986]; chylomicron [GO:0042627]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]; very-low-density lipoprotein particle [GO:0034361]
A0A1D5Q330	unreviewed	AXL receptor tyrosine kinase	AXL	AXL	5 out of 5	ATP-binding;Immunoglobulin domain;Kinase;Membrane;Nucleotide-binding;Receptor;Reference proteome;Signal;Transferase;Transmembrane;Transmembrane helix;Tyrosine-protein kinase	actin cytoskeleton [GO:0015629]; cell surface [GO:0009986]; extracellular space [GO:0005615]; host cell surface [GO:0044228]; integral component of plasma membrane [GO:0005887]; intracellular membrane-bounded organelle [GO:0043231]; receptor complex [GO:0043235]
F6SGW3	unreviewed	Secreted frizzled-related protein 1	SFRP1	SFRP1	5 out of 5	Developmental protein;Disulfide bond;Reference proteome;Secreted;Signal;Wnt signaling pathway	cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; cytosol [GO:0005829]; extracellular space [GO:0005615]
F6Y7C3	unreviewed	High mobility group protein B1	HMGB1	HMGB1	5 out of 5	DNA-binding;Nucleus;Reference proteome	alphav-beta3 integrin-HMGB1 complex [GO:0035868]; cell [GO:0005623]; cell surface [GO:0009986]; condensed chromosome [GO:0000793]; extracellular space [GO:0005615]; nuclear chromatin [GO:0000790]; transcriptional repressor complex [GO:0017053]
F6RU72	unreviewed	Dystroglycan preproprotein	DAG1	DAG1	5 out of 5	Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	basement membrane [GO:0005604]; cell [GO:0005623]; cell-cell junction [GO:0005911]; contractile ring [GO:0070938]; cytoplasm [GO:0005737]; dystroglycan complex [GO:0016011]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; filopodium [GO:0030175]; focal adhesion [GO:0005925]; GABA-ergic synapse [GO:0098982]; integral component of membrane [GO:0016021]; lamellipodium [GO:0030027]; membrane raft [GO:0045121]; node of Ranvier [GO:0033268]; nucleoplasm [GO:0005654]; sarcolemma [GO:0042383]
F7HQZ9	unreviewed	Notch receptor 1	NOTCH1	NOTCH1	5 out of 5	ANK repeat;Calcium;Disulfide bond;EGF-like domain;Metal-binding;Reference proteome;Repeat;Signal	adherens junction [GO:0005912]; apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; MAML1-RBP-Jkappa- ICN1 complex [GO:0002193]; nucleus [GO:0005634]; receptor complex [GO:0043235]
