GeneID	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)
	A0A0B4J1V2	HV226_HUMAN	reviewed	Immunoglobulin heavy variable 2-26	IGHV2-26	Homo sapiens (Human)	119	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0B4J1V6	HV373_HUMAN	reviewed	Immunoglobulin heavy variable 3-73	IGHV3-73	Homo sapiens (Human)	119	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0B4J1V7	HV781_HUMAN	reviewed	Probable non-functional immunoglobulin heavy variable 7-81	IGHV7-81	Homo sapiens (Human)	117	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0B4J1X5	HV374_HUMAN	reviewed	Immunoglobulin heavy variable 3-74	IGHV3-74	Homo sapiens (Human)	117	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0B4J1X8	HV343_HUMAN	reviewed	Immunoglobulin heavy variable 3-43	IGHV3-43	Homo sapiens (Human)	118	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0B4J1Y9	HV372_HUMAN	reviewed	Immunoglobulin heavy variable 3-72	IGHV3-72	Homo sapiens (Human)	119	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0B4J2H0	HV69D_HUMAN	reviewed	Immunoglobulin heavy variable 1-69D	IGHV1-69D	Homo sapiens (Human)	117	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0C4DH27	TRGV8_HUMAN	reviewed	T cell receptor gamma variable 8	TRGV8 TCRGV8	Homo sapiens (Human)	118	adaptive immune response [GO:0002250]; innate immune response [GO:0045087]	external side of plasma membrane [GO:0009897]; T cell receptor complex [GO:0042101]	
	A0A0C4DH28	TRGV4_HUMAN	reviewed	T cell receptor gamma variable 4	TRGV4 TCRGV4	Homo sapiens (Human)	118	adaptive immune response [GO:0002250]; innate immune response [GO:0045087]	external side of plasma membrane [GO:0009897]; T cell receptor complex [GO:0042101]	
	A0A0C4DH29	HV103_HUMAN	reviewed	Immunoglobulin heavy variable 1-3	IGHV1-3	Homo sapiens (Human)	117	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0C4DH30	HV316_HUMAN	reviewed	Probable non-functional immunoglobulin heavy variable 3-16	IGHV3-16	Homo sapiens (Human)	117	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0C4DH31	HV118_HUMAN	reviewed	Immunoglobulin heavy variable 1-18	IGHV1-18	Homo sapiens (Human)	117	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0C4DH32	HV320_HUMAN	reviewed	Immunoglobulin heavy variable 3-20	IGHV3-20	Homo sapiens (Human)	117	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0C4DH33	HV124_HUMAN	reviewed	Immunoglobulin heavy variable 1-24	IGHV1-24	Homo sapiens (Human)	117	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0C4DH34	HV428_HUMAN	reviewed	Immunoglobulin heavy variable 4-28	IGHV4-28	Homo sapiens (Human)	117	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0C4DH35	HV335_HUMAN	reviewed	Probable non-functional immunoglobulin heavy variable 3-35	IGHV3-35	Homo sapiens (Human)	117	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0C4DH36	HV338_HUMAN	reviewed	Probable non-functional immunoglobulin heavy variable 3-38	IGHV3-38	Homo sapiens (Human)	116	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0C4DH38	HV551_HUMAN	reviewed	Immunoglobulin heavy variable 5-51	IGHV5-51	Homo sapiens (Human)	117	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0C4DH39	HV158_HUMAN	reviewed	Immunoglobulin heavy variable 1-58	IGHV1-58	Homo sapiens (Human)	117	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0C4DH41	HV461_HUMAN	reviewed	Immunoglobulin heavy variable 4-61	IGHV4-61	Homo sapiens (Human)	118	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0C4DH42	HV366_HUMAN	reviewed	Immunoglobulin heavy variable 3-66	IGHV3-66	Homo sapiens (Human)	116	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0C4DH43	HV70D_HUMAN	reviewed	Immunoglobulin heavy variable 2-70D	IGHV2-70D	Homo sapiens (Human)	119	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0G2JMI3	HV692_HUMAN	reviewed	Immunoglobulin heavy variable 1-69-2	IGHV1-69-2	Homo sapiens (Human)	117	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0J9YVY3	HV741_HUMAN	reviewed	Immunoglobulin heavy variable 7-4-1	IGHV7-4-1	Homo sapiens (Human)	117	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0J9YX35	HV64D_HUMAN	reviewed	Immunoglobulin heavy variable 3-64D	IGHV3-64D	Homo sapiens (Human)	117	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0J9YXX1	HV5X1_HUMAN	reviewed	Immunoglobulin heavy variable 5-10-1	IGHV5-10-1	Homo sapiens (Human)	117	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A5B9	TRBC2_HUMAN	reviewed	T cell receptor beta constant 2	TRBC2 TCRBC2	Homo sapiens (Human)	178	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]; integral component of membrane [GO:0016021]; T cell receptor complex [GO:0042101]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0M8Q6	IGLC7_HUMAN	reviewed	Immunoglobulin lambda constant 7 (Ig lambda-7 chain C region)	IGLC7	Homo sapiens (Human)	106	"B cell receptor signaling pathway [GO:0050853]; complement activation [GO:0006956]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; Fc-epsilon receptor signaling pathway [GO:0038095]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; innate immune response [GO:0045087]; leukocyte migration [GO:0050900]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]; receptor-mediated endocytosis [GO:0006898]; regulation of complement activation [GO:0030449]; regulation of immune response [GO:0050776]"	"external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; immunoglobulin complex, circulating [GO:0042571]; plasma membrane [GO:0005886]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
390243	A6ND01	JUNO_HUMAN	reviewed	Sperm-egg fusion protein Juno (Folate receptor 4) (Folate receptor delta) (FR-delta) (IZUMO1 receptor protein JUNO)	IZUMO1R FOLR4 JUNO	Homo sapiens (Human)	250	cell adhesion [GO:0007155]; fusion of sperm to egg plasma membrane involved in single fertilization [GO:0007342]; single fertilization [GO:0007338]; sperm-egg recognition [GO:0035036]	anchored component of external side of plasma membrane [GO:0031362]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]	signaling receptor activity [GO:0038023]; signaling receptor binding [GO:0005102]
51754	A6NDV4	TMM8B_HUMAN	reviewed	Transmembrane protein 8B (Nasopharyngeal carcinoma-associated gene 6 protein) (Protein NAG-5) (Protein NGX6)	TMEM8B C9orf127 NGX6	Homo sapiens (Human)	472	cell-matrix adhesion [GO:0007160]; regulation of growth [GO:0040008]; regulation of mitotic cell cycle [GO:0007346]	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	
195977	A6NF34	ANTRL_HUMAN	reviewed	Anthrax toxin receptor-like	ANTXRL	Homo sapiens (Human)	631	toxin transport [GO:1901998]	cell surface [GO:0009986]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	metal ion binding [GO:0046872]; transmembrane signaling receptor activity [GO:0004888]
	A6NGW2	STRCL_HUMAN	reviewed	Putative stereocilin-like protein (Stereocilin pseudogene 1)	STRCP1 STRCP	Homo sapiens (Human)	1772	cell-matrix adhesion [GO:0007160]	cell surface [GO:0009986]; extracellular region [GO:0005576]; kinocilium [GO:0060091]; stereocilium tip [GO:0032426]	
353514	A6NI73	LIRA5_HUMAN	reviewed	Leukocyte immunoglobulin-like receptor subfamily A member 5 (CD85 antigen-like family member F) (Immunoglobulin-like transcript 11) (ILT-11) (Leukocyte immunoglobulin-like receptor 9) (LIR-9) (CD antigen CD85f)	LILRA5 ILT11 LILRB7 LIR9	Homo sapiens (Human)	299	innate immune response [GO:0045087]; negative regulation of interleukin-12 secretion [GO:2001183]; negative regulation of interleukin-13 secretion [GO:2000666]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of cell activation [GO:0050867]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-10 secretion [GO:2001181]; positive regulation of interleukin-1 beta secretion [GO:0050718]; positive regulation of interleukin-6 secretion [GO:2000778]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of protein tyrosine kinase activity [GO:0061098]; positive regulation of tumor necrosis factor secretion [GO:1904469]	cell surface [GO:0009986]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	
	A6NJW9	CD8B2_HUMAN	reviewed	T-cell surface glycoprotein CD8 beta-2 chain (CD8b pseudogene)	CD8B2 CD8BP	Homo sapiens (Human)	210	adaptive immune response [GO:0002250]; regulation of immune response [GO:0050776]	cell surface [GO:0009986]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	coreceptor activity [GO:0015026]; MHC class I protein binding [GO:0042288]
	A8MVZ5	BTNLA_HUMAN	reviewed	Butyrophilin-like protein 10	BTNL10	Homo sapiens (Human)	291	regulation of cytokine production [GO:0001817]; regulation of immune response [GO:0050776]; T cell receptor signaling pathway [GO:0050852]	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]	signaling receptor binding [GO:0005102]
388588	B2RUZ4	SMIM1_HUMAN	reviewed	Small integral membrane protein 1 (Vel blood group antigen)	SMIM1	Homo sapiens (Human)	78		cell surface [GO:0009986]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	protein homodimerization activity [GO:0042803]
	B7Z8K6	TRDC_HUMAN	reviewed	T cell receptor delta constant	TRDC	Homo sapiens (Human)	153	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]; integral component of membrane [GO:0016021]; T cell receptor complex [GO:0042101]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
100423062	B9A064	IGLL5_HUMAN	reviewed	Immunoglobulin lambda-like polypeptide 5 (G lambda-1) (Germline immunoglobulin lambda 1)	IGLL5	Homo sapiens (Human)	214	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
8326	O00144	FZD9_HUMAN	reviewed	Frizzled-9 (Fz-9) (hFz9) (FzE6) (CD antigen CD349)	FZD9 FZD3	Homo sapiens (Human)	591	B cell differentiation [GO:0030183]; bone regeneration [GO:1990523]; canonical Wnt signaling pathway [GO:0060070]; learning or memory [GO:0007611]; negative regulation of cell cycle arrest [GO:0071157]; negative regulation of mitochondrial depolarization [GO:0051902]; negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901029]; negative regulation of necroptotic process [GO:0060546]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of skeletal muscle acetylcholine-gated channel clustering [GO:1904394]; nervous system development [GO:0007399]; neuroblast proliferation [GO:0007405]; ossification [GO:0001503]; positive regulation of apoptotic process [GO:0043065]; positive regulation of bone mineralization [GO:0030501]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of neural precursor cell proliferation [GO:2000179]; postsynapse organization [GO:0099173]; regulation of cytosolic calcium ion concentration [GO:0051480]; regulation of postsynaptic cytosolic calcium ion concentration [GO:0099566]; regulation of skeletal muscle acetylcholine-gated channel clustering [GO:1904393]; release of cytochrome c from mitochondria [GO:0001836]	cell [GO:0005623]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; filopodium membrane [GO:0031527]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]	G protein-coupled receptor activity [GO:0004930]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; Wnt-activated receptor activity [GO:0042813]; Wnt-protein binding [GO:0017147]
